迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.13,1.19,1.2,1.05,1,0.99,1,0.7,0.76,0.79,0.77,0.79,0.87,0.69,0.56,0.6,0.91,0.95,1.07,1.18,1.34,1.24,1.83,1.46,1.22,0.81,0.64,0.39,0.42,0.35,0.43,0.47,0.49,0.5,0.79,0.74,0.77,0.74,0.9,0.72,0.62,0.97,0.93,1.03,1.22,1.1,1.08,1.17,1.4
天津市,0.31,0.33,0.26,0.25,0.22,0.25,0.24,0.19,0.16,0.2,0.19,0.2,0.23,0.23,0.21,0.22,0.2,0.18,0.25,0.21,0.29,0.24,0.23,0.29,0.19,0.14,0.16,0.18,0.11,0.17,0.18,0.19,0.23,0.21,0.26,0.31,0.23,0.27,0.27,0.33,0.3,0.33,0.36,0.41,0.38,0.55,0.46,0.54,0.45
河北省,0.26,0.35,0.36,0.38,0.41,0.42,0.36,0.29,0.27,0.36,0.39,0.39,0.4,0.36,0.31,0.31,0.33,0.3,0.37,0.33,0.32,0.38,0.46,0.43,0.43,0.36,0.45,0.52,0.59,0.77,0.88,1.19,1.11,1.08,1.18,1.25,1.08,1.15,1.14,1.23,1.18,1.26,1.16,1.28,1.3,1.42,1.49,1.54,1.34
山西省,0.27,0.28,0.27,0.28,0.21,0.27,0.31,0.31,0.25,0.24,0.25,0.25,0.33,0.22,0.17,0.25,0.29,0.22,0.26,0.22,0.3,0.24,0.3,0.38,0.27,0.13,0.2,0.34,0.33,0.39,0.51,0.75,0.69,0.77,0.7,0.71,0.65,0.65,0.84,0.72,0.7,0.83,0.81,0.89,0.88,0.93,0.95,0.98,0.92
内蒙古自治区,0.11,0.16,0.13,0.15,0.12,0.13,0.14,0.13,0.15,0.13,0.13,0.14,0.21,0.13,0.1,0.14,0.15,0.17,0.16,0.15,0.18,0.16,0.19,0.21,0.2,0.12,0.11,0.14,0.15,0.15,0.19,0.19,0.28,0.2,0.25,0.23,0.2,0.27,0.27,0.32,0.24,0.31,0.29,0.33,0.43,0.45,0.45,0.42,0.33
辽宁省,0.34,0.37,0.36,0.36,0.35,0.2,0.27,0.31,0.18,0.19,0.23,0.24,0.32,0.25,0.19,0.16,0.15,0.24,0.21,0.26,0.33,0.33,0.36,0.3,0.23,0.22,0.37,0.32,0.33,0.36,0.39,0.49,0.51,0.5,0.41,0.51,0.52,0.53,0.54,0.51,0.55,0.6,0.69,0.64,0.75,0.83,0.88,0.88,0.92
吉林省,0.12,0.1,0.07,0.12,0.11,0.09,0.09,0.09,0.05,0.08,0.07,0.06,0.08,0.04,0.04,0.06,0.04,0.07,0.05,0.07,0.07,0.08,0.11,0.13,0.06,0.01,0.06,0.11,0.11,0.14,0.2,0.28,0.26,0.27,0.2,0.28,0.19,0.34,0.29,0.35,0.31,0.34,0.32,0.36,0.42,0.4,0.39,0.47,0.49
黑龙江省,0.1,0.17,0.12,0.16,0.1,0.07,0.11,0.06,0.08,0.1,0.08,0.09,0.16,0.12,0.09,0.07,0.09,0.09,0.09,0.11,0.1,0.11,0.14,0.09,0.07,0.04,0.07,0.07,0.07,0.1,0.1,0.21,0.19,0.19,0.19,0.23,0.19,0.28,0.3,0.33,0.32,0.3,0.32,0.34,0.35,0.4,0.44,0.39,0.4
上海市,2.71,2.6,2.67,3.02,2.85,2.49,2.46,2.1,1.96,2.03,1.74,1.66,1.52,1.7,1.41,1.6,1.48,1.82,1.92,1.99,2.23,2.3,2.27,2.33,1.43,0.81,0.67,0.69,0.52,0.41,0.52,0.57,0.55,0.59,0.91,0.9,0.95,0.97,1.15,1.28,1.15,1.56,1.58,1.76,1.85,1.92,2.43,2.23,2.37
江苏省,5.24,5,4.62,4.53,4.41,4.05,3.74,3.86,3.93,4.28,3.7,2.88,3.12,3.27,2.98,3.08,2.92,2.82,2.85,2.77,3.08,2.57,2.63,2.36,1.03,0.69,0.78,0.85,1.1,1.1,1.47,1.84,1.85,1.94,1.98,2.25,2.11,2.3,2.51,2.24,2.25,2.58,2.46,2.56,2.9,2.73,2.65,3.04,3.02
浙江省,11.99,12.69,11.96,13.1,12.87,13.04,11.99,12.64,14.06,14.58,13.22,10.28,9.56,10.88,12.1,11.65,10.03,9.72,8.54,7.76,6.92,5.48,4.08,3.65,1.96,1.08,1.21,1.33,1.51,1.54,1.84,2.38,2.3,2.57,2.66,3.05,2.92,2.89,3.09,2.86,2.8,3.27,3.03,3.23,3.29,3.29,3.48,3.56,3.59
安徽省,0.85,0.81,0.92,0.81,0.77,0.71,0.67,0.68,0.72,0.73,0.72,0.66,0.68,0.78,0.62,0.65,0.65,0.6,0.52,0.55,0.68,0.53,0.65,0.46,0.39,0.3,0.45,0.55,0.75,0.96,1.14,1.41,1.29,1.28,1.35,1.45,1.46,1.58,1.54,1.35,1.29,1.6,1.52,1.41,1.42,1.39,1.35,1.46,1.36
福建省,3.32,3.02,2.96,3.09,2.81,2.42,2.82,3,2.94,3.02,2.7,2.3,2.79,2.81,3.03,3.18,3.21,2.72,2.97,2.95,2.7,2.29,1.92,1.37,0.7,0.52,0.52,0.69,0.93,1.17,1.67,1.9,2.18,2.14,2.66,2.81,2.41,2.7,2.32,1.85,2.12,2.71,2.43,2.18,2.17,2.05,2.04,2.04,1.97
江西省,1.33,1.28,1.05,1.15,0.98,0.88,0.82,0.9,0.89,1.04,0.91,0.85,0.88,0.73,0.78,0.7,0.59,0.74,0.66,0.67,0.67,0.71,0.66,0.54,0.47,0.32,0.59,0.8,1.07,1.55,2.21,2.43,2.48,2.64,2.94,2.54,2.45,2.47,1.92,1.42,2.42,2.47,2.21,1.91,2.03,1.75,1.62,1.78,1.64
山东省,1.58,1.43,1.3,1.11,1.13,1.22,1.04,1.11,0.9,1.05,0.96,0.99,1.1,0.88,0.91,1.02,1.14,0.89,0.81,0.75,0.72,0.74,0.71,0.74,0.44,0.33,0.41,0.72,0.94,1.08,1.33,1.5,1.34,1.58,1.44,1.5,1.47,1.42,1.68,1.37,1.51,1.83,1.79,1.83,1.95,2,1.93,1.94,2.06
河南省,0.94,0.99,1.01,0.93,0.85,0.84,0.86,0.8,0.79,0.86,0.83,0.91,0.77,0.91,0.7,0.68,0.77,0.81,0.73,0.9,0.64,0.7,0.92,0.86,0.61,0.44,0.66,0.87,1.37,1.97,2.58,2.7,2.27,2.76,2.86,2.94,2.71,2.74,2.94,2.31,2.44,2.81,2.64,2.92,3.03,2.97,2.76,3.15,2.75
湖北省,1.16,1.12,1.1,1.02,0.99,0.96,0.96,0.94,0.9,0.95,0.96,0.89,0.93,1.02,0.62,0.77,0.93,0.74,0.94,0.99,0.98,1.07,1.33,1.16,0.81,0.54,0.74,0.96,1.18,1.7,2.26,2.29,2.45,2.51,3.02,2.78,2.91,2.87,2.5,2.16,2.68,2.89,2.72,2.78,2.82,2.67,2.46,2.42,2.41
湖南省,2.18,2.08,1.95,1.94,2.17,2.11,2.07,1.8,1.67,1.78,1.52,1.39,1.56,1.43,1.14,1.22,1.25,1.3,1.41,1.33,1.33,1.52,1.47,1.35,0.79,0.83,1.55,1.94,2.88,3.8,6.37,4.45,6.41,5.92,5.98,4.43,5.2,4.23,3.66,2.96,4.87,4.19,4.43,4.14,3.88,3.75,3.54,3.5,3.21
广东省,14.59,14.26,15.73,16.19,15.67,16.27,16.74,19,19.33,17.39,15.06,15.32,16.77,21.55,22.85,20.51,19.73,18.95,19.5,18.82,16.54,12.84,9.58,8.91,5.1,3.02,2.9,2.89,2.67,2.72,3.33,3.28,3.19,3.59,3.86,4.2,4.35,4.73,5.61,5,4.98,5.72,5.67,5.66,6,5.93,5.91,6.82,6.63
广西壮族自治区,5.92,5.45,5.79,5.02,5.25,5.37,5.41,5.38,5.56,5.3,6.31,6.65,6.29,5.2,4.68,4.94,5.09,5.39,5.67,5.44,5.28,5.43,5.09,4.46,4.88,7.35,8.72,8.83,8.21,7.02,6.4,6.05,6.03,5.76,5.32,5.75,5.59,5.52,5.76,5.63,4.81,4.64,4.77,4.66,4.97,5.36,5.96,5.52,5.39
海南省,0.89,0.89,0.91,0.71,0.62,0.49,0.59,0.59,0.51,0.67,0.45,0.49,0.46,0.46,0.47,0.42,0.42,0.36,0.42,0.43,0.51,0.56,0.47,0.64,0.37,0.48,0.47,0.43,0.44,0.3,0.42,0.46,0.52,0.44,0.47,0.59,0.52,0.61,0.62,0.69,0.58,0.64,0.79,0.57,0.78,0.82,0.79,0.79,0.76
重庆市,3.85,3.46,3.72,3.89,3.81,3.05,3.26,3.45,3.32,3.11,2.48,2.32,2.24,2.33,2.3,2.09,2.31,2.37,2.49,2.56,2.91,3.26,3.34,3.88,2.56,2.84,2.96,3.13,4.22,6.37,7.25,5.17,6.77,7.59,7.95,6.89,7.7,7.96,5.96,6.43,8.87,6.93,8.87,9.56,7.7,7.12,6.4,6.11,5.99
四川省,21.64,22.43,23.09,22.37,22.31,23.18,23.58,22.35,21.54,21.39,24.08,25.43,24.62,22.15,22.13,23.21,24.74,25.13,25.03,25.85,27.19,29.7,31.3,35.38,42.71,43.04,40.51,36.42,35.24,35.42,31.25,31.08,30.35,30.16,28.92,28.91,30.53,30.31,29.3,31.26,27.95,26.1,26.33,26.14,26.41,26.86,25.78,25.8,27.35
