迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,6.44,6.94,6.42,6.73,7.18,6.54,6.23,6.49,7.64,7.22,6,6.53,6.14,5.91,6.41,7.48,8.28,9.37,12.25,12.86,13.93,15.69,15.62,14.18,7.33,3.2,2.61,2.63,2.49,2.44,2.81,2.84,3.2,3.28,4.12,4.44,5.14,5.63,6.43,5.61,4.68,6.08,5.41,5.3,5.87,5.97,6.23,4.92,5.63
天津市,3.34,3.31,3.35,3.51,3.16,3.11,3.19,3.19,3.41,3.59,2.96,3.03,3.28,3.37,3.53,3.69,3.61,3.66,3.63,3.94,3.76,3.72,3.42,3.42,2.12,1,1.27,1.23,1.37,1.18,1.37,1.33,1.61,1.56,1.93,1.92,2.01,2.25,2.07,1.95,2.15,2.01,2.05,1.95,2.01,2.07,2.2,2.04,2.09
河北省,10.26,10.55,10.6,10.79,10.35,10.66,10.49,9.48,9.75,10.5,11.74,11.49,10.91,10.89,10.79,10.59,11.03,10.61,9.99,9.95,9.52,9.79,9.36,10.28,10.21,12.24,12.58,12.46,10.73,13.31,13.36,13.45,13.99,13.89,13.98,13.9,13.23,13.45,12.15,15.17,15.1,12.24,12.75,14.29,14.07,14.08,13.46,13.97,12.99
山西省,11.4,10.38,11.23,10.71,10.82,10.96,10.85,12.43,11.87,10.31,12.26,11.55,10.34,11.46,11.02,10.86,9.93,9.59,9.14,8.8,8.33,8.08,8.03,9.39,9.09,11.42,16.22,14.7,12.56,19.63,16.45,15.8,14.9,13.82,12.47,12.77,11.39,10.64,10.03,12.98,12.14,10.61,12.6,12.31,11.52,11.4,11.12,11.3,11.14
内蒙古自治区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辽宁省,12.26,12.71,12.52,13.3,13.18,13.57,14.03,13.57,13.21,13.88,15.18,15.9,15.95,15.78,16.3,16.73,15.47,17.13,16.78,16.77,17.65,17.3,18.27,16.52,18.91,24.89,19.44,16.67,16.2,15.85,14.05,15.02,14.23,13.1,13.74,13.48,13.51,13.76,12.57,13.06,11.72,12.57,12.41,12.19,12.14,12.53,12.53,12.91,12.53
吉林省,5.71,5.65,5.44,5.34,5.35,5.69,5.44,4.62,4.74,4.99,4.81,4.74,5.4,4.47,4.82,5.04,4.77,5.39,4.83,4.97,4.91,5.61,5.73,5.66,8.68,9.81,8.73,8.15,8.2,7.43,6.42,6.95,6.37,6.49,6.43,6.85,6.75,6.66,6.93,7.49,6.95,7.36,6.79,6.39,6.71,6.64,6.74,6.91,6.86
黑龙江省,3.53,3.31,3.3,3.3,3.41,3.3,3.38,3.57,3.22,3.28,3.56,3.15,3.56,3.08,3.31,3.56,4.28,4.18,3.73,4.01,3.93,4.3,4.33,4.93,6.55,6.37,6.19,5.95,6.53,5.6,5.23,5.43,5.32,5.46,5.36,6.18,6.92,7.18,7.2,7.34,7.3,8.41,7.61,7.87,7.47,7.75,8.31,8.2,8.04
上海市,1.05,1.35,1.07,1.43,1.23,1.34,1.2,0.94,1.14,0.97,0.77,0.88,0.92,0.91,0.78,0.8,1,0.96,1.32,1.24,1.48,1.16,1.4,1.33,1.03,0.34,0.24,0.27,0.29,0.29,0.29,0.29,0.27,0.38,0.58,0.5,0.59,0.51,0.57,0.46,0.49,0.83,0.53,0.61,0.56,0.57,0.54,0.55,0.7
江苏省,2.01,1.99,1.92,1.74,1.86,1.8,1.63,1.5,1.65,1.59,1.15,1.32,1.55,1.44,1.47,1.23,1.4,1.47,1.41,1.57,1.4,1.24,1.22,0.87,0.64,0.25,0.3,0.43,0.51,0.6,0.83,0.92,1.05,1.39,1.5,1.34,1.47,1.59,1.45,1.02,1.52,1.65,1.65,1.63,1.45,1.35,1.22,1.37,1.48
浙江省,1.08,1.26,1.16,1.3,1.07,1.29,1.26,1.14,1.26,1.14,1.12,0.95,1.1,1.16,1.05,1.25,1.02,1.26,1.16,1.3,1.12,0.99,0.97,0.87,0.59,0.29,0.25,0.22,0.28,0.36,0.36,0.57,0.55,0.53,0.56,0.75,0.66,0.81,0.83,0.64,0.79,0.95,0.82,0.65,0.76,0.74,0.72,0.77,0.65
安徽省,0.55,0.69,0.57,0.44,0.39,0.58,0.51,0.5,0.51,0.53,0.41,0.52,0.47,0.48,0.64,0.42,0.44,0.54,0.45,0.42,0.43,0.43,0.43,0.3,0.2,0.12,0.19,0.34,0.54,0.76,1.02,0.77,1.11,1.05,1.21,0.9,1.24,0.89,0.97,0.78,1.39,1.1,1.08,0.87,0.87,0.72,0.73,0.74,0.73
福建省,0.37,0.46,0.42,0.38,0.28,0.33,0.34,0.32,0.37,0.36,0.32,0.26,0.26,0.28,0.32,0.25,0.27,0.32,0.29,0.29,0.33,0.22,0.28,0.18,0.12,0.09,0.09,0.07,0.13,0.18,0.23,0.26,0.42,0.31,0.49,0.5,0.5,0.56,0.49,0.39,0.46,0.59,0.62,0.45,0.5,0.41,0.31,0.38,0.4
江西省,0.45,0.43,0.38,0.4,0.35,0.28,0.28,0.18,0.29,0.32,0.21,0.2,0.21,0.29,0.25,0.21,0.25,0.27,0.21,0.28,0.2,0.11,0.2,0.21,0.09,0.09,0.05,0.06,0.11,0.1,0.19,0.19,0.21,0.33,0.32,0.31,0.44,0.4,0.4,0.36,0.49,0.51,0.42,0.31,0.28,0.25,0.23,0.28,0.21
山东省,3.52,3.48,3.68,3.48,3.56,3.37,3.47,2.96,3.16,3.71,3.44,3.27,3.48,3.42,3.13,3.38,3.13,3.02,2.8,3.08,2.83,2.7,2.43,1.84,1.32,0.83,1.12,1.88,2.3,3.09,4.79,3.67,3.98,4.7,3.76,3.26,3.62,3.54,3.15,2.86,5.19,4.51,3.71,4.15,3.67,3.38,3.16,3.35,3.43
河南省,1.66,1.6,1.44,1.53,1.57,1.54,1.43,1.35,1.67,1.63,1.32,1.27,1.5,1.54,1.27,1.24,1.49,1.09,1.3,1.12,1.08,1.11,0.98,0.97,0.84,0.34,0.53,0.98,1.3,1.86,3.46,2.09,2.86,3.59,3.71,2.98,3.82,2.93,2.59,2.34,4.04,2.62,3.55,4.06,3.55,3.18,2.98,2.78,2.91
湖北省,0.63,0.38,0.52,0.39,0.43,0.46,0.46,0.51,0.51,0.47,0.56,0.56,0.51,0.51,0.5,0.51,0.57,0.62,0.48,0.58,0.59,0.39,0.46,0.38,0.25,0.16,0.14,0.2,0.39,0.32,0.46,0.47,0.55,0.56,0.74,0.63,0.78,0.67,0.65,0.46,0.78,0.85,0.79,0.66,0.8,0.78,0.7,0.84,0.66
湖南省,0.95,0.62,0.72,0.59,0.64,0.62,0.73,0.4,0.47,0.35,0.26,0.26,0.36,0.38,0.32,0.26,0.34,0.3,0.4,0.33,0.35,0.27,0.33,0.23,0.14,0.11,0.07,0.13,0.14,0.17,0.39,0.24,0.35,0.32,0.57,0.38,0.36,0.43,0.4,0.36,0.45,0.65,0.37,0.37,0.45,0.32,0.36,0.3,0.42
广东省,1.35,1.43,1.71,1.42,1.43,1.7,1.49,1.49,1.51,1.62,1.42,1.17,1.46,1.5,1.47,1.44,1.68,1.6,1.59,1.55,1.68,1.51,1.42,1.43,1.37,0.64,0.52,0.51,0.52,0.44,0.52,0.53,0.52,0.6,0.73,0.7,0.64,0.81,0.88,0.71,0.74,0.9,0.68,0.78,0.82,0.79,0.73,0.82,0.96
广西壮族自治区,0.42,0.32,0.36,0.28,0.28,0.32,0.28,0.23,0.39,0.26,0.34,0.29,0.5,0.37,0.28,0.4,0.39,0.37,0.31,0.33,0.28,0.24,0.18,0.24,0.1,0.05,0.05,0.09,0.09,0.06,0.09,0.11,0.09,0.12,0.09,0.16,0.11,0.16,0.19,0.21,0.18,0.18,0.21,0.15,0.13,0.13,0.13,0.14,0.15
海南省,0.88,0.73,0.7,0.75,0.65,0.79,0.72,0.76,0.75,0.74,0.77,0.68,0.76,0.53,0.58,0.44,0.61,0.52,0.6,0.64,0.47,0.41,0.47,0.39,0.55,0.42,0.54,0.4,0.57,0.49,0.44,0.54,0.56,0.69,0.69,0.81,0.81,0.81,0.77,0.6,0.58,0.71,0.65,0.51,0.53,0.44,0.52,0.53,0.53
重庆市,0.45,0.52,0.6,0.48,0.51,0.43,0.44,0.62,0.46,0.44,0.3,0.41,0.35,0.46,0.33,0.35,0.38,0.24,0.5,0.37,0.39,0.42,0.34,0.3,0.18,0.1,0.1,0.12,0.15,0.18,0.38,0.25,0.37,0.32,0.48,0.42,0.46,0.48,0.6,0.43,0.42,0.48,0.47,0.47,0.52,0.45,0.44,0.41,0.4
四川省,1.1,0.79,0.92,0.7,0.8,0.69,0.8,0.95,0.74,0.9,0.63,0.67,0.8,0.96,0.86,0.74,0.89,0.79,0.95,0.97,1.04,1.07,0.88,0.92,0.4,0.2,0.17,0.37,0.45,0.57,0.82,0.66,0.79,0.9,1,0.99,1.09,1.1,1.19,1,1.02,1.27,1.28,1.32,1.53,1.53,1.37,1.52,1.36
贵州省,0.12,0.1,0.16,0.14,0.17,0.09,0.21,0.26,0.13,0.28,0.14,0.28,0.22,0.3,0.33,0.21,0.23,0.16,0.3,0.17,0.22,0.18,0.09,0.17,0.12,0.08,0.03,0.05,0.06,0.07,0.11,0.08,0.1,0.11,0.14,0.16,0.14,0.16,0.21,0.18,0.26,0.36,0.26,0.22,0.29,0.2,0.25,0.19,0.21
云南省,0.42,0.42,0.39,0.41,0.33,0.26,0.32,0.33,0.31,0.35,0.25,0.2,0.25,0.29,0.28,0.25,0.26,0.23,0.25,0.28,0.28,0.19,0.26,0.22,0.12,0.05,0.08,0.1,0.07,0.1,0.12,0.12,0.16,0.19,0.23,0.18,0.22,0.27,0.33,0.29,0.28,0.32,0.27,0.24,0.22,0.21,0.24,0.25,0.2
西藏自治区,0.02,0.04,0.04,0.04,0.03,0.06,0.03,0.02,0.05,0.06,0.04,0.06,0.07,0.06,0.03,0.01,0.06,0.04,0.03,0.04,0.01,0.04,0.03,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.02
陕西省,14.79,15.28,15.01,15.14,15.51,14.45,14.25,15.18,14.63,14.87,14.71,15.52,14.3,14.3,14.47,13.57,13.33,13.24,12.83,11.98,12.22,12.15,12.12,12.77,15.15,14.86,16.6,18.83,19.54,13.12,14.59,15.45,14.71,14.11,13.37,13.3,12.18,12.21,14.48,11.7,9.72,10.25,11.2,10.86,11.45,12.18,12.56,12.05,12.18
甘肃省,3.72,4,3.7,3.82,4.01,3.81,3.38,3.92,3.91,3.97,3.42,3.29,3.86,3.61,3.65,3.59,3.32,2.81,2.91,2.92,2.76,2.54,2.82,3.39,3.49,3.72,4.01,4.55,4.96,4.32,4.22,3.93,4.35,4.43,3.9,3.99,3.8,3.72,3.61,3.77,3.84,3.24,3.78,3.65,3.68,3.53,3.39,3.7,3.56
青海省,0.21,0.26,0.23,0.22,0.24,0.18,0.16,0.23,0.36,0.27,0.19,0.18,0.19,0.26,0.15,0.26,0.19,0.17,0.23,0.22,0.19,0.2,0.16,0.21,0.11,0.07,0.09,0.1,0.12,0.18,0.17,0.16,0.13,0.19,0.15,0.15,0.16,0.21,0.26,0.27,0.43,0.4,0.26,0.29,0.23,0.2,0.24,0.28,0.2
宁夏回族自治区,10.52,10.14,10.61,10.48,10.48,11.08,12.19,11.88,11.03,10.56,10.83,10.61,10.38,11.12,10.78,10.45,10.43,9.3,8.64,8.44,7.98,7.37,7.21,7.94,9.74,7.9,7.51,8.18,8.97,7.01,6.52,7.52,6.85,7.16,7.34,7.57,7.49,7.55,8.03,7.13,6.29,7.64,7.23,6.88,7.32,7.51,7.94,7.8,8.72
新疆维吾尔自治区,0.64,0.7,0.7,0.62,0.59,0.51,0.66,0.81,0.68,0.7,0.72,0.63,0.75,0.71,0.7,0.62,0.8,0.61,0.54,0.39,0.47,0.42,0.43,0.26,0.36,0.21,0.13,0.17,0.27,0.14,0.16,0.2,0.23,0.23,0.27,0.3,0.33,0.43,0.38,0.27,0.42,0.55,0.38,0.41,0.45,0.5,0.49,0.55,0.51
