迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天津市,11.96,9.9,9.51,11.33,11.78,11.52,15.96,11.03,10.39,9.47,9.8,10.79,8.97,11.51,11.55,9.92,9.01,9.52,9.59,9.67,9.26,8.93,9.19,9.19,8.07,7.26,7.48,6.4,5.41,4.62,5.16,4.44,4.01,3.96,5.78,5.05,4.62,5.12,5.96,5.39,3.81,6.53,4.69,4.2,4.35,5.12,5.6,5.45,8.61
河北省,40.79,44.59,44.7,45.25,38.12,39.31,50.67,47.76,45.28,49.05,50.38,44.41,45.06,58.34,52.18,50.06,54.42,51.42,44.71,54.08,50.01,46.27,47.16,46.25,54.87,59.96,54.01,51.72,47.23,43.85,43.6,43.73,40.53,38.93,43.07,40.48,38.29,42.86,40.57,44.45,36.85,45.94,41.45,38.73,42.22,42.88,40.66,42.44,50.65
山西省,2.44,2.53,2.47,2.07,2.14,2.9,2.01,2.36,2.55,2.19,2.02,2.35,2.65,1.7,2.06,2.2,2.1,2.03,2.36,2.09,2.56,2.63,2.73,2.87,2.41,2.14,2.91,3.62,4.67,5.96,5.66,6.15,6.05,5.95,4.89,5.01,4.67,3.96,4,4.22,4.26,3.56,4.32,4.55,4.17,4.05,3.9,3.9,3.16
内蒙古自治区,2.92,2.76,2.87,2.77,2.7,3.18,2.14,3.03,2.84,2.53,2.47,2.69,3.19,1.94,2.52,2.78,2.22,2.49,2.77,2.34,2.62,2.72,2.7,2.5,2.22,2.37,2.84,3.16,3.34,3.72,3.51,3.51,3.39,3.49,3.05,3.32,3.32,3.18,3.41,3.56,2.78,2.57,2.71,2.84,2.69,2.68,2.86,3.02,2.46
辽宁省,2.55,2.33,2.3,1.94,2,2.62,1.79,2.23,2.4,2.29,2.22,2.32,2.54,1.84,2.26,2.66,2.06,2.31,2.71,2.32,2.51,2.73,2.9,2.91,2.3,2.84,3.32,3.45,4.36,4.79,4.07,4.04,3.91,3.93,3.39,3.54,3.55,3.47,3.34,3.36,3.48,2.98,2.96,2.98,2.89,2.8,2.81,2.93,2.48
吉林省,0.88,0.85,0.92,0.65,0.71,0.91,0.46,0.66,0.64,0.7,0.61,0.59,0.67,0.54,0.58,0.78,0.66,0.71,0.8,0.7,0.75,0.92,0.99,0.98,0.69,0.83,1.08,1.14,1.36,1.49,1.53,1.39,1.52,1.52,1.27,1.49,1.42,1.47,1.39,1.35,1.69,1.34,1.35,1.43,1.45,1.39,1.41,1.4,1.08
黑龙江省,1,0.99,0.74,0.69,0.84,0.93,0.46,0.72,0.66,0.63,0.61,0.59,0.87,0.45,0.6,0.65,0.7,0.66,0.79,0.7,0.73,0.83,1.04,1.15,0.85,1.13,1.08,1.23,1.29,1.5,1.32,1.51,1.66,1.75,1.54,1.94,2.02,2.09,2.16,1.84,2.28,1.73,2.06,2.21,2.18,1.96,2,2.32,1.65
上海市,3.09,2.93,3.1,3.21,4.26,2.99,2.08,2.37,2.49,2.31,2.17,2.62,2.21,1.52,1.64,1.91,1.75,1.98,2.61,1.66,1.96,2.15,2.21,2.03,1.32,0.7,0.63,0.51,0.5,0.43,0.44,0.56,0.62,0.63,0.88,1.18,1.47,1.61,2.03,1.44,0.86,1.1,1.32,1.47,1.53,1.6,2.03,1.45,1.47
