迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,15.69,15.83,15.76,17.37,26.35,15.37,16.18,15.32,14.4,13.9,15.8,23.24,14.16,15.46,13.73,14.24,15.26,17.04,22.46,18.32,20.13,24.25,29.92,31.55,20.02,11.01,8.65,6.83,6,4.57,5.5,6.19,7.05,9.07,8.13,8.34,9.01,10.19,14.99,16.05,6.62,10.11,7.74,8.32,9.11,11.31,17,9.88,11.16
天津市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河北省,47.61,48.94,48.66,49.85,44.58,50.3,52.06,54.2,51.16,51.49,54.99,50.6,55.47,56.02,58.32,56.86,55.95,55.28,49.86,52.63,51.6,49.08,45.88,44.87,61.54,72.39,67.13,63.9,57.1,51.5,43,48.26,46.03,44.29,43.67,45.13,43.69,47.03,48.35,48.14,41.25,42.45,42.87,40.79,42.44,43.94,43.72,47.33,47.1
山西省,2.74,2.62,2.58,2.28,1.98,2.63,2.13,2.09,2.36,2.53,2.61,2.09,2.33,2.31,2.22,2.44,2.31,2.11,1.96,2.16,1.75,1.63,1.53,1.6,1.25,1.04,1.62,2.25,2.66,3.81,4.08,3.97,3.71,3.68,3.2,3.27,3,2.59,2.58,2.36,2.84,2.56,3.44,3.51,3.1,2.82,2.69,3.31,2.93
内蒙古自治区,2.14,1.99,1.88,1.79,1.51,2.06,1.75,1.63,1.74,1.75,1.54,1.62,1.97,1.71,1.67,1.66,1.67,1.45,1.42,1.58,1.32,1.34,0.99,1.17,0.91,0.67,1.42,1.62,2.06,2.68,3.01,2.52,2.41,2.18,2.32,2.39,2.25,2.29,1.89,1.83,1.71,1.64,2.1,2.02,2.05,1.88,1.64,1.88,1.87
辽宁省,3.5,3.33,3.06,2.76,2.41,2.89,2.92,3.26,2.68,3.3,2.64,2.54,2.45,2.88,2.75,2.63,2.73,2.51,2.42,2.35,2.16,2.39,1.98,1.96,2.02,2.25,2.6,2.73,3.55,3.98,4.19,4.1,3.84,3.74,3.89,3.96,3.66,3.65,3.15,3.26,4.08,4.1,3.56,3.61,3.57,3.52,2.98,3.2,3.24
吉林省,0.87,0.61,0.63,0.6,0.55,0.63,0.62,0.75,0.62,0.61,0.37,0.4,0.38,0.55,0.57,0.48,0.58,0.5,0.66,0.53,0.62,0.49,0.53,0.61,0.68,0.65,0.79,1.03,1.43,1.65,2.28,1.76,1.75,1.78,1.72,1.9,1.79,1.91,1.64,1.22,2.22,2.07,2,2.01,1.97,1.8,1.47,1.72,1.55
黑龙江省,0.92,0.71,0.77,0.66,0.7,0.72,0.63,0.94,0.63,0.78,0.62,0.52,0.51,0.64,0.64,0.65,0.69,0.59,0.55,0.59,0.76,0.68,0.72,0.8,0.86,0.66,1.03,1.72,1.84,2.57,2.43,1.78,1.83,1.95,2.28,2.19,2.39,2.68,2.27,1.69,2.84,2.64,2.45,2.58,2.79,2.35,1.91,2.35,2.19
上海市,1.36,1.57,1.64,1.64,1.52,1.63,1.31,1.05,1.25,1.15,0.89,0.86,0.7,0.83,0.8,1.02,0.89,0.96,1.28,1.26,1.19,1.26,1.25,1.39,0.85,0.37,0.26,0.26,0.21,0.26,0.29,0.3,0.26,0.36,0.58,0.68,0.76,0.88,0.92,0.56,0.54,0.83,0.8,0.9,0.95,0.9,0.85,0.78,0.95
江苏省,2.7,2.74,2.88,2.47,2.35,2.56,2.14,1.96,2.33,2.42,1.77,1.73,1.76,1.73,1.74,1.7,1.88,1.74,1.99,2.05,2.11,1.74,1.6,1.49,0.79,0.6,0.76,0.75,1.02,1.11,1.47,1.43,1.67,1.84,2.04,2.29,2.46,2.41,2,1.93,2.78,2.63,2.44,2.3,2.48,2.28,1.99,2.02,2.13
浙江省,1.43,1.3,1.64,1.25,1.24,1.15,1.22,1.24,1.35,1.32,1.15,0.89,0.92,1.1,1.01,1.09,1.09,1.05,1.27,1.12,1.26,1.06,0.83,0.92,0.44,0.31,0.32,0.23,0.45,0.34,0.51,0.5,0.62,0.6,0.83,0.9,0.95,1.14,1.01,0.72,0.95,0.96,1.14,1.06,1.11,1.07,1.18,1.04,1.09
安徽省,1.05,0.88,0.88,0.85,0.71,0.9,0.79,0.85,0.9,1.06,0.8,0.64,0.93,0.83,0.81,0.81,0.79,0.78,0.78,0.91,0.87,0.81,0.87,0.68,0.54,0.38,0.83,1.22,1.52,2.02,3.28,2.47,2.75,2.98,3.44,2.99,3.5,2.57,1.85,1.53,4.18,2.98,2.79,2.55,2.77,2.16,1.9,1.84,1.71
福建省,0.65,0.67,0.61,0.49,0.43,0.57,0.51,0.49,0.46,0.71,0.49,0.31,0.46,0.45,0.32,0.39,0.46,0.53,0.38,0.55,0.5,0.45,0.36,0.26,0.23,0.11,0.2,0.15,0.33,0.29,0.42,0.43,0.49,0.52,0.63,0.67,0.51,0.67,0.52,0.41,0.55,0.65,0.72,0.72,0.59,0.51,0.48,0.62,0.53
江西省,0.44,0.49,0.43,0.43,0.32,0.37,0.3,0.32,0.41,0.4,0.28,0.22,0.36,0.26,0.38,0.3,0.27,0.34,0.32,0.39,0.41,0.35,0.3,0.17,0.18,0.11,0.14,0.25,0.38,0.47,0.64,0.52,0.63,0.69,0.74,0.5,0.78,0.63,0.57,0.28,0.72,0.61,0.6,0.66,0.48,0.55,0.42,0.55,0.5
山东省,8.65,8.06,8.71,7.75,7.21,8.48,8.06,6.96,8.88,8.36,7.19,6.75,7.49,7.11,7.14,7.36,7.27,6.67,6.25,6.53,6.16,5.82,4.98,4.53,4.25,5.49,9.31,10.27,12.76,14.06,14.04,13.56,13.04,12,11.19,10.9,10.5,9.06,6.73,11.14,13.1,10.48,10.99,10.61,9.39,8.98,7.82,8.45,9.2
河南省,2.85,2.34,2.46,2.18,2.09,2.44,2.37,2.05,2.55,2.71,2.21,1.97,2.27,2.22,2.1,2.11,2.15,2.04,1.8,2.14,2.08,1.99,1.76,2.07,1.57,1.19,1.98,3.04,4.21,5.46,8.69,6.2,7.16,7.9,7.48,6.38,6.74,4.78,3.89,3.82,8.06,7.14,7.92,9.32,7.92,7.26,6.13,6.06,5.41
湖北省,0.6,0.67,0.68,0.58,0.53,0.58,0.66,0.62,0.8,0.6,0.65,0.51,0.52,0.59,0.54,0.54,0.67,0.47,0.48,0.63,0.68,0.5,0.46,0.44,0.32,0.27,0.3,0.41,0.58,0.81,1.09,0.89,1.07,1.04,1.47,1.24,1.26,1.16,0.96,0.77,2.13,1.67,2.09,1.9,2.08,1.64,1.34,1.25,1.16
湖南省,0.72,0.69,0.47,0.68,0.48,0.68,0.55,0.38,0.58,0.45,0.35,0.38,0.56,0.35,0.23,0.35,0.44,0.37,0.34,0.4,0.42,0.32,0.38,0.31,0.19,0.09,0.16,0.22,0.47,0.42,0.64,0.54,0.94,0.62,0.82,0.73,0.91,0.67,0.66,0.42,0.72,0.73,0.64,0.73,0.53,0.63,0.57,0.58,0.64
广东省,1.43,1.61,1.75,1.56,1.45,1.66,1.59,1.46,1.69,1.69,1.78,1.34,1.42,1.43,1.36,1.51,1.33,1.54,1.53,1.72,1.65,1.74,1.56,1.34,0.95,0.36,0.45,0.42,0.47,0.32,0.38,0.49,0.47,0.52,0.71,0.74,0.84,0.93,0.93,0.65,0.65,0.93,0.83,0.87,1,0.98,0.94,1.12,1.03
广西壮族自治区,0.54,0.36,0.39,0.25,0.2,0.2,0.27,0.29,0.32,0.36,0.31,0.22,0.21,0.25,0.31,0.23,0.29,0.35,0.22,0.3,0.24,0.3,0.3,0.2,0.18,0.05,0.04,0.13,0.14,0.12,0.16,0.16,0.14,0.15,0.18,0.23,0.19,0.18,0.19,0.13,0.13,0.16,0.24,0.22,0.24,0.21,0.34,0.32,0.27
海南省,0.84,0.77,0.72,0.68,0.62,0.8,0.89,0.86,0.79,0.78,0.74,0.51,0.89,0.6,0.61,0.59,0.67,0.49,0.79,0.7,0.73,0.73,0.68,1.01,0.74,0.85,0.6,0.61,0.49,0.33,0.33,0.41,0.32,0.34,0.37,0.36,0.34,0.39,0.4,0.25,0.21,0.39,0.33,0.33,0.41,0.41,0.4,0.42,0.43
重庆市,0.42,0.5,0.51,0.47,0.44,0.37,0.45,0.48,0.53,0.44,0.33,0.36,0.46,0.27,0.34,0.29,0.45,0.29,0.48,0.41,0.34,0.43,0.41,0.24,0.15,0.11,0.15,0.12,0.2,0.29,0.36,0.31,0.43,0.31,0.43,0.41,0.54,0.44,0.5,0.3,0.36,0.47,0.52,0.47,0.54,0.51,0.48,0.48,0.47
四川省,0.74,0.86,0.74,0.89,0.67,0.81,0.7,0.84,0.93,0.81,0.7,0.69,0.91,0.52,0.66,0.71,0.65,0.9,0.8,0.87,0.87,0.91,0.81,0.63,0.34,0.28,0.32,0.44,0.55,0.72,0.69,0.78,0.73,0.83,1.01,0.98,1.11,1.01,1.23,0.74,0.95,1.25,1.18,1.4,1.23,1.44,1.05,1.39,1.14
贵州省,0.1,0.18,0.09,0.23,0.14,0.2,0.11,0.12,0.26,0.15,0.17,0.08,0.33,0.15,0.21,0.17,0.09,0.28,0.18,0.24,0.17,0.17,0.15,0.22,0.1,0.03,0.07,0.17,0.05,0.13,0.15,0.2,0.17,0.18,0.18,0.27,0.17,0.22,0.2,0.13,0.12,0.23,0.22,0.31,0.36,0.34,0.31,0.37,0.41
云南省,0.44,0.48,0.41,0.53,0.25,0.36,0.25,0.25,0.52,0.29,0.3,0.2,0.66,0.28,0.23,0.37,0.15,0.37,0.34,0.3,0.34,0.21,0.48,0.18,0.16,0.11,0.12,0.19,0.17,0.16,0.15,0.2,0.16,0.21,0.2,0.18,0.29,0.25,0.32,0.17,0.24,0.28,0.27,0.37,0.32,0.37,0.31,0.45,0.4
西藏自治区,0.01,0.04,0.02,0.01,0.01,0.02,0.02,0.03,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.05,0.02,0.03,0.04,0.01,0,0,0.01,0.01,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0.02,0.02,0.01,0.02,0.01,0.05,0.03
陕西省,0.72,0.74,0.68,0.63,0.59,0.7,0.68,0.52,0.8,0.83,0.47,0.59,0.65,0.54,0.55,0.57,0.52,0.51,0.51,0.6,0.71,0.58,0.52,0.56,0.19,0.18,0.26,0.38,0.47,0.62,0.75,0.75,0.87,0.88,0.9,0.96,0.91,0.9,0.93,0.62,0.79,0.92,0.88,1.05,1.11,0.87,0.78,1.08,0.99
甘肃省,0.32,0.39,0.39,0.37,0.21,0.36,0.22,0.32,0.42,0.36,0.27,0.19,0.5,0.22,0.23,0.22,0.19,0.16,0.24,0.25,0.21,0.25,0.15,0.23,0.18,0.14,0.19,0.3,0.47,0.89,1.05,0.79,1,0.9,1.07,0.93,1.01,0.77,0.79,0.47,0.87,0.6,0.68,0.82,0.91,0.72,0.69,0.78,0.76
青海省,0.09,0.06,0.05,0.04,0.05,0.04,0.06,0.07,0.05,0.12,0.03,0.06,0.04,0.05,0.03,0.04,0.05,0.05,0.04,0.04,0.06,0.08,0.04,0.06,0.02,0.01,0.04,0.03,0.03,0.03,0.05,0.02,0.08,0.04,0.06,0.07,0.04,0.1,0.04,0.03,0.03,0.05,0.08,0.03,0.07,0.07,0.07,0.07,0.1
宁夏回族自治区,0.12,0.15,0.11,0.15,0.12,0.13,0.13,0.15,0.17,0.18,0.17,0.14,0.15,0.15,0.08,0.2,0.13,0.13,0.15,0.11,0.14,0.12,0.06,0.14,0.08,0.05,0.05,0.09,0.14,0.1,0.11,0.15,0.14,0.13,0.14,0.14,0.15,0.16,0.15,0.1,0.09,0.13,0.15,0.16,0.12,0.12,0.17,0.16,0.18
