迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.68,1.81,1.69,1.43,2.11,2.34,1.95,1.54,1.78,1.65,1.48,1.29,1.49,1.64,1.63,1.68,1.98,2.21,2.81,2.67,3.14,3.9,3.41,3.57,1.87,0.94,0.71,0.53,0.47,0.45,0.73,0.74,0.62,0.84,1.14,1.32,1.07,1.31,1.53,1.08,1.11,1.78,1.57,1.63,1.71,1.41,1.52,1.39,1.6
天津市,1.04,0.77,0.72,0.87,0.97,0.82,0.73,0.72,0.7,1.06,0.73,0.76,0.87,0.82,0.56,0.91,0.65,0.88,0.78,0.76,0.84,0.87,0.41,0.95,0.45,0.23,0.11,0.34,0.26,0.29,0.34,0.32,0.37,0.43,0.64,0.59,0.54,0.66,0.49,0.28,0.41,0.65,0.61,0.59,0.66,0.53,0.53,0.66,0.56
河北省,0.7,0.98,0.97,1.07,1.09,1.39,1.44,0.83,0.82,1.06,1.09,1.28,1.11,1.04,1.42,1.25,1.3,1.08,1.12,0.85,0.63,0.78,0.63,1.17,0.66,0.49,0.49,0.81,1.1,1.42,2.65,1.85,2.8,3.37,2.71,3,2.76,2.83,2,2.82,4.1,3.38,3.16,3.44,3.24,3.25,3.31,3.9,2.85
山西省,1.34,1.62,1.51,1.89,1.47,1.55,1.86,1.57,1.8,1.65,1.86,1.46,1.75,1.72,1.71,2.11,1.74,1.54,1.06,1.22,0.88,0.98,1.03,0.63,0.57,0.49,1.08,1.4,1.28,1.36,2.34,2.24,2.88,2.62,2.44,2.14,2.2,1.85,1.99,2.12,2.78,2.11,2.65,2.97,2.45,2.68,2.52,2.46,2.17
内蒙古自治区,28.67,28.61,29.73,30.13,33.03,30.03,34.01,31.41,31.22,29.63,31.27,33.36,30.98,30.77,32.02,31.12,29.77,29.52,29.78,27.98,27.68,28.25,27.23,28.37,31.34,31.21,27.25,23.2,21.64,19.42,17.19,19.39,19.49,20.12,20.87,22.81,22.64,24.17,25.47,23.63,17.68,21.71,20.26,19.76,20.69,22.53,26,23.01,23.52
辽宁省,0.47,0.4,0.46,0.53,0.34,0.37,0.37,0.32,0.16,0.24,0.23,0.25,0.27,0.26,0.25,0.3,0.19,0.25,0.2,0.21,0.37,0.24,0.3,0.2,0.12,0.09,0.07,0.11,0.12,0.16,0.39,0.38,0.35,0.42,0.56,0.6,0.49,0.41,0.43,0.59,0.66,0.97,0.63,0.61,0.69,0.56,0.52,0.39,0.54
吉林省,0.15,0.12,0.03,0.09,0.11,0.13,0.09,0.05,0.06,0.04,0.07,0.06,0.04,0.06,0.01,0.09,0.05,0.04,0.06,0.01,0.05,0.03,0.03,0.11,0.05,0.02,0.02,0.02,0.02,0.07,0.14,0.14,0.18,0.18,0.12,0.22,0.17,0.21,0.21,0.39,0.3,0.33,0.33,0.27,0.27,0.67,0.57,0.33,0.23
黑龙江省,0.13,0.09,0.17,0.07,0.06,0.05,0.1,0.05,0.1,0.04,0.05,0.02,0.12,0.05,0.07,0.01,0.07,0.06,0.07,0.03,0.05,0.12,0.03,0.02,0.05,0.01,0.02,0.08,0.02,0.05,0.14,0.15,0.17,0.15,0.13,0.14,0.14,0.22,0.37,0.3,0.41,0.48,0.29,0.43,0.35,0.37,0.28,0.28,0.4
上海市,1.51,1.67,1.39,1.98,2,1.7,1.62,1.26,1.28,1.09,0.84,0.82,1.02,1.05,1.06,1.13,0.96,1.49,1.46,2.12,1.95,1.48,2.21,1.85,0.72,0.6,0.3,0.41,0.33,0.38,0.21,0.4,0.31,0.46,0.6,0.5,0.72,0.74,0.63,0.85,0.8,1.18,0.89,0.75,0.84,0.68,0.93,0.67,0.77
