迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.96,1.84,2.11,1.88,1.86,1.73,1.61,1.23,1.4,1.57,1.52,1.53,1.63,1.38,1.46,1.57,1.74,1.72,1.81,2.06,2.14,2.29,2.3,2.24,1.44,0.8,0.74,0.69,0.62,0.53,0.68,0.75,0.72,0.76,0.92,0.99,1.08,1.2,1.23,0.83,0.92,1.13,1.27,1.27,1.26,1.25,1.21,1.21,1.33
天津市,0.78,0.75,0.75,0.67,0.67,0.61,0.69,0.49,0.79,0.64,0.56,0.51,0.53,0.61,0.62,0.67,0.68,0.62,0.54,0.6,0.63,0.61,0.67,0.83,0.76,0.33,0.36,0.36,0.32,0.24,0.32,0.35,0.31,0.32,0.4,0.38,0.43,0.41,0.44,0.32,0.38,0.48,0.54,0.55,0.57,0.51,0.49,0.61,0.58
河北省,0.78,0.98,1,0.92,0.83,0.82,0.73,0.48,0.56,0.63,0.97,0.88,0.84,0.76,0.76,0.84,0.88,0.79,0.74,0.75,0.71,0.78,0.76,1.04,0.95,0.59,0.75,0.8,0.83,0.81,1.31,1.35,1.53,1.55,1.7,1.81,1.77,1.58,1.41,1.11,1.99,1.84,2.21,2.24,2.28,2.41,2.13,2.21,2.15
山西省,0.48,0.49,0.43,0.48,0.44,0.42,0.35,0.41,0.36,0.34,0.45,0.44,0.41,0.35,0.35,0.41,0.38,0.36,0.32,0.32,0.33,0.29,0.33,0.44,0.37,0.23,0.27,0.42,0.49,0.65,1.14,0.78,0.93,1,0.96,0.87,0.92,0.59,0.7,0.5,0.98,0.74,0.94,1.01,1.07,0.98,0.83,0.94,0.8
内蒙古自治区,0.22,0.19,0.23,0.17,0.18,0.17,0.19,0.14,0.13,0.14,0.18,0.18,0.23,0.17,0.24,0.17,0.19,0.15,0.14,0.15,0.2,0.18,0.16,0.21,0.18,0.1,0.1,0.13,0.14,0.12,0.17,0.19,0.2,0.19,0.23,0.23,0.2,0.21,0.19,0.11,0.17,0.22,0.23,0.26,0.28,0.26,0.24,0.26,0.25
辽宁省,0.51,0.51,0.52,0.41,0.37,0.35,0.34,0.25,0.19,0.34,0.38,0.4,0.4,0.34,0.35,0.37,0.38,0.31,0.28,0.28,0.28,0.26,0.25,0.21,0.22,0.17,0.21,0.2,0.28,0.26,0.32,0.4,0.4,0.42,0.43,0.42,0.45,0.45,0.48,0.31,0.51,0.45,0.54,0.5,0.59,0.52,0.45,0.49,0.5
吉林省,0.13,0.12,0.11,0.08,0.11,0.09,0.09,0.05,0.04,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.06,0.04,0.05,0.05,0.06,0.05,0.04,0.04,0.05,0.04,0.04,0.07,0.12,0.1,0.16,0.15,0.19,0.15,0.21,0.22,0.19,0.23,0.2,0.15,0.2,0.25,0.26,0.29,0.34,0.3,0.29,0.28,0.33
黑龙江省,0.15,0.1,0.12,0.08,0.14,0.12,0.08,0.05,0.05,0.05,0.06,0.06,0.07,0.05,0.04,0.04,0.06,0.04,0.02,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.07,0.06,0.1,0.12,0.12,0.14,0.15,0.19,0.2,0.24,0.24,0.16,0.25,0.23,0.3,0.27,0.33,0.31,0.29,0.3,0.28
上海市,9.12,9.55,9.66,11.19,12.78,12.2,11.36,11.5,13.06,12.22,8.36,8.68,8.79,9.34,9.89,10.93,12.13,13.44,17.1,17.12,17.75,18.25,18.32,17.71,12.41,7.51,6.72,6.34,5.72,4.54,4.68,5.4,5.4,5.66,6.08,6.72,7.17,8.43,9.35,7.65,6.04,7.64,7.66,7.68,7.82,8.43,9.56,7.61,8.4
