迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.92,1.97,1.83,1.95,1.78,1.7,1.85,1.68,1.68,1.75,1.98,1.88,1.7,1.93,1.89,1.93,1.84,1.87,2.17,1.98,1.94,2.18,2.33,2.13,1.71,0.95,0.5,0.29,0.18,0.16,0.18,0.19,0.17,0.2,0.32,0.42,0.43,0.52,0.64,0.6,0.35,0.55,0.64,0.72,0.8,0.79,0.94,0.9,1.21
天津市,0.58,0.6,0.58,0.49,0.48,0.49,0.57,0.44,0.47,0.52,0.54,0.57,0.55,0.58,0.48,0.54,0.58,0.5,0.5,0.44,0.49,0.42,0.43,0.47,0.42,0.23,0.13,0.11,0.09,0.06,0.07,0.07,0.07,0.08,0.1,0.12,0.13,0.15,0.18,0.17,0.12,0.14,0.16,0.2,0.23,0.22,0.24,0.3,0.35
河北省,0.55,0.62,0.7,0.76,0.72,0.68,0.65,0.61,0.55,0.69,0.94,0.97,1.36,0.9,0.82,0.86,0.84,0.81,0.71,0.77,0.7,0.67,0.76,0.8,0.89,0.58,0.43,0.27,0.19,0.19,0.21,0.27,0.25,0.31,0.35,0.46,0.47,0.54,0.66,0.64,0.47,0.53,0.53,0.59,0.67,0.77,0.79,0.98,0.98
山西省,0.43,0.5,0.47,0.5,0.45,0.52,0.46,0.43,0.47,0.5,0.48,0.54,0.67,0.58,0.44,0.6,0.53,0.56,0.49,0.54,0.5,0.57,0.58,0.64,0.5,0.28,0.27,0.26,0.22,0.2,0.24,0.27,0.24,0.26,0.27,0.35,0.33,0.37,0.44,0.46,0.29,0.31,0.34,0.35,0.4,0.46,0.45,0.52,0.51
内蒙古自治区,0.28,0.26,0.3,0.34,0.3,0.33,0.34,0.26,0.32,0.35,0.34,0.41,0.72,0.37,0.36,0.37,0.46,0.43,0.39,0.43,0.42,0.43,0.46,0.59,0.66,0.3,0.26,0.15,0.11,0.09,0.08,0.08,0.09,0.08,0.1,0.12,0.12,0.16,0.2,0.17,0.11,0.12,0.13,0.14,0.16,0.18,0.2,0.25,0.22
辽宁省,0.59,0.65,0.59,0.68,0.58,0.67,0.54,0.55,0.41,0.65,0.79,0.78,1.01,0.87,0.78,0.89,0.91,0.8,0.75,0.81,0.79,0.87,0.97,0.97,0.99,0.65,0.45,0.33,0.24,0.21,0.21,0.24,0.23,0.24,0.28,0.35,0.33,0.39,0.47,0.43,0.32,0.34,0.4,0.45,0.49,0.51,0.53,0.64,0.67
吉林省,0.3,0.32,0.31,0.28,0.23,0.37,0.26,0.26,0.21,0.22,0.29,0.24,0.31,0.3,0.26,0.23,0.28,0.2,0.27,0.33,0.31,0.28,0.33,0.36,0.28,0.25,0.23,0.13,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.17,0.17,0.19,0.26,0.25,0.16,0.2,0.21,0.22,0.27,0.29,0.3,0.35,0.38
黑龙江省,0.44,0.36,0.37,0.41,0.35,0.4,0.32,0.31,0.3,0.34,0.42,0.37,0.56,0.36,0.42,0.47,0.35,0.41,0.33,0.45,0.37,0.35,0.52,0.5,0.62,0.42,0.28,0.14,0.09,0.09,0.08,0.11,0.1,0.12,0.13,0.18,0.23,0.25,0.32,0.3,0.22,0.22,0.24,0.3,0.33,0.36,0.34,0.44,0.4
上海市,4.13,4.19,4.2,4.18,4.35,3.23,3.36,3.07,2.88,2.99,2.76,2.67,2.41,2.63,2.64,2.77,2.77,2.83,3.31,2.92,3.02,2.92,3.09,3.33,2.57,1.32,0.64,0.35,0.25,0.21,0.23,0.23,0.22,0.25,0.41,0.57,0.63,0.78,1,0.92,0.51,0.82,0.93,1.07,1.18,1.19,1.55,1.55,1.93
江苏省,4.11,3.97,4.14,3.88,3.82,3.52,3.88,3.46,3.66,3.96,3.66,3.41,3.44,3.67,3.2,3.36,3.56,3.3,3.45,3.24,3.14,2.94,2.94,2.85,1.94,1.17,0.9,0.79,0.59,0.58,0.64,0.65,0.7,0.73,0.92,1.14,1.24,1.38,1.59,1.43,1.11,1.31,1.34,1.45,1.62,1.66,1.84,2.11,2.46
浙江省,4.6,4.62,4.69,4.58,4.64,4.43,4.41,4.7,5.2,4.96,4.14,4.19,3.82,4.49,4.08,4.02,4.23,4.46,4.24,3.87,3.57,3.42,3.09,3.01,2.21,1.29,0.99,0.78,0.63,0.64,0.75,0.7,0.78,0.87,0.99,1.16,1.21,1.45,1.82,1.56,1.31,1.41,1.52,1.74,1.87,2.22,2.6,3.02,3.07
安徽省,1.65,1.64,1.78,1.58,1.55,1.65,1.65,1.48,1.63,1.8,1.77,1.75,1.82,1.71,1.69,1.74,1.7,1.76,1.61,1.68,1.55,1.68,1.67,1.6,1.1,0.9,1.14,1.35,1.34,1.41,1.51,1.44,1.45,1.57,1.61,1.77,2,2.02,2.1,1.57,1.76,1.6,1.57,1.56,1.59,1.59,1.54,1.67,1.62
福建省,7.3,7.28,7.34,7.37,7.4,7.18,7.33,7.77,7.28,7.06,7.11,7.5,6.52,7.25,7.57,7.4,7.13,7.2,7.09,7.06,6.85,6.54,6.16,5.7,5.97,7.81,5.64,4.25,3.53,3.7,3.57,3.39,3.35,3.49,3.21,3.04,2.95,3.14,3.34,4.05,3.35,3.51,3.15,3.13,3.4,3.7,4.02,4.01,4.66
江西省,8.36,8.17,8.14,8.02,8.04,8.33,8.5,8.28,8.85,8.28,8.41,8.19,7.77,8.1,8.04,8.11,8.17,8.2,7.84,7.88,8.29,8.24,8.28,7.76,7.24,11.51,11.75,11.66,10.82,11.69,13.96,12.23,12.36,12.06,11.04,10.12,9.93,8.84,7.85,10.99,11.61,11.64,10.67,9.12,8.39,8.28,7.96,7.93,7.99
山东省,2.15,2.1,2.21,1.99,2.05,2,2.02,1.88,1.94,2,2.23,2.28,2.22,2.12,1.95,1.97,1.91,1.71,1.65,1.58,1.61,1.49,1.52,1.39,1.08,0.76,0.71,0.63,0.59,0.55,0.62,0.65,0.6,0.65,0.71,0.86,0.83,0.98,1.11,0.96,0.69,0.86,0.91,1,1.14,1.21,1.26,1.53,1.64
河南省,3.32,3.17,3.46,3.22,3.19,3.49,3.41,3.22,3.36,3.5,3.76,3.74,3.95,3.82,3.53,3.56,3.65,3.26,3.36,3.29,3.37,3.04,3.19,3.36,3,2.21,2.83,3.93,4.65,5.4,5.2,5.06,4.89,5.77,5.25,5.62,5.95,6.35,6.25,4.19,5.94,5.16,6.15,7.03,6.92,6.45,6.2,6.13,5.66
湖北省,4.41,4.41,4.76,4.59,4.68,4.94,4.74,4.56,4.86,4.81,4.73,4.33,4.67,4.44,4.18,4.6,4.57,4.26,4.59,4.88,4.83,4.86,5.32,5.66,4.5,3.95,4.57,5.49,6.38,7.32,6.45,7,6.93,6.7,7.62,7.74,8.16,8.31,8.28,6.44,8.31,7.43,8.63,7.28,7.98,7.38,6.97,6.77,6.36
