迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.5,0.45,0.4,0.45,0.36,0.39,0.31,0.21,0.13,0.22,0.35,0.37,0.33,0.21,0.17,0.21,0.2,0.24,0.24,0.22,0.29,0.33,0.44,0.45,0.58,0.21,0.21,0.2,0.25,0.21,0.24,0.25,0.26,0.33,0.4,0.52,0.4,0.46,0.46,0.4,0.39,0.59,0.55,0.65,0.59,0.59,0.48,0.51,0.72
天津市,0.16,0.16,0.14,0.1,0.1,0.06,0.08,0.06,0.04,0.09,0.15,0.07,0.09,0.07,0.05,0.06,0.04,0.06,0.05,0.06,0.06,0.07,0.09,0.07,0.15,0.04,0.03,0.07,0.07,0.07,0.11,0.12,0.11,0.1,0.17,0.17,0.19,0.22,0.2,0.13,0.16,0.19,0.29,0.32,0.24,0.3,0.24,0.31,0.29
河北省,0.25,0.23,0.23,0.2,0.22,0.17,0.19,0.1,0.06,0.12,0.32,0.28,0.26,0.17,0.15,0.11,0.12,0.1,0.09,0.1,0.09,0.09,0.16,0.2,0.32,0.22,0.34,0.43,0.38,0.4,0.61,0.79,0.66,0.83,0.93,1.09,0.96,0.97,0.91,0.65,0.7,0.88,0.96,1.26,1.26,1.29,1.39,1.71,1.25
山西省,0.21,0.16,0.16,0.13,0.11,0.1,0.09,0.06,0.04,0.08,0.15,0.12,0.16,0.07,0.09,0.08,0.08,0.06,0.05,0.07,0.04,0.06,0.1,0.09,0.08,0.05,0.08,0.12,0.17,0.2,0.26,0.34,0.25,0.38,0.35,0.35,0.37,0.35,0.44,0.27,0.36,0.38,0.43,0.59,0.49,0.58,0.51,0.69,0.54
内蒙古自治区,0.1,0.06,0.05,0.06,0.04,0.03,0.04,0.02,0.02,0.03,0.06,0.04,0.09,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.04,0.04,0.07,0.03,0.04,0.05,0.08,0.07,0.1,0.1,0.07,0.1,0.12,0.15,0.15,0.17,0.13,0.09,0.09,0.16,0.18,0.17,0.2,0.17,0.16,0.17,0.2
辽宁省,0.27,0.24,0.23,0.24,0.16,0.1,0.09,0.07,0.02,0.06,0.15,0.1,0.14,0.1,0.07,0.08,0.05,0.06,0.07,0.05,0.07,0.07,0.12,0.09,0.15,0.13,0.17,0.15,0.21,0.17,0.26,0.38,0.32,0.34,0.41,0.43,0.39,0.33,0.44,0.24,0.34,0.45,0.43,0.53,0.49,0.59,0.48,0.6,0.52
吉林省,0.07,0.08,0.07,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.01,0.02,0.08,0.05,0.06,0.08,0.14,0.09,0.12,0.16,0.21,0.19,0.17,0.16,0.16,0.16,0.2,0.24,0.31,0.31,0.26,0.27,0.24,0.27
黑龙江省,0.07,0.12,0.11,0.06,0.06,0.06,0.04,0.02,0.01,0.02,0.07,0.05,0.04,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.01,0.03,0.06,0.04,0.06,0.1,0.11,0.09,0.12,0.17,0.17,0.17,0.17,0.19,0.2,0.15,0.22,0.27,0.32,0.3,0.25,0.29,0.3,0.27
上海市,1.23,1.14,1.2,1.3,1.25,1.04,0.81,0.52,0.33,0.53,0.7,0.61,0.53,0.33,0.33,0.39,0.37,0.45,0.45,0.45,0.54,0.66,0.76,0.86,0.9,0.44,0.38,0.26,0.22,0.2,0.3,0.42,0.4,0.47,0.79,0.77,0.68,0.7,0.75,0.58,0.55,0.86,0.77,0.91,0.9,0.89,0.83,0.97,1.15
