迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,3.83,4.18,4.11,5.14,4.97,4.83,5.74,6.12,6.3,6.02,5.42,5.98,6.69,3.84,4.4,5.54,5.57,5.99,6.25,6.83,5.64,6.81,6.48,8.02,9.9,9.92,6.23,4.44,3.22,2.18,1.75,2.07,2.25,2.31,2.57,2.91,2.9,3,2.84,2.94,2.97,3.28,2.88,3.05,2.9,2.36,2.57,2.66,3.06
天津市,1.05,1.03,0.88,0.78,0.74,1.02,1.22,0.85,1.25,0.93,0.93,0.8,1.56,1.02,0.79,0.94,1.36,1.51,1.73,1.27,1.95,1.27,1.43,1.41,0.37,1.2,0.58,0.5,0.38,0.32,0.5,0.54,0.48,0.56,0.71,0.51,0.6,0.59,0.52,0.77,0.77,0.85,0.67,0.62,0.51,0.44,0.58,0.62,0.65
河北省,0.25,0.28,0.3,0.28,0.34,0.2,0.45,0.41,0.98,0.5,0.44,0.88,0.89,0.63,0.43,0.48,0.6,0.69,0.77,0.62,0.94,0.64,0.48,1.05,1.23,1.39,0.76,1.08,1.08,1.11,1.47,1.87,2.04,2.1,2.45,2.69,2.56,2.95,3.26,2.62,3.03,3.6,2.97,2.75,2.81,2.79,3.11,3.14,3.06
山西省,1.15,1.16,1.02,0.97,1.29,0.97,1.78,1.35,1.37,1.94,1.46,1.47,1.79,1.78,1.74,1.35,1.43,1.36,1.17,1.54,1.11,1.19,1.2,0.95,1.04,1.09,2.3,2.4,3.26,3.2,3.04,3.2,3.15,2.72,2.29,2.4,1.92,1.87,1.73,1.87,2.26,2.29,2.03,1.95,2.43,2.19,2.41,2.24,2.08
内蒙古自治区,1.43,1.14,1.38,1.57,1.62,1.41,1.1,1.13,1.43,1.59,1.29,1.45,2.62,1.93,2.09,2.11,1.58,1.55,1.58,1.16,0.99,1.32,1.04,1.1,1.45,1.02,0.85,1.5,1.32,1.15,1.15,1.77,1.2,1.5,1.09,1.24,1.46,1.24,1.41,1.13,1.22,1.19,1.09,1,1.26,1.05,1,1.02,1.09
辽宁省,1.94,1.13,1.58,1.54,1.44,0.82,0.53,0.5,0.42,0.35,0.26,0.38,0.59,0.4,0.63,0.37,0.32,0.34,0.44,0.54,0.6,0.62,0.62,0.69,0.44,0.54,0.45,0.44,0.77,0.41,0.78,0.81,0.82,0.95,1.07,0.87,0.84,1.18,1.04,1,1.17,1.14,1.18,1.25,1.01,0.98,0.82,0.9,0.96
吉林省,0.72,0.23,0.26,0.07,0.17,0.23,0.07,0.04,0.1,0.05,0.08,0.08,0.21,0.06,0.07,0.1,0.06,0.1,0.09,0.09,0.11,0.01,0.11,0.04,0.11,0.32,0.02,0.14,0.16,0.15,0.21,0.28,0.33,0.37,0.3,0.5,0.45,0.52,0.52,0.53,0.29,0.34,0.57,0.48,0.6,0.58,0.62,0.53,0.58
黑龙江省,0.21,0.15,0.08,0.09,0.08,0.11,0.1,0.09,0.1,0.12,0.11,0.11,0.22,0.06,0.1,0.03,0.06,0.1,0.09,0.12,0.12,0.17,0.08,0.08,0.07,0.29,0.15,0.11,0.27,0.21,0.14,0.21,0.29,0.28,0.32,0.42,0.33,0.42,0.43,0.39,0.38,0.69,0.58,0.62,0.54,0.61,0.61,0.49,0.55
上海市,5.4,5.35,5.66,5.56,4.27,5.42,4.97,4.52,3.04,2.42,2.38,1.86,1.72,1.33,1.46,1.34,1.74,1.5,1.81,1.88,2.17,1.92,1.68,2.37,1.79,1.83,0.9,0.74,0.44,0.39,0.52,0.51,0.51,0.7,0.72,0.64,0.89,0.87,0.87,1.23,1.08,1.14,1.24,1.06,0.86,1.11,0.96,1.15,1.21
江苏省,7.67,6.79,6.41,6.7,6.9,6.98,5.84,5.28,4.45,4.47,4.59,3.77,3.52,3.66,4.14,4,3.78,3.92,3.63,3.66,3.85,4.32,3.83,3.57,3.51,2.85,3,2.6,2.59,2.35,2.97,3.62,4.21,3.77,3.79,3.58,3.68,3.47,3.42,3.59,4.08,3.87,4.47,4.56,3.91,4.02,3.89,3.75,3.66
浙江省,4.18,4.7,4.81,4.87,4.72,5.95,4.37,4.56,4.21,4.14,4.75,3.59,3.4,2.91,2.97,2.66,3.36,3.31,3.58,3.87,3.29,3.69,3.64,4.14,3.4,2.16,1.89,1.46,0.99,1.36,1.46,1.44,1.64,2.35,2.06,2.03,2.21,2.52,2.06,2.07,2.4,2.16,2.12,2.16,1.77,2.08,1.94,2.04,2.12
安徽省,1.53,1.91,1.37,1.33,1.08,1.08,1.02,1.59,1.96,1.76,1.67,1.49,1.65,1.63,1.53,1.34,1.86,1.01,1.79,1.45,1.29,1.6,1.68,1.54,1.19,0.95,1.58,1.83,2.24,1.91,2,2.4,2.19,2.26,2.31,2.31,2.58,2.33,2.07,2.39,2.28,2.47,2.58,2.38,2.32,2.2,2.23,1.96,2
福建省,2.31,2.57,2.12,1.83,1.62,1.22,1.11,0.92,0.79,1.11,0.79,0.97,1.09,1.11,0.82,1.03,1.24,0.97,1.25,0.83,0.92,1.49,1.01,0.84,0.44,0.58,0.88,0.65,0.83,0.8,0.66,1.01,0.89,1.12,1.54,1.05,0.98,1.26,0.74,1.06,1.16,1.2,1.23,1.35,1.03,1.19,1.18,1.15,1.06
江西省,1.23,1.01,1.05,1,0.95,0.75,0.69,0.56,0.69,0.44,0.49,0.33,0.49,0.54,0.5,0.44,0.36,0.8,0.42,0.5,0.41,0.55,0.45,0.31,0.85,0.43,0.47,0.58,0.36,0.67,0.53,0.58,0.65,1.04,0.8,0.8,0.72,0.86,0.6,0.82,0.78,0.78,1.03,0.8,0.73,0.55,0.62,0.5,0.47
山东省,4.69,3.63,3.69,3.71,3.92,3.93,4.26,4.3,4.23,4.09,3.98,4.56,4.08,4.65,4.05,3.57,3.59,3.89,4.58,3.53,3.86,3.36,3.28,2.81,1.83,2.05,3.25,3.84,4.05,4.45,3.98,5.09,5.06,5.42,4.74,5.61,4.93,5.44,4.53,5.31,4.89,4.67,4.75,5.06,4.91,4.49,4.35,4.51,4.56
河南省,6.08,6.75,6.79,6.35,6.59,7.35,7.44,8.39,7.93,8.67,8.91,8.62,8.45,9.46,9.43,9.3,8.76,7.64,7.75,7.19,9.43,7.43,8.68,9.18,9.98,6.55,9.8,11.19,10.93,12.01,11.67,11.63,11.57,11.63,12.49,13.04,13.45,13.48,12.8,12.19,11.28,11.2,12.75,13.27,14,14.57,13.51,13.73,13.56
湖北省,2.33,1.62,1.49,1.43,1.84,1.16,1.98,1.67,1.82,2.27,2.01,2.28,1.9,2.61,1.67,1.57,2.31,2.14,2.55,2.08,2.17,2.51,1.91,2.15,1.64,1.28,1.33,1.8,1.64,1.47,2.05,1.97,2.23,2.13,2.27,2.82,2.52,2.39,1.83,2.39,2.01,2.52,2.54,2.61,2.5,2.37,2.7,2.3,2.2
湖南省,3.68,3.69,3.12,3.13,2.69,2.45,4.29,2.18,1.67,1.8,1.87,1.92,2.07,1.71,2.38,2,1.65,1.65,1.33,2.3,1.71,2.17,1.89,1.52,0.78,0.84,0.63,1.56,1.43,1.76,1.75,2.2,2,2.22,2.16,2.13,2.21,2.01,2.16,2.56,1.86,2.26,2.57,2.32,1.96,1.92,2.02,2.03,1.63
广东省,4.53,4.29,4.63,4.83,5.06,6.1,5.17,5.31,4.75,5.2,5.33,4.44,5.55,6.01,5.15,6.11,5.64,6.12,5.79,5.08,6.5,5.85,5.89,5.9,7.21,4.54,2.3,2.14,1.96,1.44,1.7,1.57,1.67,1.84,1.92,1.91,1.85,1.7,1.88,1.88,1.66,1.98,2.35,2.14,2.42,2.15,2.02,2.17,2.42
广西壮族自治区,0.9,0.9,0.79,0.74,0.63,0.6,0.67,0.6,1.06,1.03,0.87,1.24,0.93,0.94,0.7,0.76,0.89,0.71,0.47,0.98,0.65,0.78,1.04,0.69,0.97,0.47,0.33,0.8,0.37,0.33,0.25,0.39,0.35,0.34,0.41,0.45,0.39,0.42,0.43,0.44,0.29,0.37,0.32,0.33,0.24,0.44,0.44,0.33,0.37
海南省,2.42,2.12,2.58,2.37,1.92,1.69,2.33,2.46,2.15,2.19,2.17,2.24,2.71,3.05,2.2,2.59,2.22,2.46,2.31,1.93,2.62,2.09,2.74,2.75,2.91,3.47,2.86,2.02,1.7,1.01,1.05,1.21,1.16,1.12,1.13,1.08,1.15,1.08,0.78,1.22,1,0.83,0.87,0.72,0.74,0.78,0.86,0.87,1
