迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.03,0.92,0.9,0.79,0.79,0.81,0.69,0.44,0.48,0.62,0.74,0.73,0.61,0.54,0.5,0.61,0.69,0.69,0.72,0.88,0.99,1.04,1.43,1.32,1.08,0.44,0.38,0.32,0.36,0.28,0.4,0.47,0.43,0.44,0.61,0.66,0.73,0.76,0.82,0.63,0.62,0.83,0.87,0.96,1.07,0.98,0.86,0.87,1.02
天津市,0.3,0.27,0.23,0.21,0.19,0.17,0.22,0.15,0.14,0.24,0.25,0.22,0.23,0.19,0.17,0.18,0.2,0.19,0.19,0.18,0.2,0.24,0.24,0.23,0.19,0.1,0.13,0.11,0.15,0.09,0.14,0.16,0.18,0.18,0.2,0.2,0.23,0.19,0.27,0.38,0.32,0.37,0.36,0.34,0.35,0.37,0.3,0.31,0.63
河北省,0.35,0.41,0.45,0.44,0.37,0.36,0.31,0.21,0.19,0.28,0.53,0.42,0.38,0.26,0.27,0.3,0.32,0.29,0.27,0.27,0.33,0.32,0.34,0.42,0.38,0.22,0.3,0.34,0.38,0.43,0.78,0.99,0.97,1.19,1.27,1.28,1.16,1.15,1.18,1.29,1.74,1.81,1.6,1.56,1.55,1.45,1.35,1.41,1.29
山西省,0.21,0.22,0.21,0.2,0.15,0.16,0.15,0.11,0.11,0.14,0.19,0.18,0.19,0.13,0.12,0.13,0.11,0.15,0.09,0.12,0.12,0.11,0.15,0.16,0.19,0.1,0.13,0.15,0.21,0.22,0.36,0.44,0.47,0.44,0.45,0.52,0.42,0.46,0.5,0.66,0.68,0.69,0.77,0.72,0.66,0.7,0.6,0.55,0.5
内蒙古自治区,0.09,0.09,0.1,0.1,0.08,0.09,0.07,0.06,0.05,0.09,0.12,0.08,0.15,0.07,0.07,0.06,0.08,0.06,0.05,0.06,0.05,0.06,0.08,0.2,0.15,0.08,0.07,0.07,0.06,0.06,0.1,0.14,0.13,0.13,0.15,0.17,0.14,0.18,0.26,0.29,0.34,0.34,0.37,0.27,0.24,0.24,0.26,0.2,0.2
辽宁省,0.3,0.3,0.23,0.21,0.14,0.14,0.11,0.08,0.06,0.18,0.29,0.23,0.2,0.16,0.13,0.14,0.12,0.11,0.09,0.1,0.13,0.12,0.13,0.12,0.09,0.09,0.1,0.12,0.2,0.2,0.27,0.41,0.37,0.36,0.39,0.44,0.39,0.46,0.45,0.51,0.52,0.61,0.57,0.52,0.55,0.53,0.62,0.49,0.48
吉林省,0.09,0.08,0.05,0.04,0.05,0.06,0.02,0.02,0.02,0.03,0.05,0.03,0.04,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.05,0.04,0.04,0.04,0.03,0.04,0.06,0.08,0.08,0.09,0.13,0.2,0.13,0.19,0.23,0.18,0.18,0.3,0.31,0.32,0.33,0.43,0.39,0.34,0.31,0.31,0.26,0.3,0.22
黑龙江省,0.05,0.06,0.06,0.04,0.03,0.03,0.04,0.02,0.01,0.03,0.03,0.03,0.05,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.05,0.02,0.03,0.03,0.08,0.06,0.06,0.1,0.08,0.09,0.15,0.16,0.16,0.21,0.29,0.36,0.38,0.34,0.3,0.34,0.33,0.29,0.25,0.28,0.2
上海市,3.82,3.81,3.84,4.22,5.14,4.65,4.29,3.63,3.84,4.77,3.72,3.56,3.54,3.23,3.25,3.81,3.78,4.1,5.25,5.58,5.93,6.65,7.29,7.76,5.39,2.73,2.15,1.86,1.66,1.36,1.47,1.76,1.64,1.78,2.1,2.43,2.64,3.15,3.63,3.27,2.2,2.99,2.95,3.41,3.52,3.63,3.99,3.56,3.88
江苏省,5.18,5.02,4.97,4.73,4.65,4.66,4.53,4.23,4.24,5.07,5.04,4.79,4.28,4.1,4.18,4.05,4.09,3.99,4.01,4.37,4.55,4.99,5.49,5.6,4.74,3.06,2.88,2.83,2.83,2.8,3.22,3.9,4.23,4.32,4.62,4.94,4.93,5.17,4.99,4.88,5.11,4.86,5.11,5.18,5.14,5.23,5.17,5.64,5.98
浙江省,31.92,30.68,31.72,31.75,30.6,29.4,29.67,29.36,29.51,29.27,24.48,22.96,22.39,23.47,22.99,20.76,20.76,20.23,18.45,17.55,17.69,18.07,18.15,17.9,18.85,15.86,14.21,12.49,10.99,8.81,8.7,10.96,9.82,9.92,10.01,11.12,11.15,12.32,13.83,12.61,10.5,11.57,10.93,12.09,12.1,13.85,14.58,15.49,15.41
安徽省,3.01,2.84,2.65,2.5,2.35,2.34,2.22,1.8,1.4,1.99,3.1,3.22,2.7,2.17,2.23,2.15,2.05,1.85,1.72,1.85,2.1,2.35,2.57,2.5,4.06,6.84,7.9,8.91,9.25,10.06,9.67,10.34,9.19,9.13,8.04,8.44,7.87,6.98,6.18,8.07,8.11,7.18,6.48,6.7,6.43,5.98,6.25,6.88,6.73
福建省,9.26,9.43,9.15,8.85,8.61,8.96,9.27,9.21,9.95,10,9.47,9.72,9.84,10.69,11.18,11.13,10.96,11.31,10.59,10.62,11.27,10.97,10.31,9.88,9.6,10.49,10.26,10.15,9.11,8.15,7.01,8.4,7.43,7.75,7.68,7.95,7.74,8.2,8.19,8.42,7.46,7.9,7.36,6.9,7.01,7.47,7.68,7.86,7.99
江西省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山东省,1.38,1.26,1.12,1.13,1.01,0.98,0.99,0.79,0.67,0.87,1.39,1.11,0.96,0.9,0.75,0.75,0.71,0.6,0.49,0.59,0.63,0.62,0.7,0.75,0.55,0.53,0.69,1.02,1.19,1.47,2,2.05,2.01,2.53,2.21,2.28,2.21,2.24,2.26,2.07,2.75,2.73,2.57,2.52,2.53,2.52,2.33,3.15,2.79
河南省,1.22,1.17,1.1,1.02,0.94,0.84,0.88,0.66,0.61,0.83,1.2,1.09,0.9,0.81,0.66,0.76,0.8,0.71,0.55,0.66,0.74,0.82,0.83,0.96,0.99,1.1,1.94,2.92,4.29,7.85,10.91,5.78,8.92,9.04,7.67,6.56,6.82,5.44,4.86,4.64,8.81,5.86,7.39,7.43,6.72,5.4,4.7,5,3.99
湖北省,4.22,4.36,3.96,3.98,4.04,3.62,3.55,2.79,2.12,2.88,4.97,5.08,4.32,3.41,3.51,3.53,3.31,2.91,3.05,3.05,3.57,4.12,4.7,5.1,9.04,10.42,14.33,15.75,16.51,17.49,15.88,15.53,14.43,13.28,11.85,11.33,10.36,9.43,8.59,12.43,10.66,9.98,9.11,8.8,8.71,8.55,8.32,7.92,8.24
湖南省,6.53,6.21,5.71,5.85,6.02,5.46,5.31,3.89,3.03,4.11,6.77,6.67,5.75,4.6,4.62,4.55,4.35,4.4,3.98,4.04,5.01,5.87,7.03,7.37,12.43,20.64,19.2,19.52,18.1,16.9,17.28,17.22,16.84,15.68,15.71,14.27,14.65,13.14,12.01,13.07,12.53,11.99,12.27,11.16,11.6,11.34,11.87,10.93,11.88
广东省,25.08,27.32,28.36,28.93,30.31,32.52,33.1,38.42,39.51,33.32,31.33,33.96,38.07,40.44,40.78,42.25,42.76,43.72,46.32,45.49,41.65,38.19,34.92,33.82,27.33,23.51,19.88,17.02,15.46,12.12,10.74,11.87,10.24,10.72,11.98,13.9,14.15,16.13,18.61,15.73,12.5,14.24,13.8,14.23,14.61,16.29,17.35,16.51,17.77
广西壮族自治区,1.27,1.31,1.04,1.05,0.94,1.01,0.89,0.9,0.89,1.09,1.39,1.41,1.35,1.18,1.1,1.24,1.16,1.16,0.99,1.14,1.25,1.33,1.41,1.38,1.15,0.98,1.38,1.38,1.71,1.88,1.99,1.86,1.62,1.75,1.85,1.82,1.84,1.83,1.68,1.5,1.89,1.77,1.7,1.89,1.77,2.01,1.63,1.72,1.58
海南省,0.71,0.64,0.57,0.49,0.42,0.33,0.43,0.4,0.29,0.53,0.71,0.66,0.44,0.43,0.43,0.44,0.43,0.43,0.33,0.39,0.5,0.45,0.46,0.5,0.46,0.36,0.33,0.49,0.42,0.35,0.38,0.47,0.42,0.43,0.56,0.55,0.55,0.7,0.62,0.74,0.59,0.81,0.75,0.63,0.7,0.58,0.66,0.73,0.79
重庆市,0.64,0.61,0.63,0.56,0.47,0.55,0.53,0.41,0.41,0.48,0.56,0.47,0.47,0.43,0.39,0.47,0.42,0.44,0.32,0.39,0.42,0.51,0.52,0.52,0.44,0.34,0.58,0.74,1.16,1.62,1.57,1.12,2.02,1.74,2.5,1.46,2.33,2.1,1.7,1.33,2.69,1.65,2.28,2.32,2.12,1.81,1.47,1.33,1.09
四川省,0.84,0.66,0.73,0.72,0.59,0.7,0.6,0.55,0.55,0.71,0.91,0.8,0.82,0.75,0.68,0.67,0.69,0.72,0.6,0.67,0.74,0.83,0.84,0.8,0.58,0.45,0.75,1.08,1.41,1.48,1.98,1.5,1.73,2.05,2.11,1.98,1.9,2.43,2.27,1.77,1.54,2.4,2.22,2.12,2.18,2.1,1.67,1.72,1.52
贵州省,0.66,0.67,0.64,0.64,0.63,0.64,0.64,0.58,0.64,0.75,0.78,0.72,0.72,0.56,0.59,0.65,0.66,0.66,0.65,0.7,0.73,0.79,0.86,1.06,0.82,0.72,1.28,1.39,2.83,4.31,2.66,2.11,4.25,4.07,4.92,4.53,4.8,4,3.23,2.1,4.44,4.58,6.09,5.95,6.22,5.14,4.72,4.17,3.03
云南省,0.76,0.72,0.64,0.67,0.66,0.66,0.67,0.64,0.6,0.83,0.92,0.9,0.77,0.66,0.67,0.66,0.73,0.6,0.6,0.62,0.65,0.7,0.75,0.64,0.63,0.35,0.4,0.5,0.67,0.91,0.94,0.88,0.97,1.29,1.12,1.29,1.13,1.27,1.24,0.93,1.06,1.77,1.38,1.48,1.5,1.36,1.27,1.25,1.04
