迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.25,1.47,1.42,1.31,1.29,1.29,1.19,1.05,1.22,1.45,1.15,1.19,1.31,1.15,1.16,1.19,1.28,1.48,1.62,1.54,1.51,1.61,1.71,1.75,1.39,0.66,0.45,0.34,0.29,0.28,0.25,0.27,0.23,0.25,0.34,0.37,0.38,0.41,0.54,0.45,0.3,0.46,0.53,0.54,0.63,0.65,0.65,0.63,0.94
天津市,0.56,0.49,0.52,0.44,0.47,0.46,0.46,0.51,0.57,0.64,0.47,0.48,0.53,0.45,0.53,0.6,0.5,0.56,0.42,0.49,0.47,0.53,0.51,0.57,0.29,0.27,0.18,0.14,0.13,0.14,0.14,0.11,0.14,0.11,0.14,0.15,0.15,0.16,0.19,0.18,0.13,0.17,0.2,0.19,0.21,0.26,0.29,0.27,0.33
河北省,0.6,0.62,0.72,0.71,0.76,0.91,0.69,0.74,0.66,0.94,1,0.93,1.19,0.91,0.85,0.9,0.95,0.84,0.78,0.82,0.84,0.79,1.35,1.36,1.02,0.73,0.62,0.69,0.56,0.63,0.58,0.6,0.62,0.76,0.68,0.77,0.66,0.77,0.8,0.7,0.85,0.84,0.82,0.91,0.94,1.04,1.04,1.22,1.14
山西省,0.48,0.49,0.52,0.47,0.44,0.51,0.48,0.52,0.63,0.67,0.6,0.52,0.64,0.53,0.55,0.55,0.58,0.62,0.63,0.66,0.64,0.68,0.83,0.83,0.66,0.38,0.33,0.33,0.48,0.54,0.6,0.67,0.66,0.6,0.59,0.56,0.48,0.48,0.53,0.54,0.52,0.52,0.56,0.52,0.56,0.58,0.56,0.64,0.61
内蒙古自治区,0.26,0.2,0.29,0.25,0.34,0.31,0.29,0.31,0.34,0.46,0.34,0.32,0.5,0.23,0.25,0.32,0.34,0.32,0.35,0.31,0.37,0.38,0.41,0.57,0.51,0.27,0.19,0.19,0.19,0.15,0.14,0.17,0.15,0.13,0.14,0.15,0.13,0.17,0.17,0.16,0.13,0.15,0.17,0.14,0.19,0.17,0.21,0.22,0.2
辽宁省,0.64,0.58,0.61,0.52,0.46,0.52,0.46,0.42,0.44,0.75,0.68,0.69,1.02,0.79,0.72,0.77,0.81,0.69,0.78,0.8,0.69,0.8,0.77,0.59,0.57,0.54,0.57,0.58,0.61,0.52,0.44,0.55,0.45,0.45,0.41,0.46,0.43,0.44,0.56,0.44,0.39,0.43,0.46,0.48,0.52,0.58,0.55,0.71,0.65
吉林省,0.2,0.21,0.2,0.2,0.14,0.19,0.14,0.16,0.13,0.16,0.19,0.13,0.22,0.16,0.17,0.19,0.17,0.19,0.18,0.3,0.21,0.27,0.2,0.24,0.15,0.17,0.1,0.29,0.32,0.26,0.21,0.3,0.22,0.23,0.24,0.25,0.21,0.24,0.37,0.29,0.2,0.28,0.26,0.29,0.29,0.36,0.35,0.4,0.41
黑龙江省,0.23,0.28,0.22,0.21,0.21,0.22,0.15,0.14,0.14,0.17,0.22,0.17,0.29,0.17,0.18,0.19,0.19,0.21,0.2,0.17,0.19,0.17,0.19,0.21,0.18,0.15,0.15,0.15,0.22,0.2,0.2,0.24,0.19,0.22,0.22,0.26,0.24,0.3,0.37,0.33,0.23,0.3,0.3,0.34,0.36,0.4,0.4,0.49,0.5
上海市,24.58,24.28,24.32,26.54,28.63,23.09,24.46,22.84,21.57,20.22,22.03,26.51,21.26,24.65,23.73,23.67,23.36,23.88,26.33,24.17,24.61,26.41,29.08,32.22,34.49,30.02,20.53,14.34,8.9,5.28,4.12,4.53,4.19,4.18,4.7,5.34,5.19,6.16,8.1,10.73,4.71,6.69,6.02,6.48,7.16,9.38,13.09,10.65,13.78
江苏省,26.05,25.49,25.02,24.73,24.3,25.48,27.22,27.03,23.95,23.17,24.58,24.69,23.46,25.19,25.26,23.88,22.99,22.32,21.27,21.13,20.79,20.24,19.49,20.69,23.75,23.22,18.84,15.69,12.55,10.3,8.9,9.16,8.66,8.54,8.78,9.53,8.98,9.61,10.67,12.61,8.42,9.73,9.05,9.44,10.13,11.73,13.45,13.9,16.52
浙江省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安徽省,9.61,9.89,9.65,9.21,8.65,9.63,9.69,9.35,8.8,9.2,10.33,9.81,10.16,9.77,10.06,9.6,9.94,9.47,9.16,9.19,9.95,9.55,9.72,8.26,9.03,12.26,17.73,20.44,20.54,20.81,21.03,21.58,20.32,20.24,19.59,20.02,20.52,18.57,16.01,19.52,20.91,17.84,16.4,15.07,14.1,13.29,12.11,12.3,12.44
福建省,5.65,5.77,5.65,5.7,5.37,5.76,5.19,5.41,5.49,5.6,5.7,5.39,5.42,5.24,5.74,5.52,5.49,5.82,5.69,5.7,5.99,5.65,4.89,4.39,4.45,6.41,5.98,5.8,4.76,4.15,3.27,3.22,2.93,2.88,2.81,2.72,2.64,2.72,2.97,3.64,2.94,2.92,2.7,2.58,2.66,3.14,3.29,3.68,3.82
江西省,6.18,6.19,6.11,6.16,5.76,6.28,5.94,6.23,6.29,6.07,5.93,5.82,6.19,5.8,6.21,6.17,6.43,6.57,6.34,6.42,6.92,6.74,6.39,5.7,6.04,9.61,12.31,13.08,13.57,14.29,16.34,16.46,16.02,15.29,14.86,14.22,13.73,12.01,10.35,16,17.8,15.04,14.42,12.05,10.31,9.5,8.29,8.67,8.5
山东省,3.7,3.74,3.54,3.46,3.34,3.73,3.46,3.52,3.69,4.41,3.93,3.58,4.18,3.53,3.63,3.49,3.41,3.29,2.81,3.22,2.71,2.64,2.36,2.42,1.94,2.26,3.02,3.33,3.03,2.91,2.89,2.67,2.65,3.04,2.59,2.44,2.33,2.43,2.24,1.86,2.64,2.35,2.31,2.56,2.49,2.73,2.72,3.03,2.92
河南省,3.65,3.54,3.51,3.5,3.39,3.55,3.47,3.35,3.94,4.19,4.05,3.54,4.03,3.73,3.59,3.74,3.9,3.54,3.26,3.43,3.44,3.02,3.08,3.06,3.09,3.17,5.04,7.39,9.24,13.2,12.59,11.45,13.55,14.05,13.32,11.59,12.84,11.24,10.24,7.82,14.25,10.68,13.56,13.99,13.64,11.63,10.55,9.98,8.52
湖北省,2.07,2.16,2.28,2.04,2.05,2.33,2.08,2.31,2.69,2.61,2.34,1.93,2.23,2.1,1.96,2.44,2.26,2.25,2.39,2.5,2.39,2.35,2.28,2.24,1.74,1.58,2.6,3.33,4.13,5.22,5.5,5.09,6.37,5.57,6.61,5.29,6.07,5.56,5.47,4.26,6.66,5.09,6.12,4.95,5.27,4.67,4,3.91,3.68
