迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.77,1.82,1.86,1.69,1.78,1.64,1.54,1.19,1.19,1.33,1.37,1.45,1.3,1.13,1.06,1.19,1.39,1.6,2.13,2.11,2.25,2.7,3.16,3.13,1.99,0.87,0.68,0.6,0.45,0.49,0.71,0.74,0.8,0.8,1.11,1.19,1.33,1.35,1.44,1.02,0.94,1.43,1.67,1.79,1.95,1.89,1.87,1.67,2.03
天津市,0.82,0.81,0.75,0.65,0.65,0.62,0.62,0.55,0.66,0.59,0.58,0.52,0.52,0.53,0.39,0.51,0.48,0.5,0.5,0.49,0.56,0.56,0.63,0.73,0.43,0.26,0.24,0.19,0.19,0.2,0.27,0.25,0.21,0.27,0.36,0.39,0.37,0.49,0.44,0.39,0.42,0.46,0.51,0.51,0.54,0.5,0.52,0.52,0.72
河北省,0.8,0.99,0.91,1,0.9,0.82,0.81,0.57,0.65,0.79,1.02,0.98,0.86,0.73,0.68,0.8,0.75,0.75,0.73,0.69,0.77,0.82,1.21,1.82,1.42,0.79,0.8,0.85,0.78,0.99,1.48,1.39,1.84,1.99,2.1,2.01,1.98,1.96,2.42,2.06,2.92,2.58,2.51,2.49,2.45,2.47,2.32,2.58,2.57
山西省,0.75,0.72,0.66,0.67,0.66,0.58,0.54,0.61,0.57,0.59,0.67,0.67,0.58,0.48,0.5,0.5,0.49,0.46,0.45,0.44,0.41,0.47,0.68,0.74,0.57,0.36,0.4,0.47,0.51,0.7,1.13,1.14,1.1,1.05,1.22,1.15,1.13,0.91,1.73,1.55,2,1.75,1.61,1.46,1.26,1.39,1.34,1.29,1.17
内蒙古自治区,0.27,0.3,0.26,0.26,0.25,0.27,0.21,0.2,0.22,0.22,0.3,0.25,0.34,0.21,0.19,0.18,0.2,0.22,0.17,0.2,0.21,0.22,0.24,0.36,0.26,0.13,0.13,0.15,0.16,0.13,0.26,0.23,0.28,0.25,0.28,0.29,0.27,0.43,0.44,0.48,0.52,0.55,0.42,0.35,0.44,0.35,0.39,0.34,0.36
辽宁省,0.42,0.39,0.35,0.37,0.33,0.26,0.31,0.21,0.14,0.31,0.38,0.36,0.39,0.32,0.22,0.25,0.23,0.29,0.24,0.25,0.22,0.25,0.26,0.22,0.19,0.12,0.21,0.19,0.23,0.34,0.4,0.53,0.53,0.54,0.54,0.54,0.61,0.57,0.76,0.5,0.53,0.62,0.62,0.68,0.74,0.79,0.66,0.63,0.69
吉林省,0.16,0.11,0.11,0.08,0.09,0.09,0.07,0.06,0.03,0.08,0.07,0.08,0.08,0.06,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.06,0.1,0.07,0.06,0.06,0.08,0.07,0.1,0.13,0.15,0.21,0.18,0.22,0.28,0.23,0.3,0.3,0.29,0.32,0.34,0.32,0.36,0.35,0.28,0.26,0.29,0.29
黑龙江省,0.13,0.11,0.13,0.09,0.1,0.09,0.09,0.05,0.04,0.06,0.08,0.06,0.08,0.06,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.07,0.09,0.05,0.05,0.05,0.07,0.06,0.11,0.11,0.14,0.13,0.21,0.23,0.27,0.32,0.35,0.28,0.26,0.35,0.29,0.3,0.33,0.34,0.25,0.31,0.3
上海市,3.28,3.21,3.25,3.6,4,3.87,3.61,3.45,3.9,3.56,2.57,2.62,2.58,2.4,2.33,2.78,3.18,3.67,4.65,5.14,4.82,5.44,5.68,5.12,2.99,1.39,1.12,0.98,0.8,0.82,1.03,1.06,1.17,1.19,1.68,1.78,1.94,2.15,2.25,1.64,1.52,2.08,2.3,2.53,2.57,2.5,2.87,2.58,3.1
江苏省,6.17,6.29,6.43,5.92,6.04,5.83,6.19,6.4,6.86,6.18,5.39,5.26,5.16,5.26,5.04,5.24,5.66,5.65,5.65,6.21,6.13,6.21,6.19,5.63,4,2.44,2.44,2.42,2.22,2.51,3.41,3.26,3.74,3.69,4.39,4.48,4.57,4.81,4.85,4.18,4.44,4.73,4.62,4.72,4.9,5.16,5.24,5.02,5.33
浙江省,15.44,14.2,15.67,15.81,15.05,15.11,16.01,18.69,19.62,15.47,12.2,10.91,11.67,13.44,13.53,12.69,11.79,11.48,10.88,10.15,8.84,7.99,7.57,6.4,4.82,3.06,2.75,2.41,2.11,2.17,2.92,2.86,3.13,3.1,3.72,3.8,4.08,4.8,4.96,3.81,4.45,4.49,4.18,4.49,4.64,4.94,5.12,5.28,5.44
安徽省,3.29,3.44,3.29,3.29,3.2,3.05,3.19,3.08,2.79,3.01,3.56,3.74,3.26,2.96,2.75,2.9,2.85,2.82,2.75,2.61,2.94,3.18,3.27,3.07,3.67,5.21,5.9,6.11,5.62,6.19,6.54,6.65,6.05,6.05,6.02,6.28,5.67,5.62,5.07,6.39,6.5,6,5.39,5.69,5.65,5.51,5.55,5.87,5.57
福建省,3.4,3.16,3.18,3.41,3.16,3.33,3.34,4.03,4.67,3.24,2.85,2.94,2.99,3.58,4.33,3.76,3.5,3.35,3.42,3.09,2.95,2.65,2.26,2.09,1.6,0.9,1.01,1.08,1.23,1.45,2.01,2.15,2.23,2.2,2.99,2.54,2.61,2.92,2.49,1.83,2.82,2.84,2.47,2.3,2.29,2.17,2.09,1.96,1.99
江西省,4.94,4.94,4.67,4.71,4.8,4.9,4.62,4.57,4.27,4.57,5.22,6.01,5.02,4.57,4.3,4.82,4.63,4.77,4.46,4.44,4.84,5.59,6.16,6.98,7.74,12.96,10.88,9.61,8.44,7.74,8.22,8.07,7.66,7.18,7.08,6.99,6.77,6.87,6.86,6.44,6.68,6.3,5.71,5.99,5.78,6.02,6.62,6.42,6.09
山东省,2.38,2.46,2.25,2.39,2.17,2.08,2.09,1.73,1.87,1.93,2.16,2.18,1.91,1.79,1.72,1.74,1.52,1.48,1.33,1.3,1.35,1.3,1.4,1.68,1.22,0.9,1.14,1.55,1.44,1.88,2.57,2.5,2.57,3.11,2.87,2.95,2.8,3.18,2.86,2.7,3.35,3.57,3.13,3.46,3.18,3.35,2.92,3.84,3.5
河南省,8.88,8.93,8.17,8.44,8.17,8.06,8.14,6.89,6.33,7.38,10.1,10.33,8.38,8.16,7.7,7.94,7.09,7.19,6.76,6.22,6.99,7.3,7.89,8.49,14.38,17.15,20.05,20.87,20.16,22.09,21.64,21.46,21.39,20.15,19.25,17.88,16.41,15.2,14.79,18.09,18,17.47,18.04,18.49,17.85,17.1,16.48,15.4,15.82
湖北省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
