迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,2.61,2.41,2.88,2.86,2.62,2.74,2.76,2.44,2.62,2.47,2.64,2.3,2.8,2.62,2.79,2.77,3.03,3.23,3.49,4.31,3.96,4.04,4.12,3.63,2.81,1.44,1.13,0.79,0.74,0.84,0.93,1.02,1.05,1.06,1.27,1.31,1.24,1.42,1.53,1.49,1.23,1.51,1.65,1.5,1.48,1.38,1.39,1.41,1.66
天津市,1.51,1.32,1.23,1.19,1.06,1.19,1.25,1.16,1.46,1.26,1.07,1.09,1.19,1.26,1.39,1.61,1.2,1.48,1.41,1.51,1.42,1.34,1.17,1.17,0.95,0.48,0.35,0.35,0.36,0.39,0.41,0.52,0.38,0.37,0.59,0.54,0.53,0.41,0.52,0.52,0.59,0.62,0.63,0.6,0.6,0.62,0.55,0.56,0.62
河北省,0.75,0.89,1.06,0.98,0.8,1.18,0.74,1,0.84,1.33,1.16,1.07,1.1,1.08,1.11,1.14,1.18,1.3,1,0.95,0.93,0.82,0.75,1.1,1.1,0.79,0.84,0.86,1,1.07,1.8,1.43,1.63,2.23,1.98,2.01,1.77,1.86,1.64,1.58,2.56,1.96,1.79,2.3,2.06,2.1,2.29,2.78,2.18
山西省,0.83,0.9,0.81,0.8,0.85,0.93,0.72,0.86,0.9,0.83,0.83,0.72,0.8,0.84,0.61,0.62,0.75,0.63,0.7,0.6,0.55,0.54,0.54,0.68,0.58,0.6,0.71,1.09,1.31,1.27,1.73,1.72,1.65,1.8,1.88,1.71,1.67,1.26,1.27,1.42,1.73,1.58,1.71,2.04,1.81,1.79,1.79,2.5,1.85
内蒙古自治区,3.86,4.1,4,4.07,4.52,4.39,4.35,4.57,4.48,4.06,4.28,4.62,4.52,4.42,4.36,4.24,4.2,4.18,4.06,3.71,3.72,3.53,3.34,3.77,4.48,6.39,5.92,5.92,5.29,4.87,3.74,4.69,3.98,4,3.61,3.66,3.31,3.6,4.36,3.56,2.87,3,3.16,3.05,3.29,3.45,3.86,3.44,3.46
辽宁省,0.64,0.54,0.5,0.59,0.31,0.27,0.22,0.37,0.15,0.42,0.29,0.35,0.33,0.29,0.26,0.19,0.24,0.25,0.26,0.22,0.28,0.32,0.17,0.25,0.2,0.25,0.14,0.16,0.19,0.18,0.52,0.45,0.42,0.27,0.35,0.52,0.36,0.48,0.35,0.47,0.33,0.54,0.56,0.38,0.57,0.48,0.74,0.64,0.62
吉林省,0.23,0.14,0.07,0.1,0.09,0.08,0.07,0.08,0.03,0.02,0.1,0.04,0.07,0.11,0.05,0.01,0.07,0.02,0.05,0.04,0.03,0.04,0.07,0.05,0.02,0.02,0.01,0.06,0.07,0.05,0.15,0.08,0.11,0.1,0.15,0.16,0.12,0.22,0.2,0.21,0.18,0.22,0.28,0.25,0.34,0.48,0.46,0.39,0.32
黑龙江省,0.08,0.07,0.09,0.08,0.03,0.08,0.06,0.02,0.02,0.05,0.05,0.06,0.06,0.07,0.04,0.04,0.05,0.06,0.03,0.04,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.06,0.06,0.07,0.07,0.09,0.14,0.13,0.1,0.14,0.18,0.13,0.18,0.15,0.16,0.23,0.19,0.18,0.2,0.24,0.31,0.41,0.29
上海市,2.6,2.79,3.09,3.43,3.67,3.74,3.44,2.94,2.93,3,2.21,2.24,2.01,2.18,2.44,2.42,2.56,2.86,3.3,3.71,3.45,2.91,2.82,2.75,2.29,1.33,0.78,0.7,0.61,0.71,0.71,0.82,0.87,0.88,1.07,0.96,0.97,1.2,1.3,1.03,0.94,1.27,1.1,1.1,1.11,1.13,0.96,1.07,1.15
江苏省,6.74,6.33,6.58,6.05,6.18,6.29,5.8,5.86,6.23,6.67,5.11,4.75,5.07,5.57,6.61,6.02,5.91,5.45,5.49,5.68,5.07,4.66,3.97,3.82,3.01,1.52,1.3,1.45,1.64,1.82,2.01,2.13,2.64,2.68,2.99,3.31,3.24,3.44,3.26,3.03,3.54,3.98,4.03,3.65,3.53,3.32,3.04,3.07,3.28
浙江省,4.14,4.09,4.47,4.47,4.42,4.42,4.66,4.78,4.42,4.48,4.65,3.54,4.36,4.34,4.68,4.31,4.46,4.04,3.83,3.87,3.48,3.02,2.42,2.35,1.76,0.94,0.81,0.74,1.02,0.88,1.05,1.22,1.3,1.47,1.57,1.41,1.54,1.72,1.64,1.62,1.61,2.15,1.83,1.91,1.73,1.79,1.68,1.9,1.83
安徽省,0.92,1.01,0.92,0.94,0.83,0.84,0.85,0.71,1.02,1.09,1,0.84,1.07,0.86,0.88,0.76,0.82,0.72,0.83,0.74,0.66,0.7,0.52,0.52,0.52,0.54,0.56,0.79,0.8,1.05,1.58,1.26,1.36,1.53,1.67,1.58,1.67,1.51,1.37,1.22,2.09,1.9,1.7,1.48,1.59,1.52,1.5,1.65,1.31
福建省,1.66,1.57,1.47,1.2,1.32,1.15,1.18,1.05,0.91,0.94,0.87,0.81,0.87,0.84,1.01,0.89,0.88,1.03,0.97,0.76,0.8,0.68,0.64,0.58,0.43,0.3,0.26,0.21,0.29,0.47,0.65,0.81,0.77,0.85,0.98,0.89,0.86,0.85,0.9,0.91,0.92,1.19,1.02,0.96,0.94,0.91,0.77,0.79,0.76
江西省,1.27,0.92,0.86,0.88,0.94,0.6,0.86,0.64,0.64,0.75,0.58,0.63,0.54,0.7,0.59,0.53,0.79,0.6,0.67,0.52,0.74,0.54,0.33,0.49,0.34,0.23,0.22,0.38,0.48,0.45,0.66,0.57,0.63,0.73,0.84,0.75,0.7,0.8,0.57,0.65,0.73,0.97,0.81,0.65,0.66,0.47,0.7,0.72,0.62
山东省,2.18,2.15,1.96,1.92,2.01,2.28,2.11,2.04,2.06,1.95,1.88,1.86,2.23,2.29,1.67,1.85,1.79,1.88,1.7,1.92,1.28,1.55,1.4,1.08,1.2,0.77,0.92,1.29,1.38,1.81,2.68,2.31,1.72,2.58,2.62,2.5,2.15,2.22,2,1.77,2.79,2.51,2.25,2.73,2.58,2.68,2.54,2.94,2.37
河南省,2.37,2.22,2.25,2.33,2.18,2.27,2.09,2.22,2.39,2.04,2.03,2.17,2.08,2.15,2.07,2.03,1.76,1.87,1.96,1.82,1.62,1.46,1.47,1.63,1.68,1.55,2.01,2.94,3.95,5.19,7.86,5.11,6.47,7.95,7.5,6.38,7.71,5.73,4.89,5.37,9.05,5.98,6.85,8.62,7.44,6.36,6.55,6.16,5.64
湖北省,1.11,1.08,0.97,0.87,0.95,0.97,1.02,1.02,1.1,1,0.96,0.87,1.28,1.15,0.96,0.96,1,1.07,1.09,1.31,1.14,1.19,0.88,0.99,0.77,0.69,0.66,0.79,0.98,1.3,1.63,1.32,1.76,1.76,2.15,1.95,2.18,2,1.58,1.59,3.12,2.54,3.18,2.45,3.16,2.38,2.18,1.71,1.87
湖南省,1.2,1.34,1.03,1.2,0.9,1.39,0.98,0.79,0.81,0.72,0.64,0.66,0.77,0.71,0.67,0.68,0.58,0.75,0.79,0.68,0.52,0.64,0.61,0.48,0.36,0.22,0.29,0.38,0.58,0.79,0.96,0.83,1.19,1.1,1.29,1.18,1.08,1.19,1.04,0.89,1.36,1.32,1.18,1.22,1.02,1.14,1.16,1.32,1.11
