迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.95,1.87,1.77,1.82,1.9,1.86,1.83,1.39,1.24,1.71,1.89,1.5,1.51,1.64,1.85,1.7,1.82,1.94,2.04,2.04,2.12,2.24,2.5,2.57,2.08,1.35,0.75,0.74,0.48,0.44,0.38,0.45,0.42,0.43,0.61,0.64,0.63,0.8,1.02,0.71,0.5,0.73,0.82,0.88,1.04,0.84,0.94,0.99,1.36
天津市,0.96,0.94,0.75,0.74,0.77,0.8,0.72,0.66,0.66,0.72,0.72,0.75,0.73,0.71,0.56,0.57,0.66,0.54,0.58,0.57,0.61,0.55,0.62,0.65,0.55,0.5,0.38,0.26,0.28,0.22,0.19,0.23,0.28,0.22,0.26,0.27,0.27,0.28,0.28,0.26,0.22,0.32,0.44,0.42,0.42,0.38,0.46,0.45,0.6
河北省,0.65,0.69,0.87,0.66,0.7,0.75,0.66,0.65,0.48,0.59,0.92,0.82,1.01,0.81,0.72,0.77,0.79,0.73,0.78,0.81,0.85,0.8,0.79,0.94,0.86,0.61,0.59,0.58,0.59,0.54,0.51,0.72,0.71,0.81,0.84,0.84,0.74,0.89,0.9,0.75,0.66,0.77,0.88,0.98,1.06,0.95,1.05,1.1,1.19
山西省,0.78,0.75,0.78,0.78,0.69,0.64,0.91,0.69,0.7,0.72,0.78,0.76,0.75,0.92,0.8,0.69,0.8,0.71,0.68,0.74,0.69,0.57,0.85,0.63,0.48,0.31,0.27,0.47,0.4,0.56,0.44,0.72,0.63,0.64,0.55,0.49,0.58,0.54,0.63,0.47,0.47,0.48,0.41,0.56,0.56,0.67,0.58,0.83,0.81
内蒙古自治区,0.32,0.37,0.44,0.29,0.34,0.35,0.29,0.36,0.35,0.36,0.45,0.5,0.65,0.33,0.37,0.3,0.37,0.28,0.34,0.29,0.33,0.31,0.37,0.32,0.34,0.21,0.22,0.14,0.16,0.16,0.16,0.16,0.18,0.16,0.22,0.16,0.16,0.18,0.24,0.18,0.11,0.13,0.17,0.16,0.21,0.23,0.2,0.17,0.25
辽宁省,0.71,0.64,0.74,0.73,0.57,0.67,0.6,0.55,0.22,0.84,1.02,0.91,1.09,0.89,0.55,0.67,0.69,0.61,0.59,0.63,0.64,0.59,0.69,0.67,0.6,0.74,0.68,0.55,0.49,0.59,0.45,0.65,0.6,0.61,0.56,0.7,0.61,0.61,0.72,0.58,0.53,0.59,0.67,0.69,0.67,0.83,0.77,0.94,0.94
吉林省,0.33,0.28,0.32,0.23,0.28,0.21,0.19,0.15,0.09,0.24,0.12,0.24,0.22,0.16,0.14,0.1,0.23,0.1,0.18,0.1,0.17,0.22,0.1,0.2,0.11,0.14,0.11,0.27,0.23,0.18,0.2,0.2,0.31,0.23,0.3,0.32,0.31,0.38,0.31,0.27,0.23,0.31,0.35,0.33,0.36,0.36,0.41,0.34,0.43
黑龙江省,0.35,0.24,0.24,0.22,0.22,0.26,0.19,0.17,0.11,0.15,0.15,0.13,0.33,0.11,0.09,0.15,0.11,0.12,0.13,0.16,0.13,0.11,0.11,0.1,0.08,0.09,0.1,0.1,0.14,0.15,0.12,0.2,0.14,0.22,0.2,0.22,0.26,0.26,0.33,0.29,0.21,0.26,0.29,0.32,0.33,0.4,0.4,0.42,0.43
上海市,6.15,6.32,6.2,7.23,8.23,7.27,6.72,6.35,7.65,6.87,5.07,4.91,4.4,4.71,4.91,5.29,5.42,5.72,7.41,7.27,7.46,7.92,8,8.41,6.97,4.36,3.21,2.45,1.74,1.26,1.03,1.24,1.18,1.16,1.6,1.84,2.1,2.32,2.82,2.37,1.61,2.02,2.13,2.37,2.42,2.93,3.13,3.04,3.47
