迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.91,0.93,2.35,0.85,1.86,1.33,1.52,1.01,1.71,0.87,1.62,0.27,0.87,0.74,2.23,0.99,1.02,2.17,0.67,1.47,1.42,1.88,1.33,1.12,2.21,1.08,1.2,0.97,0.31,0.49,0.23,0.41,0.36,0.41,0.34,1.1,0.85,0.71,0.91,1.07,0.38,1.15,1.23,0.4,1.14,0.46,0.77,0.41,0.67
天津市,0.28,0.21,0.38,0.12,0.47,0.08,0.33,0.36,0.24,0.21,0.36,0.1,0.35,0.21,0.19,0.31,0.05,0.3,0.12,0.16,0.18,0.11,0.18,0.14,0,0,0.48,0.24,0.26,0.17,0.2,0.24,0.04,0.11,0.09,0.17,0.22,0.09,0.18,0.17,0.11,0.21,0.26,0.05,0.16,0.08,0.07,0.03,0.11
河北省,0.17,0.35,0.3,0.16,0.43,0.34,0.12,0.23,0.36,0.3,0.15,0.32,0.75,0.15,0.63,0.49,0.17,0.24,0.12,0.39,0.43,0.29,0.24,0.63,0.84,0.78,1.36,0.78,0.84,0.67,1.07,1.13,0.85,1.25,1.21,1.29,1.9,1.68,1.56,1.69,1.45,1.33,1.66,1.55,1.7,2.06,1.26,1.39,1.3
山西省,0.24,0.46,0.46,0.36,0.52,0.6,0.5,0.36,0.4,0.04,0.57,0.1,0.93,0.37,0.51,0.43,0.39,0.42,0.42,0.45,0.37,0.58,0.54,0.84,0,0.29,0.48,1.09,0.73,0.31,1,1.13,1.04,1.53,0.61,0.74,0.83,1.21,0.77,1.36,0.75,0.94,0.72,0.58,0.74,0.63,0.58,0.91,0.72
内蒙古自治区,0.35,0.28,0.19,0.16,0.08,0.25,0.33,0.18,0.36,0.08,0.31,0.16,0.11,0.1,0.12,0.24,0.11,0,0,0.16,0.3,0.11,0.06,0.07,0,0.29,0,0,0.1,0.4,0.23,0.08,0.25,0.3,0.27,0.19,0.38,0.22,0.17,0.19,0.05,0.13,0.22,0.16,0.07,0.15,0.22,0.2,0.17
辽宁省,0.7,1.03,0.84,0.98,0.3,0.47,0.21,0.18,0.16,0.13,0.31,0.27,0.29,0,0.19,0.31,0.56,0.24,0.18,0.39,0.3,0.17,0.48,0.84,0.31,0.09,0.4,0.48,0.36,0.53,0.43,0.3,0.44,0.22,0.3,0.39,0.4,0.43,0.27,0.23,0.41,0.28,0.47,0.89,0.49,0.58,0.54,0.37,0.39
吉林省,0.21,0.03,0,0,0.08,0,0.08,0,0.12,0.08,0.1,0.05,0.23,0,0.19,0.06,0.05,0,0.06,0.05,0.06,0,0,0.07,0.1,0.19,0.32,0.12,0.21,0.17,0.3,0.19,0.21,0.17,0.25,0.15,0.2,0.22,0.12,0.12,0.25,0.21,0.1,0.25,0.23,0.13,0.11,0.14,0.42
黑龙江省,0.1,0.07,0.03,0.16,0.04,0.21,0,0.09,0.08,0.04,0.2,0.05,0.05,0,0,0.12,0.05,0,0,0.05,0.06,0,0,0.07,0.1,0.29,0.24,0.06,0.05,0.17,0.2,0.16,0.1,0.09,0.16,0.07,0.15,0.09,0.17,0.09,0.27,0.23,0.26,0.23,0.14,0.22,0.15,0.36,0.26
上海市,1.55,0.85,1.69,2.04,2.56,2.5,1.35,0.87,0.77,1.13,0.52,0.82,0.75,1.06,0.51,0.62,0.22,0.96,0.55,1.24,1.6,0.58,0.91,1.12,1.79,1.57,0.8,0.3,0.68,0.26,0.23,0.16,0.4,0.07,0.16,0.28,0.33,0.17,0.27,0.3,0.53,0.44,0.4,0.38,0.27,0.26,0.28,0.37,0.35
江苏省,8.42,7.63,6.58,5.39,3.73,4.53,3.22,2.02,1.92,1.52,0.99,0.6,0.99,0.9,0.51,1.06,1.02,0.9,1.59,1.52,1.42,1.29,1.33,1.48,1.79,1.08,1.36,0.84,0.68,1.03,0.94,0.77,1.23,0.85,0.94,0.79,0.94,1.36,1.41,1.22,1.15,1.34,1.24,1.09,1.4,1.27,1.11,1.77,1.22
浙江省,1.31,1.79,2.89,2.45,1.65,2.28,1.35,1.56,1.02,1.61,1.73,1.26,0.52,1.16,0.82,0.43,0.39,0.48,0.73,0.28,0.68,1.06,0.97,0.77,0.94,0.98,0.72,0.72,0.63,0.31,0.53,0.46,0.44,0.53,0.54,0.46,0.57,0.46,0.49,0.87,0.62,0.48,1.21,1.1,0.71,0.8,1.08,0.89,0.58
安徽省,1.06,1,1.34,0.61,0.78,0.43,0.38,0.36,0.45,0.34,0.26,0.54,0.99,0.68,0.44,0.81,0.62,0.78,0.36,1.01,0.61,0.35,0.42,0.77,0.84,0.88,1.2,0.48,1,0.98,1.17,1.24,0.98,1,1.5,1.22,1.32,0.98,1.3,1.41,0.64,1.06,1.58,1.4,1.15,1.25,1.45,1.4,1.2
福建省,1.48,1.54,1.61,1.06,0.47,0.43,0.42,0.46,0.2,0.39,0.31,0.21,0.23,0.37,0.38,0.43,0.11,0.12,0.12,0.33,0.37,0.35,0.42,0.28,0.31,0.19,0.4,0,0.36,0.35,0.23,0.24,0.23,0.24,0.3,0.53,0.36,0.25,0.37,0.19,0.51,0.49,0.7,0.51,0.46,0.5,0.32,0.27,0.32
江西省,0.77,1.36,0.61,0.61,0.69,0.17,0.12,0.18,0.28,0.34,0.15,0.21,0.23,0.42,0.31,0.56,0.39,0.24,0.24,0.33,0.24,0.29,0.3,0,0.31,0.69,0.4,0.36,0.63,0.49,0.47,0.38,0.53,0.47,0.7,0.6,0.61,0.35,0.46,0.39,0.41,0.44,0.59,0.5,0.44,0.53,0.34,0.36,0.4
山东省,1.34,0.85,0.65,1.26,1.17,1.07,1.74,1.1,0.65,0.74,0.73,0.6,0.75,1.48,0.63,0.62,0.79,0.78,0.55,1.13,0.99,0.47,0.78,0.91,0.52,1.18,0.96,1.09,1.47,1.21,1.07,1.82,1.34,1.51,1.52,1.54,1.22,2.07,1.98,1.64,1.92,1.73,1.55,1.25,1.98,1.74,1.49,1.49,1.41
河南省,2.19,2.86,2.27,2.36,1.73,1.59,2.03,2.39,2.57,3.48,2.72,1.37,2.5,2.54,3.12,2.62,2.73,1.99,2.14,2.43,2.41,1.65,3.51,2.46,2.42,2.66,2.88,2.24,5.47,4.22,6.02,5.37,5.08,5.94,5.52,5.57,5.21,4.53,6.38,4.97,3.8,3.87,5.23,5.49,6.74,6.84,6.49,5.58,4.69
湖北省,1.06,1.11,0.84,1.06,1.3,1.07,0.97,0.69,1.06,0.95,0.47,0.65,0.52,0.68,0.89,0.62,0.96,0.96,0.42,0.79,1.05,1.12,1.15,0.56,2.63,0.69,1.36,1.09,2,0.89,1.34,1.46,1.41,1.44,1.57,1.81,1.99,1.83,1.44,1.49,1.31,1.47,1.73,1.97,1.93,2.27,1.92,1.74,1.81
湖南省,1.27,1.18,1.27,1.18,1.39,1.68,1.52,1.01,0.81,0.74,0.41,0.49,1.05,0.47,0.38,0.56,0.45,0.96,0.42,0.62,0.49,0.94,0.72,0.84,0.73,0.39,0.48,0.54,1,0.85,0.84,1.46,1.96,1.89,2.04,1.63,2.2,1.6,1.76,1.5,1.17,1.52,1.62,1.39,1.48,1.52,1.34,1.23,1.08
广东省,2.01,1.93,2.04,3.22,2.78,3.06,3.01,1.88,1.71,1.56,2.09,1.69,1.34,1.27,1.65,1.37,1.93,1.57,2.26,2.32,2.28,3.12,3.27,4.44,5.59,3.94,3.45,2.3,1.68,1.21,0.77,0.96,0.74,1,1.1,0.83,0.76,0.89,0.96,0.99,1.41,1.51,0.96,0.64,0.83,1.18,1.06,0.93,1
