迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.42,0.44,0.43,0.38,0.41,0.34,0.33,0.28,0.26,0.34,0.27,0.34,0.37,0.31,0.27,0.3,0.43,0.42,0.52,0.51,0.62,0.67,0.78,0.71,0.34,0.23,0.16,0.14,0.11,0.12,0.21,0.25,0.23,0.21,0.37,0.47,0.43,0.42,0.63,0.33,0.39,0.57,0.65,0.75,0.72,0.52,0.62,0.65,0.83
天津市,0.13,0.2,0.11,0.09,0.07,0.09,0.09,0.09,0.08,0.07,0.13,0.11,0.15,0.11,0.1,0.08,0.08,0.1,0.11,0.11,0.09,0.16,0.14,0.12,0.07,0.06,0.05,0.05,0.04,0.05,0.06,0.08,0.09,0.08,0.09,0.15,0.12,0.11,0.12,0.09,0.13,0.13,0.17,0.15,0.18,0.14,0.17,0.19,0.19
河北省,0.18,0.18,0.15,0.18,0.17,0.19,0.16,0.14,0.11,0.16,0.18,0.2,0.26,0.17,0.17,0.17,0.18,0.22,0.17,0.15,0.15,0.22,0.18,0.26,0.18,0.09,0.12,0.12,0.16,0.29,0.46,0.51,0.48,0.59,0.65,0.68,0.59,0.51,0.57,0.46,0.57,0.7,0.65,0.75,0.71,0.76,0.71,0.83,0.74
山西省,0.12,0.15,0.11,0.07,0.09,0.11,0.1,0.11,0.1,0.12,0.12,0.11,0.14,0.12,0.08,0.12,0.1,0.1,0.11,0.09,0.12,0.11,0.11,0.13,0.07,0.03,0.05,0.1,0.12,0.15,0.26,0.31,0.37,0.29,0.41,0.39,0.38,0.33,0.4,0.33,0.39,0.4,0.4,0.44,0.49,0.44,0.48,0.48,0.43
内蒙古自治区,0.06,0.04,0.08,0.04,0.07,0.03,0.05,0.04,0.03,0.05,0.04,0.08,0.1,0.05,0.05,0.04,0.06,0.07,0.11,0.05,0.07,0.07,0.05,0.11,0.08,0.05,0.05,0.05,0.04,0.03,0.08,0.07,0.13,0.08,0.12,0.13,0.09,0.14,0.15,0.07,0.08,0.14,0.13,0.16,0.17,0.18,0.18,0.14,0.23
辽宁省,0.26,0.22,0.23,0.19,0.1,0.09,0.08,0.15,0.06,0.08,0.1,0.08,0.09,0.08,0.06,0.06,0.07,0.08,0.07,0.06,0.1,0.09,0.09,0.09,0.05,0.04,0.02,0.07,0.1,0.11,0.17,0.24,0.2,0.21,0.26,0.24,0.16,0.23,0.25,0.18,0.25,0.3,0.27,0.32,0.3,0.3,0.25,0.32,0.25
吉林省,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.06,0.07,0.08,0.06,0.07,0.09,0.1,0.09,0.1,0.11,0.1,0.15,0.13,0.13,0.18,0.19,0.16,0.13,0.17,0.16
黑龙江省,0.03,0.02,0.04,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.05,0.05,0.07,0.07,0.08,0.11,0.08,0.08,0.1,0.09,0.1,0.13,0.11,0.13,0.11,0.11,0.1,0.13,0.13
上海市,1.55,1.63,1.74,1.79,1.86,2,1.61,1.38,1.32,1.42,1.19,1.07,0.99,1.01,0.89,0.98,1.13,1.29,1.49,1.53,1.67,1.71,1.81,1.77,0.93,0.4,0.44,0.3,0.26,0.26,0.33,0.39,0.35,0.35,0.51,0.63,0.58,0.78,0.86,0.55,0.61,0.89,0.78,0.98,1.07,0.98,1.23,1.13,1.18
