迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.04,1.11,0.97,0.91,0.93,0.9,0.83,0.71,0.88,0.94,0.84,0.73,0.71,0.74,0.86,0.72,0.78,0.89,1.08,1.16,1.01,1.12,1.11,0.98,0.53,0.27,0.24,0.15,0.13,0.16,0.27,0.29,0.3,0.3,0.58,0.53,0.6,0.62,0.64,0.47,0.47,0.75,0.74,0.84,0.97,0.92,0.92,0.79,0.99
天津市,0.39,0.35,0.33,0.29,0.28,0.23,0.27,0.23,0.23,0.29,0.28,0.26,0.27,0.28,0.28,0.22,0.22,0.25,0.25,0.23,0.24,0.26,0.2,0.17,0.08,0.06,0.04,0.06,0.08,0.07,0.11,0.15,0.16,0.15,0.22,0.19,0.2,0.24,0.3,0.14,0.22,0.24,0.27,0.37,0.33,0.37,0.29,0.34,0.32
河北省,0.4,0.43,0.38,0.38,0.37,0.39,0.26,0.26,0.31,0.4,0.43,0.37,0.47,0.39,0.4,0.34,0.43,0.42,0.31,0.36,0.34,0.34,0.36,0.48,0.25,0.17,0.16,0.2,0.2,0.3,0.48,0.43,0.55,0.6,0.71,0.72,0.73,0.76,0.96,0.75,1.08,0.93,0.88,0.9,0.88,0.86,0.78,0.89,0.71
山西省,0.39,0.35,0.36,0.35,0.31,0.32,0.24,0.31,0.3,0.31,0.3,0.26,0.37,0.25,0.29,0.27,0.26,0.29,0.26,0.3,0.31,0.3,0.37,0.38,0.2,0.12,0.16,0.26,0.23,0.25,0.49,0.45,0.49,0.61,0.61,0.53,0.56,0.55,0.72,0.54,0.93,0.75,0.67,0.7,0.68,0.67,0.6,0.73,0.6
内蒙古自治区,0.16,0.16,0.12,0.18,0.13,0.13,0.11,0.11,0.17,0.19,0.17,0.18,0.19,0.17,0.16,0.12,0.11,0.13,0.16,0.09,0.19,0.14,0.14,0.16,0.09,0.05,0.05,0.06,0.07,0.09,0.11,0.14,0.17,0.14,0.16,0.21,0.19,0.21,0.3,0.27,0.27,0.27,0.22,0.31,0.2,0.29,0.23,0.23,0.19
辽宁省,0.27,0.32,0.25,0.24,0.18,0.23,0.14,0.11,0.13,0.2,0.21,0.18,0.25,0.15,0.17,0.2,0.15,0.19,0.15,0.15,0.17,0.17,0.22,0.14,0.18,0.06,0.1,0.12,0.1,0.15,0.2,0.25,0.21,0.25,0.33,0.31,0.3,0.32,0.33,0.22,0.34,0.31,0.42,0.43,0.4,0.36,0.34,0.38,0.34
吉林省,0.08,0.06,0.06,0.04,0.04,0.07,0.03,0.04,0.03,0.03,0.03,0.03,0.07,0.02,0.02,0.04,0.04,0.05,0.02,0.05,0.04,0.04,0.02,0.03,0,0,0.01,0.01,0.03,0.04,0.06,0.08,0.07,0.07,0.1,0.11,0.1,0.16,0.16,0.16,0.19,0.17,0.17,0.18,0.2,0.15,0.17,0.16,0.14
黑龙江省,0.07,0.06,0.07,0.06,0.04,0.04,0.03,0.03,0.04,0.05,0.06,0.04,0.09,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.02,0.03,0.01,0.02,0.03,0.02,0.02,0.04,0.07,0.06,0.08,0.08,0.11,0.1,0.14,0.14,0.12,0.18,0.17,0.19,0.18,0.18,0.2,0.15,0.22,0.17
上海市,2.2,2.27,2.32,2.37,2.66,2.74,2.41,2.24,2,2.07,1.49,1.46,1.44,1.66,1.55,1.76,1.85,1.95,2.41,2.22,2.08,1.79,1.79,1.66,0.88,0.47,0.34,0.33,0.24,0.28,0.39,0.4,0.45,0.44,0.73,0.76,0.81,0.96,0.93,0.61,0.71,1.05,1.05,1.29,1.35,1.37,1.51,1.39,1.5
