迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.23,1.67,1.14,1.61,2.13,2.94,2.83,1.35,0.85,1.1,1.14,0.89,1.38,0.99,1.24,1.07,1.35,1.5,1.67,2.15,1.66,2.22,2.14,2.2,1.03,0.75,0.51,0.48,0.41,0.42,0.52,0.58,0.49,0.65,0.79,0.81,0.98,1.19,0.96,0.85,0.95,1.27,1.23,1.05,0.95,1.09,0.93,0.95,1.4
天津市,0.41,0.39,0.36,0.36,0.38,0.36,0.33,0.36,0.25,0.31,0.35,0.36,0.17,0.52,0.45,0.47,0.46,0.51,0.53,0.43,0.49,0.76,0.34,0.64,0.63,0.32,0.17,0.26,0.14,0.16,0.22,0.17,0.21,0.19,0.25,0.31,0.23,0.21,0.4,0.31,0.31,0.4,0.35,0.29,0.37,0.2,0.23,0.22,0.23
河北省,0.43,0.42,0.55,0.58,0.52,0.71,0.38,0.47,0.42,0.56,0.51,0.58,0.63,0.69,0.75,0.53,0.51,0.86,0.66,0.5,0.57,0.56,0.59,0.58,1.24,0.61,0.62,1,0.95,1.29,1.86,1.47,1.58,1.74,1.81,2.11,2.1,2.19,2.13,1.56,2.73,2.39,2.33,2.66,2.47,2.22,2.01,2.21,2.01
山西省,0.99,1.07,0.98,1.09,0.94,1.12,0.72,0.69,0.99,1.36,1.19,1.26,1.16,1.34,0.8,1.27,1.21,1.14,0.96,0.81,0.69,0.66,0.56,0.66,0.89,0.46,0.54,0.67,1.4,1.2,1.72,1.53,1.64,1.63,1.97,1.63,1.74,1.43,1.2,1.35,1.96,1.75,1.41,1.82,1.79,1.63,1.48,1.6,1.4
内蒙古自治区,0.78,0.79,0.79,0.69,0.96,0.72,0.81,0.79,1.1,0.77,0.98,0.72,0.84,0.83,0.71,0.76,0.81,0.8,0.83,0.82,0.64,0.66,0.94,1.5,1.58,0.67,0.96,0.59,0.52,0.84,0.82,0.78,0.77,0.89,0.79,0.84,0.92,0.74,0.93,0.91,0.82,0.76,0.92,0.74,0.8,0.84,0.95,0.81,0.99
辽宁省,0.48,0.4,0.5,0.65,0.45,0.2,0.2,0.37,0.14,0.17,0.15,0.25,0.21,0.37,0.6,0.21,0.37,0.31,0.17,0.28,0.24,0.21,0.21,0.28,0.13,0.06,0.13,0.16,0.19,0.27,0.33,0.37,0.25,0.33,0.32,0.39,0.3,0.33,0.28,0.36,0.36,0.46,0.43,0.59,0.38,0.39,0.31,0.43,0.41
吉林省,0.13,0.05,0.09,0.01,0.06,0.1,0.02,0.07,0.06,0.04,0.1,0.08,0.04,0.03,0.09,0.04,0.08,0.07,0.08,0.05,0.06,0.07,0.07,0.01,0.01,0.03,0.1,0.08,0.03,0.09,0.08,0.18,0.2,0.22,0.11,0.12,0.2,0.12,0.09,0.16,0.22,0.21,0.27,0.18,0.17,0.25,0.19,0.22,0.21
黑龙江省,0.12,0.06,0.21,0.1,0.11,0.15,0.3,0.04,0.02,0.07,0.01,0.01,0.03,0.16,0.04,0.07,0.04,0.04,0.02,0.08,0.04,0.07,0.1,0.01,0.07,0.01,0.02,0.04,0.07,0.03,0.2,0.11,0.23,0.12,0.27,0.27,0.14,0.45,0.2,0.27,0.11,0.28,0.2,0.2,0.35,0.22,0.34,0.22,0.45
上海市,1.08,1.29,1.19,1.86,1.81,1.33,1.51,1.77,0.71,0.97,0.88,0.65,0.54,0.6,0.88,0.44,1.04,0.83,1.23,1.5,1.46,1.34,1.29,1.65,1.1,0.78,0.64,0.53,0.36,0.28,0.34,0.37,0.23,0.24,0.35,0.42,0.34,0.35,0.73,0.59,0.56,0.74,0.75,0.66,0.51,0.63,0.57,0.68,0.86
江苏省,3.81,3.84,2.85,3.67,3.23,3.56,2.79,2.05,2.06,2.3,2.19,1.56,2.03,1.63,1.62,1.94,1.69,1.97,1.97,2.36,2.67,2.11,2.21,2.5,1.33,1.02,0.88,1.34,1.19,1.33,1.52,1.7,1.65,1.91,2.49,2.33,2.15,2.29,2.47,2.08,2.13,2.57,2.46,2.5,3.15,2.29,2.39,2.11,2.2
