迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,7.5,8.77,9.01,9.04,9.33,9.77,8.24,8.54,10.76,8.62,8.33,9.06,9.22,9.23,8.05,9.52,11.19,11.79,13.82,14.47,14.97,15.74,16.17,14.82,10.42,6.71,5.48,5.25,4.77,5.1,5.12,4.8,4.96,5.37,5.73,4.98,6.06,6.02,6.68,5.16,5.67,6.41,6.04,6.02,5.62,5.09,4.59,5.02,5.52
天津市,5.61,4.97,4.81,4.45,5.02,4.73,4.9,5.41,5.24,4.63,5.36,4.9,5.63,5.24,5.49,5.95,5.25,5.53,5.91,5.3,6.05,5.69,4.76,5.05,3.92,3.05,3.58,3.29,2.95,3.01,3.08,3.01,2.86,3.35,2.75,3.19,3.17,3.49,3.33,2.8,2.76,2.68,2.96,2.9,2.68,2.63,2.72,2.77,2.88
河北省,3.21,4.71,4.68,5.1,5.11,5.04,4.88,4.06,4.19,4.66,5.24,4.94,5.22,5.1,5.23,5.6,5.89,6.24,5.96,5.93,5.54,5.44,5.26,6.61,5.28,4.48,4.72,5.29,4.94,5.52,5.44,5.09,5.2,5.74,5.32,5.14,5.72,5.28,4.9,3.88,5.48,4.19,4.41,5.21,5.55,5.57,5.67,5.62,5.26
山西省,0.72,0.65,0.89,0.72,0.96,0.69,0.63,0.88,0.72,0.67,0.57,0.36,0.87,1.01,0.88,0.62,0.57,0.5,0.51,0.47,0.6,0.5,0.45,0.54,0.28,0.32,0.28,0.58,0.42,0.44,0.59,0.46,0.74,0.69,0.8,0.67,0.75,0.65,0.79,0.55,0.73,0.65,0.58,1.36,1.42,2.22,2.34,2.04,1.3
内蒙古自治区,7.04,7.36,8.48,8.85,9.12,9.57,9.9,11.11,10.77,9.71,11.81,11.09,11.51,10.87,12.11,11.8,11.63,11.81,10.95,11.11,10.99,11.3,12.32,13.1,20.85,26.7,25.81,24.6,22.71,21.55,18.8,19.07,18.46,17.29,16.53,17.57,16.57,17.52,18.92,19,15.64,16.58,16.84,15.03,14.66,14.23,13.5,14.57,15.47
辽宁省,10.15,10.26,9.78,10.37,11.47,10.9,11.14,11,12.55,13.98,13.59,13.44,13.11,14.29,13.56,13.79,14.46,15.67,14.64,14.77,15.33,16.58,16.24,17.14,12.9,11.57,12.08,10.85,12.81,13.35,13.64,13.07,13.88,14.6,14.59,14.11,14.59,14.71,13.48,13.44,15.61,14.38,14.42,14.54,13.88,13.47,13.16,13.02,13.63
吉林省,13.43,13.37,13.54,15.05,14.34,14.53,15.7,15.24,15.11,13.78,14.36,14.49,14.1,14.55,14.32,14.53,14.28,13.73,13.81,13.86,14.27,14.39,15.06,16.14,21.39,26.34,26.47,25.13,23.41,24.59,23.07,24.17,23,21.8,21.45,21.79,21.27,20.95,20.07,26.83,22.01,22.71,22.14,19.78,18.66,16.7,18.29,17.96,19.45
黑龙江省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海市,3.45,4.05,3.88,4.77,4.13,3.77,3.21,3.23,3.61,2.88,3.35,2.78,2.87,2.65,2.66,2.18,2.89,2.9,3.39,2.91,2.83,3.13,3.13,2.5,2.64,1.93,1.49,1.73,1.61,1.5,1.63,1.5,1.38,1.64,1.75,1.73,1.66,1.52,2.07,1.71,1.97,2.13,1.76,1.94,1.49,1.4,1.47,1.35,1.94
江苏省,6.18,6.11,5.54,5.85,5.55,5.31,4.97,4.8,4.72,5.32,4.67,5,4.1,4.18,3.89,5,4.24,3.29,3.11,3.31,3.67,3.04,2.75,2.04,2.26,1.43,1.49,1.78,1.98,2.25,2.45,2.62,2.41,2.57,3.03,2.69,2.51,2.75,2.83,2.39,3,2.96,3.29,3.09,3.11,3.11,2.7,2.67,3.36
浙江省,5.92,5.3,5.32,4.32,4.53,5.11,4.89,5.15,5.13,5.16,4.42,4.29,3.93,4.1,4.41,4.25,4.31,3.91,3.09,3.2,3.36,2.56,2.13,1.95,1.65,1.06,1.23,1.73,1.69,1.31,1.44,1.98,1.85,2.2,1.98,2.21,2.08,2.05,1.96,1.82,2.35,2.19,2.05,2.26,2.42,2.38,2.1,2.26,2.24
安徽省,1.25,1.41,1.07,1.12,0.78,1.33,0.69,1.14,0.92,1.12,0.95,1.14,1.04,0.72,0.97,1.08,0.71,0.85,0.65,0.88,0.74,0.58,0.61,0.42,0.46,0.2,0.35,0.64,0.63,1.17,1.11,1.32,1.09,1.27,1.52,1.24,1.35,1.37,1.26,1.04,1.33,1.24,1.23,1.66,1.78,2.13,1.99,1.78,1.28
福建省,1.38,1.26,1.38,0.94,1.04,0.97,1.26,0.84,0.79,1.25,0.62,0.91,0.67,0.9,0.98,0.66,0.97,0.77,0.84,0.65,0.74,0.61,0.66,0.37,0.52,0.42,0.27,0.25,0.54,0.6,0.82,0.97,0.61,0.93,0.99,1.05,1.05,0.89,1.03,0.67,0.83,0.97,1.23,0.99,0.97,0.96,0.88,0.89,0.91
江西省,1.6,1.27,0.88,0.93,0.98,0.55,1.07,0.47,0.42,0.78,0.62,0.48,0.64,0.59,0.55,0.61,0.54,0.69,0.59,0.57,0.44,0.36,0.35,0.5,0.4,0.19,0.33,0.16,0.45,0.17,0.33,0.35,0.41,0.42,0.61,0.5,0.45,0.58,0.46,0.45,0.25,0.5,0.51,0.68,0.98,1.05,1.21,0.81,0.68
山东省,12.4,11.02,10.64,9.44,9.77,8.96,10,9.91,7.47,9.6,9,10.6,8.51,9.48,9.38,9.25,8.83,7.51,8.2,8.31,7.21,7.25,7.33,6.4,5.44,4.09,4.5,4.95,6.68,6.48,7.64,6.68,7.77,6.82,7.15,6.92,7.03,6.73,6.2,6.06,6.71,6.71,6.45,7.66,7.96,7.57,7.45,7.33,7.48
河南省,1.84,1.53,1.42,1.37,1.44,1.6,1.23,1.46,1.52,1.49,1.66,1.4,1.78,1.29,1.67,1.47,1.39,1.35,1.43,1.32,1.22,1.05,1.26,0.91,0.87,0.59,0.73,0.86,0.91,1.24,1.61,1.81,1.77,2.09,1.86,1.96,1.99,2.2,1.79,1.49,1.93,1.98,2.34,2.67,3.31,4.16,4.3,3.91,3.19
湖北省,0.87,1.02,0.78,0.97,0.95,1.02,1.16,1,1.05,1.01,0.85,1.21,1.03,0.93,1.17,0.74,0.59,0.74,0.78,0.44,0.51,0.62,0.6,0.5,0.55,0.31,0.26,0.33,0.44,0.33,0.43,0.61,0.55,0.43,0.6,0.52,0.54,0.62,0.65,0.46,0.56,0.84,0.93,1.09,1.08,1.34,1.25,1.13,0.95
湖南省,1.8,1.92,1.29,1.32,1.26,1.46,1.11,0.93,0.84,0.66,1.11,0.77,1.32,0.62,0.68,1.09,0.51,0.86,0.62,0.81,0.7,0.62,0.45,0.42,0.43,0.28,0.28,0.47,0.4,0.39,0.34,0.59,0.55,0.6,0.6,0.76,0.61,0.41,0.68,0.66,0.61,0.63,0.7,0.72,0.96,1.22,1.3,1.15,0.9
广东省,5.44,5.68,6.11,5.42,4.52,5.45,5.06,5.48,5.53,5.74,5.29,5.12,5.64,5.16,5.37,4.92,4.33,4.37,4.17,4.27,4.04,3.63,3.38,3.36,3.83,3.2,3.12,3.08,3,2.91,2.85,2.96,2.81,3.33,3,3.05,3.15,2.92,2.96,2.73,3.3,3.36,2.97,2.61,2.86,2.85,2.57,2.97,2.76
广西壮族自治区,1.32,1.04,1.27,1.18,1.11,0.73,1.46,0.87,0.72,0.67,0.64,1,0.83,0.76,0.69,1.01,0.89,0.73,0.66,0.71,0.6,0.71,0.45,0.45,0.28,0.28,0.35,0.29,0.41,0.51,0.8,0.6,0.82,0.59,0.84,0.76,0.48,0.76,0.69,0.74,0.62,0.63,0.7,0.87,0.98,1.35,1.4,1.41,1.14
海南省,3.41,3.16,3.49,2.96,3.13,2.66,3.34,3.49,3.19,3.74,3.4,2.8,2.97,2.91,3.29,2.13,3.02,2.67,2.98,2.33,2.62,3.03,2.77,3.9,3.38,4.95,5.49,6.65,6.77,4.77,5.34,5.22,5.45,4.98,5.44,5.54,5.53,5.21,5.27,4.7,4.56,4.31,4.34,3.97,3.49,2.47,2.41,2.5,2.75
重庆市,0.67,0.69,0.67,1.07,0.85,0.67,0.66,0.47,0.82,0.68,0.63,0.42,0.66,0.72,0.53,0.47,0.48,0.5,0.56,0.3,0.38,0.34,0.36,0.25,0.24,0.19,0.22,0.33,0.27,0.25,0.56,0.34,0.43,0.33,0.46,0.51,0.39,0.45,0.51,0.31,0.39,0.48,0.46,0.56,0.78,1.05,0.95,0.86,0.54
四川省,1.49,1.45,1.19,1.72,1.28,1.95,1.18,1.59,1.25,1.26,1,0.79,0.96,1.56,1.28,0.99,0.76,1.22,0.8,1.17,1.19,0.88,1.11,0.91,0.64,0.51,0.42,0.53,0.76,0.86,0.82,0.75,1.07,0.78,0.92,0.95,0.98,0.94,1.15,1.04,1.29,1.16,1.17,1.34,1.3,1.89,1.88,1.99,1.58
