迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.99,0.95,0.96,0.93,0.94,0.75,0.88,0.63,0.54,0.67,1.02,0.98,0.93,0.92,0.74,0.77,0.72,0.71,0.65,0.5,0.54,0.53,0.52,0.38,0.36,0.27,0.37,0.45,0.71,1.11,1.57,1.35,1.33,1.28,1.95,1.86,2.08,2.05,2.06,1.38,1.55,1.89,2.04,2.05,2.05,1.83,1.61,1.55,1.89
天津市,0.31,0.36,0.38,0.36,0.31,0.35,0.29,0.2,0.21,0.23,0.32,0.29,0.23,0.27,0.24,0.29,0.23,0.24,0.25,0.23,0.22,0.22,0.21,0.2,0.18,0.14,0.12,0.17,0.18,0.34,0.41,0.33,0.28,0.37,0.49,0.47,0.49,0.51,0.48,0.31,0.46,0.52,0.57,0.61,0.6,0.54,0.42,0.49,0.54
河北省,0.39,0.43,0.52,0.48,0.42,0.6,0.43,0.46,0.48,0.57,0.68,0.63,0.79,0.73,0.65,0.74,0.69,0.67,0.63,0.64,0.67,0.65,0.55,0.61,0.54,0.38,0.3,0.36,0.48,0.55,0.6,0.63,0.56,0.63,0.64,0.73,0.72,0.8,0.68,0.51,0.71,0.75,0.82,0.82,0.87,0.72,0.59,0.79,0.75
山西省,0.47,0.57,0.62,0.72,0.67,0.77,0.62,0.56,0.53,0.58,0.58,0.7,0.8,0.83,0.72,0.76,0.75,0.84,0.77,0.93,0.89,0.87,0.85,0.76,0.63,0.37,0.31,0.34,0.38,0.55,0.52,0.48,0.44,0.48,0.59,0.58,0.61,0.5,0.49,0.35,0.64,0.61,0.62,0.58,0.6,0.52,0.42,0.61,0.58
内蒙古自治区,0.24,0.3,0.23,0.28,0.2,0.27,0.23,0.17,0.17,0.17,0.24,0.23,0.27,0.26,0.21,0.21,0.23,0.21,0.23,0.21,0.27,0.2,0.23,0.2,0.25,0.16,0.14,0.16,0.18,0.26,0.23,0.2,0.18,0.23,0.31,0.25,0.28,0.23,0.22,0.17,0.26,0.31,0.24,0.27,0.24,0.22,0.16,0.22,0.25
辽宁省,0.38,0.41,0.41,0.44,0.44,0.52,0.54,0.35,0.34,0.53,0.72,0.56,0.74,0.61,0.67,0.74,0.72,0.72,0.74,0.76,0.76,0.77,0.76,0.62,0.67,0.56,0.44,0.46,0.52,0.65,0.7,0.61,0.67,0.64,0.75,0.74,0.82,0.81,0.73,0.52,0.76,0.71,0.96,0.85,0.86,0.85,0.68,0.85,0.83
吉林省,0.28,0.29,0.26,0.27,0.2,0.23,0.22,0.19,0.15,0.18,0.23,0.22,0.25,0.19,0.23,0.23,0.24,0.23,0.24,0.21,0.23,0.25,0.21,0.21,0.2,0.2,0.26,0.2,0.29,0.35,0.3,0.32,0.29,0.33,0.31,0.3,0.31,0.31,0.35,0.25,0.37,0.39,0.36,0.39,0.42,0.4,0.29,0.41,0.37
黑龙江省,0.36,0.39,0.33,0.33,0.23,0.25,0.19,0.18,0.16,0.17,0.31,0.22,0.3,0.21,0.22,0.19,0.24,0.24,0.21,0.2,0.2,0.23,0.22,0.15,0.2,0.18,0.19,0.25,0.29,0.34,0.35,0.3,0.27,0.31,0.33,0.32,0.32,0.29,0.34,0.24,0.43,0.41,0.36,0.44,0.38,0.35,0.3,0.38,0.44
上海市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
