迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.79,0.83,0.7,0.78,0.72,0.75,0.68,0.49,0.46,0.46,0.74,0.71,0.72,0.81,0.55,0.54,0.62,0.63,0.63,0.59,0.53,0.62,0.52,0.41,0.38,0.24,0.41,0.51,0.53,0.71,0.83,0.87,0.83,0.86,0.93,0.92,0.87,0.87,0.91,0.89,1.01,0.92,0.89,1.05,0.91,1.13,1.1,1.08,1.21
天津市,0.32,0.36,0.31,0.43,0.22,0.25,0.18,0.14,0.26,0.17,0.24,0.18,0.46,0.21,0.16,0.25,0.1,0.26,0.23,0.18,0.21,0.13,0.32,0.1,0.09,0.09,0.1,0.15,0.13,0.16,0.18,0.21,0.17,0.22,0.2,0.16,0.25,0.2,0.27,0.18,0.26,0.27,0.29,0.39,0.33,0.38,0.38,0.51,0.51
河北省,0.61,0.56,0.54,0.67,0.54,0.61,0.52,0.52,0.67,0.64,1.02,0.93,1.02,1.06,0.97,1.03,0.88,0.97,1.03,0.88,0.96,0.85,0.82,0.67,0.48,0.31,0.23,0.21,0.26,0.26,0.3,0.45,0.41,0.51,0.53,0.65,0.65,0.69,0.82,0.54,0.56,0.63,0.72,0.77,0.83,0.78,0.76,0.86,0.83
山西省,0.57,0.49,0.51,0.47,0.55,0.41,0.46,0.4,0.4,0.48,0.47,0.36,0.67,0.6,0.6,0.63,0.6,0.51,0.66,0.52,0.6,0.64,0.49,0.66,0.45,0.15,0.15,0.16,0.16,0.17,0.25,0.26,0.28,0.24,0.31,0.33,0.3,0.35,0.33,0.34,0.42,0.38,0.42,0.48,0.43,0.5,0.57,0.6,0.59
内蒙古自治区,0.31,0.3,0.28,0.29,0.22,0.17,0.19,0.17,0.14,0.17,0.17,0.14,0.16,0.2,0.18,0.16,0.15,0.14,0.15,0.16,0.17,0.12,0.17,0.14,0.08,0.05,0.07,0.08,0.03,0.06,0.08,0.08,0.11,0.12,0.14,0.12,0.14,0.17,0.21,0.2,0.19,0.19,0.18,0.16,0.15,0.14,0.17,0.18,0.16
辽宁省,0.35,0.34,0.33,0.38,0.34,0.31,0.31,0.29,0.13,0.42,0.5,0.6,0.59,0.48,0.49,0.5,0.41,0.41,0.45,0.43,0.43,0.51,0.46,0.3,0.19,0.2,0.23,0.14,0.17,0.16,0.19,0.21,0.2,0.25,0.26,0.26,0.3,0.24,0.33,0.21,0.25,0.26,0.29,0.37,0.47,0.58,0.73,0.87,0.82
吉林省,0.18,0.2,0.19,0.18,0.14,0.11,0.12,0.13,0.09,0.09,0.13,0.14,0.19,0.15,0.13,0.1,0.14,0.12,0.17,0.11,0.14,0.1,0.14,0.15,0.05,0.05,0.06,0.04,0.07,0.06,0.06,0.05,0.06,0.05,0.08,0.11,0.07,0.08,0.12,0.11,0.11,0.13,0.18,0.16,0.19,0.19,0.27,0.32,0.28
黑龙江省,0.32,0.21,0.27,0.19,0.26,0.15,0.12,0.11,0.09,0.1,0.15,0.16,0.21,0.14,0.18,0.1,0.13,0.15,0.14,0.14,0.11,0.12,0.15,0.09,0.07,0.06,0.04,0.06,0.08,0.05,0.14,0.11,0.14,0.09,0.09,0.11,0.13,0.19,0.16,0.16,0.15,0.18,0.17,0.2,0.3,0.36,0.46,0.51,0.55
上海市,1.62,1.67,1.57,1.52,1.29,1.27,1.34,0.83,0.7,0.85,0.82,0.93,0.86,0.99,0.7,0.62,0.68,0.66,0.57,0.59,0.64,0.61,0.52,0.48,0.41,0.42,0.43,0.73,0.85,1.27,1.62,1.78,1.73,1.59,1.65,1.67,1.58,1.86,1.95,2.09,2.09,2.05,1.82,1.97,1.93,2,2,2.21,2.32
