迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,4.31,4.14,4.07,4.13,3.55,3.96,4.61,4.17,3.76,3.87,3.84,3.74,3.99,4.1,4.02,4.06,3.6,3.84,3.76,3.74,3.76,3.63,3.62,2.7,2.3,1.93,2.84,4.31,6.7,9.58,13.84,11.07,10.41,11.26,11.73,9.56,9.32,8.33,7.99,9.06,10.07,10.79,9.2,9.03,8.05,7.49,6.85,7.08,8.07
天津市,2.23,2.14,2.02,2.03,1.88,2.2,2.01,1.64,1.81,1.88,1.82,2.05,1.92,1.94,1.78,1.71,1.73,1.56,1.55,1.57,1.28,1.3,0.98,0.95,0.73,0.52,1.18,1.63,2.49,3.53,4.66,3.56,3.73,3.54,3.41,3.05,2.94,2.72,2.31,2.68,2.95,2.52,3.34,3.16,2.94,2.75,2.48,2.6,2.72
河北省,9.95,10.04,9.98,10.36,9.94,10.34,10.32,11.32,10.33,10.02,10.81,11.08,10.6,11.44,11.8,12,11.12,11.89,11.26,11.37,11.49,11.15,10.89,10.82,9.45,9.96,10.04,10.55,9.75,13.97,11.48,11.38,12.58,12.24,12.43,12.93,12.92,12.77,11.12,13.42,12.54,11.69,12.92,13.31,12.86,12.45,11.59,12.01,11.58
山西省,11.2,12.01,11.59,11.53,11.85,11.39,11.2,12.55,12.48,11.89,10.81,11.34,10.75,11.29,11.26,11.45,11.62,12.04,12.03,12.41,12.86,13.62,13.87,14.41,11.73,14.42,16.79,13.65,10.96,12.31,9.69,10.03,9.67,9.66,8.93,9.68,9.53,9.97,9.91,8.76,7.48,8.28,8.08,8.35,8.51,9.43,9.43,9.49,8.79
内蒙古自治区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辽宁省,11.3,11.82,12.13,12.54,11.78,12.75,13.38,12.4,11.8,12.67,14.42,14.69,14.72,14.55,14.66,15.46,14.78,15.35,15.18,15.2,14.91,15.24,14.63,13.38,14.65,17.26,18,18.54,18.1,18.77,16.63,17,15.65,15.72,14.78,14.96,15,14.6,13.54,15.28,13.84,12.62,13.42,14.12,14.31,13.96,14.35,14.52,14.01
吉林省,5.6,5.48,5.4,5.62,5.59,5.41,4.83,4.82,4.24,4.82,5.29,5.06,4.48,4.6,4.87,4.93,5.08,5.12,5.08,5.47,5.47,5.84,6.37,6.16,7.66,9.11,7.87,7.72,7.79,6.77,5.95,6.31,6.37,6.02,6.44,6.75,7.13,7.25,7.72,6.8,6.18,6.65,7.15,7.15,7.01,7.28,7.78,8.21,8.31
黑龙江省,3.4,3.3,3.32,3.22,3.1,3.21,3.02,3.21,2.95,3.01,3.6,3.33,3.56,3.07,3.63,3.73,3.92,4.18,3.85,4.09,4.11,4.44,5.01,4.6,6.03,5.43,5.57,5.51,5.86,5,4.57,5,5.24,5.25,5.5,6.11,6.48,7.04,7.32,7.09,6.91,7.98,7.71,7.85,8.39,8.74,8.4,8.99,8.99
上海市,0.64,0.62,0.76,0.74,0.78,0.57,0.57,0.47,0.45,0.62,0.36,0.42,0.94,0.41,0.33,0.48,0.47,0.39,0.68,0.52,0.6,0.51,0.52,0.44,0.48,0.33,0.27,0.73,0.83,0.77,0.97,1.27,1.02,0.99,1.15,1.05,0.99,1,1.15,1.15,1.19,1.42,1.14,1.04,0.93,1.03,0.88,0.89,0.96
