迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天津市,7.32,7.22,6.95,8.05,11.69,6.97,7.97,7.11,5.6,5.79,8.1,10.83,6.27,7.46,6.03,5.66,5.62,5.87,5.86,4.6,4.56,4.96,5.74,5.44,5.78,7.03,7.53,7.67,8.09,8.08,9.47,8.58,9.43,10.82,8.73,7.14,7.07,6.94,8.67,10.56,6.94,8.12,6.77,6.86,6.91,8.37,10.54,8.01,8.52
河北省,25.07,28.5,29.21,32.58,34.69,32.11,31.14,35.51,31.32,32.1,40.15,46.19,40.78,39.04,40.98,42.35,40.05,40.8,41.44,37.63,39.91,41.02,42.92,43.44,45.27,48.46,48.01,48.45,47.52,45.07,41.73,45.73,48.29,50.22,41.3,44.97,45.34,46.97,50.74,55.53,46.66,42.05,41.41,43.51,42.57,45.88,51.72,46.62,42.07
山西省,3.92,4.01,4.27,4.11,3.66,4.6,4.28,4.1,4.28,4.55,3.74,3.37,4.52,4.98,4.94,4.57,5.04,5.22,5.79,6.15,6.38,6.29,6.03,6.06,5.6,4.27,3.99,3.85,3.61,3.62,3.73,3.51,3.26,3.02,3.37,3.4,3.56,3.6,3.09,2.73,3.49,3.32,3.66,3.5,3.45,3.24,2.93,3.23,3.3
内蒙古自治区,3.09,3.03,2.63,2.82,2.49,2.76,2.61,2.78,2.66,2.58,2.68,2.34,2.48,2.49,2.55,2.77,2.75,2.86,2.83,3.03,3.09,3.17,2.88,2.61,2.44,2.6,2.68,2.78,2.5,2.93,2.82,2.6,2.77,2.31,2.81,2.79,2.98,3,2.75,2.47,3.04,2.91,2.98,2.88,3.04,2.85,2.28,2.58,2.75
辽宁省,2.47,2.76,2.47,2.36,2.34,2.61,2.55,2.62,2.23,2.84,2.68,2.36,3.11,2.96,3.03,3.37,3.28,3.37,3.64,4.04,4.15,4.21,4.08,3.88,3.23,3.16,3.32,3.34,3.32,3.51,3.51,2.86,2.82,2.57,2.99,2.87,2.87,3.1,2.77,2.3,3.05,2.96,3.25,3.06,3.19,3.01,2.64,3.28,3.16
吉林省,1.28,1.22,1.11,1.04,0.9,1.09,0.93,0.87,0.81,0.91,1,0.83,1.02,1.03,1.08,1.08,1.21,1.13,1.27,1.3,1.31,1.34,1.21,1.16,0.97,1.03,1.08,1.17,1.07,1.2,1.18,1.13,1.07,1.02,1.19,1.09,1.22,1.17,0.97,0.74,1.14,1.25,1.27,1.23,1.28,1.24,0.92,1.4,1.29
黑龙江省,1.62,1.67,1.45,1.34,1.13,1.39,1.08,1.13,1.1,1.03,1.1,1,1.29,1.11,0.99,1.16,1.33,1.33,1.16,1.34,1.31,1.31,1.28,1.1,1.08,1.1,1.23,1.31,1.37,1.59,1.38,1.23,1.21,1.19,1.39,1.16,1.42,1.39,1.22,0.87,1.52,1.61,1.52,1.65,1.7,1.58,1.17,1.82,1.68
上海市,2.59,2.52,2.44,1.94,1.58,1.29,1.78,1.59,1.23,1.31,1.34,1.2,0.96,1.19,1.04,1.1,1.05,0.84,0.67,0.56,0.53,0.51,0.5,0.46,0.44,0.69,0.76,0.92,1.13,1.69,2.4,2.02,1.64,1.66,2.91,2.8,2.56,2.3,1.93,1.7,2.03,2.9,2.74,2.69,2.96,2.51,1.97,1.86,2.86
