迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.25,1.13,1.19,1.01,1.05,0.9,0.98,0.91,0.94,1.03,1.16,1.17,1.15,1.16,1,1.03,0.93,0.94,0.98,0.8,0.81,0.84,0.77,0.57,0.35,0.24,0.35,0.45,0.49,0.76,1.24,1.03,1.22,1.3,1.61,1.39,1.41,1.33,1.59,1.1,1.5,1.78,1.88,1.98,2.02,1.99,1.85,2.02,2.01
天津市,0.3,0.35,0.3,0.37,0.3,0.32,0.28,0.3,0.32,0.3,0.33,0.37,0.39,0.24,0.28,0.3,0.27,0.38,0.33,0.31,0.3,0.3,0.27,0.19,0.08,0.08,0.09,0.12,0.13,0.22,0.26,0.26,0.26,0.28,0.35,0.31,0.33,0.29,0.4,0.25,0.38,0.42,0.47,0.57,0.49,0.63,0.53,0.68,0.6
河北省,0.7,0.63,0.54,0.59,0.53,0.66,0.56,0.63,0.78,0.75,0.89,0.91,1.07,1.14,1.07,1.31,1.2,1.17,1.25,1.27,1.12,0.94,0.95,0.79,0.48,0.18,0.18,0.18,0.24,0.38,0.49,0.43,0.51,0.57,0.75,0.77,0.83,0.76,1.09,0.65,1.03,1.02,1.25,1.39,1.43,1.66,1.33,1.55,1.4
山西省,0.79,0.71,0.77,0.63,0.63,0.75,0.66,0.67,0.75,0.82,0.68,0.72,0.79,0.85,1.04,0.83,1.02,0.91,1.05,1.08,1.07,1.06,0.99,0.98,0.53,0.28,0.22,0.29,0.3,0.36,0.52,0.36,0.6,0.6,0.74,0.64,0.76,0.83,0.73,0.59,1.56,1.09,1.51,1.64,1.76,1.86,1.65,1.91,1.4
内蒙古自治区,0.46,0.31,0.35,0.27,0.28,0.25,0.27,0.31,0.23,0.29,0.26,0.27,0.31,0.38,0.34,0.29,0.33,0.29,0.34,0.33,0.35,0.35,0.29,0.29,0.12,0.07,0.05,0.09,0.08,0.12,0.18,0.15,0.18,0.18,0.22,0.23,0.24,0.25,0.28,0.22,0.25,0.25,0.32,0.35,0.42,0.43,0.41,0.48,0.45
辽宁省,0.41,0.4,0.4,0.32,0.38,0.41,0.34,0.3,0.21,0.51,0.47,0.48,0.62,0.46,0.51,0.53,0.6,0.56,0.55,0.59,0.51,0.59,0.5,0.46,0.23,0.14,0.12,0.12,0.14,0.21,0.26,0.23,0.24,0.24,0.31,0.35,0.34,0.31,0.37,0.27,0.3,0.37,0.38,0.48,0.53,0.67,0.8,0.91,0.77
吉林省,0.28,0.17,0.18,0.18,0.13,0.14,0.13,0.1,0.1,0.13,0.15,0.14,0.19,0.18,0.1,0.15,0.19,0.17,0.16,0.19,0.16,0.16,0.19,0.12,0.06,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.1,0.09,0.1,0.1,0.15,0.15,0.18,0.21,0.28,0.32,0.29
黑龙江省,0.28,0.25,0.18,0.23,0.15,0.24,0.12,0.16,0.11,0.13,0.12,0.1,0.13,0.18,0.15,0.12,0.1,0.16,0.1,0.15,0.15,0.12,0.15,0.11,0.06,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.07,0.05,0.07,0.08,0.08,0.09,0.12,0.09,0.13,0.12,0.13,0.18,0.2,0.34,0.39,0.43,0.33
上海市,1.61,1.64,1.66,1.41,1.38,1.14,1.37,1.04,0.93,1.11,1.06,1.09,1.04,1.02,0.92,0.87,0.91,0.85,0.85,0.77,0.71,0.73,0.68,0.6,0.44,0.38,0.55,0.88,1.06,1.42,2.07,1.93,1.8,1.93,2.22,1.99,1.75,1.96,2.1,1.77,1.92,2.36,2.17,2.21,2.18,2.11,2.09,2.11,2.09
江苏省,2.11,2.04,2.11,2.01,1.73,1.83,1.93,1.99,2.17,2.43,1.91,1.75,1.85,1.81,1.52,1.71,1.82,1.9,1.83,1.82,1.7,1.63,1.63,1.17,0.71,0.55,0.88,1.09,1.49,1.93,3.03,2.81,2.89,3.01,3.47,3.44,3.32,3.6,3.7,2.74,3.54,4.1,3.79,3.89,3.79,3.64,3.29,3.55,2.88
浙江省,1.94,1.99,1.99,1.82,1.95,1.79,1.76,1.94,2.07,2.3,1.6,1.42,1.6,1.56,1.36,1.47,1.58,1.53,1.62,1.49,1.54,1.47,1.39,1.21,0.76,0.61,0.97,1.48,2.01,2.65,5.11,5.12,4.72,5.56,6.16,7.56,5.89,7.45,8.31,4.24,4.23,7.49,6.36,6.8,6.48,5.8,5.2,4.85,4.19
安徽省,1.22,1.1,1.02,1.02,0.91,1.02,0.96,0.97,1.19,1.18,1.11,0.98,1.28,1.18,1.09,1.22,1.17,1.24,1.2,1.17,1.07,1,1.06,0.91,0.47,0.28,0.42,0.48,0.53,1.18,1.24,0.62,0.88,0.85,0.96,0.86,0.83,0.88,0.83,0.55,0.82,0.88,0.93,0.96,0.99,0.99,0.9,0.92,0.78
福建省,1.16,1.24,1.24,1.23,1.13,1.11,1.27,1.21,1.38,1.76,1.18,1.05,1.16,1.27,1.19,1.29,1.32,1.3,1.42,1.28,1.37,1.27,1.21,1.04,0.55,0.45,0.58,0.78,0.99,1.12,2.48,2.01,1.9,2.46,2.71,3,2.48,3.22,3.35,1.8,1.89,3.65,2.98,3.1,3.29,2.96,2.68,2.58,2.24
江西省,1.11,0.9,1.02,1.02,0.82,1.09,0.95,1.16,1.55,1.46,1.05,0.89,1.07,1.19,1.12,1.11,1.24,1.36,1.23,1.28,1.2,1.22,1.09,0.92,0.39,0.29,0.39,0.47,0.5,0.57,0.82,0.52,0.67,0.71,0.81,0.74,0.7,0.87,0.84,0.59,0.7,0.97,0.91,0.85,0.88,0.87,0.77,0.83,0.73
山东省,1.54,1.61,1.34,1.31,1.24,1.41,1.39,1.37,1.45,1.59,1.37,1.57,1.8,1.64,1.35,1.54,1.46,1.56,1.5,1.55,1.43,1.31,1.21,0.97,0.55,0.32,0.33,0.37,0.4,0.54,0.79,0.67,0.86,0.91,1.16,1.01,1.22,1.17,1.61,1.13,1.87,1.91,2.02,2.81,2.91,3.03,2.53,2.88,2.17
河南省,2.99,2.62,2.77,2.63,2.55,2.7,2.61,2.71,3.41,3.25,2.68,2.61,3.02,3.03,2.82,3.05,3.31,2.93,2.96,3.16,3.05,2.72,2.47,2.4,1.32,0.82,0.88,0.87,0.94,1.38,1.56,1,1.5,1.38,1.76,1.53,1.87,2.23,1.79,1.32,2.37,1.86,2.4,2.59,2.48,2.57,2.34,2.73,2.2
湖北省,2.5,2.38,2.5,2.29,2.47,2.39,2.24,2.71,3.04,2.82,2.41,2.13,2.41,2.63,2.73,2.69,2.89,2.74,3.2,3.13,2.72,2.76,2.63,2.64,1.66,1.37,1.63,2.13,3.87,3.79,2.52,2.4,2.62,3.3,2.55,2.96,3.14,2.44,2.46,4.25,3.79,2.66,3.1,2.33,2.18,2.14,2.12,2.07,1.95
湖南省,1.72,1.8,1.66,1.64,1.54,1.68,1.61,1.78,2.12,1.98,1.68,1.45,1.79,1.89,1.81,1.91,1.89,2.14,2.03,2.23,2.07,1.82,1.73,2.32,1.24,0.93,1.29,1.5,1.53,2.42,2.15,1.33,1.88,1.61,1.76,1.45,1.92,1.99,1.57,1.28,2.08,1.58,1.87,1.8,1.68,1.8,1.53,1.62,1.32
广东省,4.9,4.84,4.96,4.92,4.47,4.72,4.57,4.31,4.36,4.53,4.12,3.69,4.38,3.71,3.58,3.7,3.43,3.48,3.33,3.46,3.17,3,3.49,3.02,2.38,2.01,3.55,5.66,7.66,9.63,15.33,19.05,16.33,18.53,19.09,17.48,15.02,17.39,15.92,9.32,12.05,16.78,13.01,14.89,13.42,13.1,11.18,11.74,9.81
广西壮族自治区,1.26,1.29,1.23,1.23,1.11,1.28,1.12,1.18,1.3,1.15,1.15,1.01,1.17,1.06,1.11,1.28,1.07,1.14,0.99,1.15,1.13,1.03,1.09,0.9,0.88,0.91,1.13,1.28,1.82,2.92,3.16,1.48,2.75,2.31,2.43,1.62,2.18,2.59,1.47,1.22,2.9,1.62,2.99,2.4,2.63,2.4,1.85,2.15,1.62
