迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.74,0.76,0.79,0.83,0.84,0.79,0.84,0.73,0.82,0.8,0.88,0.89,0.78,0.9,0.94,0.86,0.9,0.99,0.95,0.86,0.85,0.94,1.08,1.14,0.91,0.45,0.59,0.72,0.98,1.31,1.73,1.38,1.52,1.58,1.91,1.71,1.88,1.91,2.05,1.63,2.39,2.17,2.31,2.22,2.22,2.14,2.03,1.98,1.92
天津市,0.36,0.32,0.33,0.34,0.33,0.35,0.29,0.3,0.33,0.38,0.34,0.3,0.36,0.33,0.32,0.33,0.31,0.33,0.34,0.35,0.33,0.32,0.36,0.27,0.17,0.11,0.22,0.32,0.38,0.55,0.81,0.57,0.69,0.8,0.84,0.71,0.82,0.69,0.64,0.51,1.07,0.81,0.97,0.94,1.04,0.93,0.94,0.87,0.83
河北省,0.74,0.72,0.72,0.71,0.66,0.7,0.61,0.79,0.85,0.89,0.97,0.96,0.98,1.02,1.11,1.22,1.16,1.34,1.31,1.31,1.21,1.25,1.28,1.21,0.66,0.31,0.39,0.5,0.6,0.78,1.04,0.69,0.92,1.1,1.2,1.31,1.53,1.4,1.62,1.13,1.73,1.38,1.55,1.62,1.65,1.51,1.46,1.53,1.38
山西省,0.59,0.52,0.58,0.49,0.51,0.49,0.43,0.54,0.56,0.53,0.56,0.58,0.59,0.6,0.71,0.67,0.66,0.61,0.64,0.55,0.59,0.62,0.58,0.56,0.29,0.22,0.24,0.29,0.3,0.33,0.41,0.32,0.36,0.41,0.43,0.48,0.57,0.4,0.52,0.47,0.68,0.52,0.59,0.66,0.72,0.68,0.76,0.85,0.64
内蒙古自治区,0.19,0.24,0.2,0.16,0.14,0.21,0.15,0.16,0.16,0.16,0.15,0.18,0.17,0.17,0.23,0.16,0.16,0.2,0.17,0.15,0.16,0.16,0.17,0.13,0.07,0.04,0.06,0.08,0.1,0.14,0.14,0.11,0.18,0.16,0.18,0.15,0.21,0.18,0.25,0.17,0.22,0.18,0.23,0.21,0.22,0.2,0.21,0.22,0.23
辽宁省,0.28,0.24,0.29,0.26,0.31,0.29,0.24,0.25,0.24,0.43,0.43,0.41,0.47,0.41,0.45,0.48,0.41,0.43,0.45,0.39,0.38,0.41,0.37,0.36,0.19,0.05,0.13,0.19,0.23,0.33,0.29,0.21,0.31,0.32,0.39,0.37,0.5,0.49,0.58,0.27,0.44,0.37,0.51,0.49,0.68,0.78,0.95,1.15,0.8
吉林省,0.2,0.17,0.16,0.1,0.14,0.11,0.11,0.11,0.08,0.11,0.14,0.11,0.13,0.12,0.09,0.13,0.12,0.13,0.13,0.17,0.14,0.1,0.11,0.09,0.06,0.01,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.11,0.11,0.15,0.1,0.09,0.14,0.19,0.21,0.27,0.32,0.37,0.4,0.27
黑龙江省,0.2,0.21,0.14,0.14,0.09,0.16,0.06,0.11,0.08,0.11,0.1,0.12,0.12,0.07,0.1,0.13,0.09,0.11,0.09,0.12,0.11,0.09,0.1,0.07,0.05,0.01,0.02,0.03,0.03,0.05,0.04,0.05,0.05,0.06,0.08,0.08,0.09,0.12,0.13,0.09,0.08,0.1,0.12,0.2,0.26,0.38,0.4,0.38,0.25
上海市,8.02,7.88,7.46,7.5,6.68,6.26,7.02,5.91,5.43,5.03,4.92,4.81,5.03,5.37,4.79,4.41,4.64,4.47,4.36,4.41,4.55,4.39,4.55,4.21,3.21,3.07,5.4,8.1,11.44,15.49,16.98,15.44,13.58,12.91,13.39,11.62,10.94,10.4,9.64,9.11,10.36,11.11,10.03,9.76,9.56,9.3,8.46,8.57,10.4
