迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,3,2.77,2.62,2.68,2.9,2.73,3.28,2.44,2.53,2.51,2.82,2.95,3.13,2.98,2.83,2.64,2.76,2.83,2.81,2.69,2.84,2.95,2.93,2.64,2.25,2.05,3.7,4.83,6.89,8.8,11.34,9.09,8.26,8.62,9.01,7.3,7.11,6.53,5.77,6.93,8.33,9.14,8.2,7.55,6.68,6.26,5.77,5.95,6.73
天津市,2.86,2.8,3.22,3.04,3.17,3.17,3.1,2.46,2.97,2.84,2.98,3.16,2.93,2.92,2.83,2.9,2.9,2.88,2.82,2.66,2.57,2.53,2.28,1.8,1.94,2.6,4.58,5.07,6.4,7.41,7.22,6.69,6.57,6,5.4,4.95,4.81,4.3,3.6,6.46,6.14,5.01,5.9,5.44,4.73,4.71,4.57,4.48,4.99
河北省,9.22,9.86,10.29,10.77,11.22,11.82,11.59,12.78,12.27,12.04,14.05,14.99,15.1,15.48,16.11,16.17,16.35,16.97,17.8,17.55,17.98,18.84,18.63,20.24,17.66,15.59,15.12,14.64,13.16,11.94,10.38,11.9,12.65,12.34,12.62,14.34,14.78,15.61,16.53,16.06,13.28,12.45,14.01,14.13,14.76,15.33,14.99,15.06,15.25
山西省,3.09,3.05,3.2,3.21,3.36,3.48,3.47,2.8,3.86,3.47,3.82,3.88,3.59,3.96,3.83,3.78,3.67,3.66,3.4,3.32,3.45,2.84,2.5,2.08,1.79,1.47,1.61,1.85,1.88,2.23,2.57,2.29,2.47,2.29,2.35,2.55,2.59,2.04,2.3,2.57,2.8,2.42,2.65,2.84,2.73,2.74,2.92,3.04,2.77
内蒙古自治区,1.2,1.16,1.26,1.23,1.22,1.17,1.13,0.97,0.95,1.08,1.24,1.18,1.24,1.23,1.12,1.24,1.12,1.15,1.12,1.18,1.15,1.15,1.07,0.78,0.69,0.5,0.65,0.87,0.86,1.1,1.43,1.19,1.3,1.39,1.15,1.09,1.23,1.31,1.25,1.11,1.51,1.28,1.25,1.4,1.26,1.14,1.09,1.14,1.19
辽宁省,1.88,2.07,1.98,1.99,2.43,2.37,2.22,2.17,1.91,2.5,2.69,2.84,2.67,2.78,2.87,2.95,3.07,2.98,3.37,3.2,3.32,3.3,3.08,2.43,1.73,1.07,1.52,1.55,1.71,1.82,2.18,1.78,1.91,1.99,2.04,2.2,2.42,2.59,2.42,2.04,2.37,2.2,2.34,2.5,2.67,2.88,3.23,3.58,3.12
吉林省,1.25,1.14,1.02,0.9,0.99,0.86,0.83,0.72,0.63,0.7,0.87,0.85,1.05,0.92,0.84,1.02,0.97,0.96,1.08,1.2,1.16,1.1,1.1,0.99,0.7,0.4,0.51,0.54,0.5,0.53,0.49,0.53,0.53,0.58,0.58,0.67,0.81,0.83,0.91,0.64,0.78,0.91,0.92,1.06,1.13,1.25,1.32,1.41,1.32
黑龙江省,1.9,1.6,1.43,1.19,1.17,1.05,1.03,1,0.66,0.94,0.96,1.18,1.05,0.97,1.04,1.11,1.14,1.06,1.19,1.25,1.16,1.28,1.38,1.1,0.9,0.5,0.57,0.54,0.71,0.6,0.61,0.61,0.71,0.63,0.78,0.86,0.96,1.08,1.05,0.89,0.8,1,1,1.31,1.6,1.66,1.79,1.74,1.62
上海市,3.21,3.21,3.09,2.68,2.82,2.22,2.54,2.14,1.7,2.08,2.05,2.09,1.98,1.92,1.74,1.67,1.68,1.65,1.6,1.62,1.62,1.5,1.38,1.28,1.15,1.28,2.15,3.36,4.54,5.79,6.98,5.98,5.25,5.55,5.74,4.52,4.24,4.21,3.83,3.6,4.87,5.12,4.55,4.13,3.94,3.55,3.54,3.27,3.76
江苏省,23.17,23.2,23.63,24.23,23.7,23.57,23.86,23.87,22.95,23.43,23.2,23.46,22.17,22.18,21.85,21.79,21.52,21.48,21.3,21.1,20.89,21.36,21.38,20.35,22.96,29.75,26.17,25.12,23.33,23.44,20.62,21.59,21.62,20.47,20.03,19.53,19.13,18.99,19.11,20.09,19.08,19.58,18.26,18.52,18.84,19.12,19.93,18.72,19.31
浙江省,4.06,4.1,3.95,3.89,3.85,3.83,4.04,4.08,4.13,4.42,3.15,2.89,3.2,2.89,2.8,2.7,2.71,2.63,2.34,2.61,2.31,2.28,2.2,2.35,1.93,1.99,3.25,3.81,4.23,4.42,5.39,5.61,5.91,6.88,6.71,6.26,6.3,6.42,5.28,3.86,6.17,6,5.9,6.07,5.64,5.36,5.06,4.87,4.52
