迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,3.16,3.26,3.04,2.72,2.54,3.14,4.15,2.69,2.72,2.78,2.6,2.86,3.2,3.1,2.88,2.88,3.02,2.89,3.1,3.35,3.96,3.97,4.12,3.41,3.06,2.7,3.63,5.08,8.18,11.85,14.83,13.12,11.77,12.19,12.63,10.1,9.53,9.7,7.61,7.95,9.21,10.74,9.48,9.37,8.71,7.99,6.98,6.68,7.89
天津市,2.51,2.42,2.4,2.28,2.23,2.45,2.33,1.74,1.98,2.26,2.55,2.31,2.2,2.25,2.07,2.25,2.14,2.12,2.07,2.15,1.82,1.79,1.69,1.43,1.22,1.26,1.69,2.33,2.81,3.87,4.18,3.79,3.65,3.79,3.17,2.92,2.84,2.88,2.55,2.54,2.92,2.82,3.53,3.56,3.09,2.92,3.05,3.33,3.23
河北省,10.11,10.32,10.91,12.7,13.69,13.45,15.19,14.52,13.99,13.89,17.39,17.88,16.95,17.67,18.13,17.9,17.66,16.94,18.07,16.98,17.03,17.02,16.2,15.31,11.74,10.87,10.48,10.56,9.96,9.5,8.85,10.3,10.6,10.95,11.52,12.82,13.61,15.16,13.12,12.51,12.01,11.29,14.69,15.48,16.28,16.57,14.8,15.53,16.12
山西省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
内蒙古自治区,10.74,9.17,9.75,9.66,9.54,9.48,10.11,9.62,8.91,7.91,10.43,9.81,8.91,9.75,9.33,9.34,8.29,8.52,8.51,8.25,8.48,8.75,8.56,8.95,10.27,17.65,19.93,14.33,9.88,13.53,9.82,9.95,9.48,8.42,7.84,8.35,8,9.23,7.33,9.4,7.76,6.96,8.13,8.24,7.85,7.62,7.45,7.35,7.86
辽宁省,0.59,0.58,0.58,0.71,0.63,0.61,0.74,0.55,0.62,0.99,0.78,0.82,0.75,0.87,0.81,0.81,0.97,0.95,0.97,1.06,1.08,1.15,0.8,0.83,0.53,0.38,0.45,0.42,0.58,0.43,0.58,0.5,0.55,0.6,0.67,0.77,0.73,0.96,0.64,0.54,0.69,0.73,0.73,0.87,1.17,1.49,1.92,2.32,1.82
吉林省,0.3,0.28,0.19,0.21,0.14,0.15,0.24,0.22,0.14,0.17,0.15,0.14,0.23,0.21,0.14,0.15,0.14,0.17,0.3,0.23,0.29,0.25,0.25,0.24,0.09,0.09,0.08,0.13,0.12,0.12,0.14,0.13,0.15,0.17,0.16,0.23,0.27,0.29,0.31,0.23,0.23,0.43,0.45,0.44,0.51,0.62,0.77,1,0.69
黑龙江省,0.3,0.25,0.3,0.23,0.29,0.2,0.18,0.21,0.15,0.17,0.14,0.09,0.26,0.24,0.23,0.17,0.17,0.16,0.17,0.17,0.24,0.22,0.2,0.21,0.1,0.1,0.07,0.13,0.09,0.08,0.09,0.08,0.13,0.13,0.17,0.16,0.21,0.24,0.24,0.15,0.19,0.22,0.17,0.46,0.56,0.96,1.09,0.92,0.57
上海市,0.99,1.1,1.03,0.91,0.8,0.83,0.94,0.63,0.65,0.7,0.54,0.57,0.91,0.61,0.55,0.6,0.64,0.69,0.67,0.72,0.72,0.67,0.8,0.73,0.71,0.63,0.78,1.15,1.77,2.34,2.59,2.52,2.26,2.27,2.21,1.89,1.96,1.98,2.07,1.94,2.12,2.28,1.69,1.72,1.73,1.73,1.53,1.49,1.45
