迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.52,0.52,0.47,0.49,0.54,0.37,0.38,0.22,0.17,0.26,0.51,0.59,0.4,0.31,0.25,0.26,0.24,0.25,0.29,0.22,0.28,0.35,0.38,0.34,0.38,0.26,0.4,0.5,0.7,1.15,1.59,1.59,1.67,1.76,1.97,1.8,1.8,1.82,1.67,1.85,1.78,2.1,2,1.93,1.94,1.89,1.8,1.79,1.94
天津市,0.16,0.18,0.18,0.16,0.16,0.14,0.13,0.08,0.07,0.1,0.22,0.19,0.12,0.11,0.09,0.1,0.08,0.09,0.08,0.08,0.1,0.13,0.14,0.12,0.14,0.08,0.14,0.16,0.21,0.21,0.29,0.35,0.35,0.41,0.45,0.39,0.43,0.41,0.4,0.37,0.39,0.48,0.49,0.51,0.55,0.53,0.51,0.56,0.53
河北省,0.3,0.34,0.28,0.33,0.3,0.3,0.25,0.22,0.18,0.25,0.47,0.52,0.47,0.36,0.32,0.34,0.33,0.33,0.29,0.28,0.31,0.36,0.39,0.37,0.46,0.29,0.3,0.28,0.38,0.44,0.54,0.63,0.66,0.73,0.81,0.81,0.8,0.89,1,0.82,0.87,0.96,1.06,1.03,1.06,1.03,0.93,1.18,1.16
山西省,0.37,0.35,0.3,0.3,0.28,0.26,0.26,0.21,0.16,0.22,0.4,0.37,0.35,0.32,0.21,0.26,0.26,0.27,0.21,0.24,0.27,0.31,0.36,0.4,0.49,0.26,0.25,0.3,0.28,0.37,0.46,0.44,0.43,0.48,0.57,0.51,0.49,0.46,0.5,0.54,0.58,0.57,0.69,0.74,0.63,0.6,0.58,0.65,0.65
内蒙古自治区,0.15,0.16,0.17,0.13,0.12,0.14,0.1,0.08,0.06,0.08,0.15,0.12,0.11,0.1,0.08,0.08,0.09,0.08,0.08,0.07,0.1,0.11,0.13,0.14,0.23,0.19,0.19,0.18,0.18,0.19,0.23,0.25,0.25,0.28,0.3,0.27,0.24,0.28,0.28,0.27,0.27,0.27,0.25,0.3,0.31,0.27,0.23,0.27,0.31
辽宁省,0.3,0.29,0.29,0.28,0.25,0.26,0.24,0.13,0.09,0.21,0.41,0.41,0.33,0.26,0.26,0.25,0.25,0.26,0.24,0.25,0.26,0.31,0.38,0.36,0.4,0.3,0.35,0.36,0.38,0.52,0.61,0.67,0.64,0.67,0.72,0.66,0.72,0.64,0.67,0.6,0.64,0.63,0.74,0.77,0.79,0.85,0.84,0.96,0.9
吉林省,0.2,0.18,0.18,0.16,0.13,0.12,0.12,0.07,0.05,0.07,0.16,0.16,0.13,0.09,0.08,0.1,0.09,0.1,0.08,0.08,0.09,0.11,0.12,0.13,0.2,0.15,0.13,0.2,0.18,0.21,0.28,0.32,0.28,0.34,0.31,0.31,0.35,0.31,0.3,0.29,0.36,0.41,0.42,0.43,0.4,0.42,0.39,0.42,0.42
黑龙江省,0.28,0.27,0.23,0.18,0.14,0.15,0.11,0.09,0.06,0.1,0.17,0.17,0.15,0.09,0.1,0.09,0.08,0.09,0.07,0.08,0.09,0.11,0.13,0.13,0.2,0.19,0.24,0.26,0.29,0.34,0.35,0.38,0.38,0.49,0.43,0.44,0.48,0.44,0.4,0.39,0.51,0.54,0.51,0.51,0.63,0.64,0.57,0.67,0.57
上海市,1.31,1.34,1.23,1.18,1.03,0.67,0.73,0.43,0.29,0.41,0.72,0.76,0.54,0.43,0.34,0.33,0.35,0.34,0.34,0.25,0.32,0.37,0.45,0.46,0.38,0.38,0.56,0.78,1.36,1.88,2.38,2.48,2.41,2.51,3.03,2.67,2.54,2.55,2.39,2.69,2.45,2.99,2.85,3.03,3.12,3.3,3.06,2.89,3.05
江苏省,1.65,1.69,1.54,1.49,1.39,1.23,1.28,0.96,0.84,1.14,1.45,1.42,1.11,0.95,0.72,0.87,0.79,0.84,0.77,0.73,0.83,0.84,0.99,0.94,0.89,0.73,0.83,1.17,1.41,1.84,2.59,2.85,3.02,3.19,3.25,3.02,3.11,3.05,3.2,3.4,3.67,3.88,3.81,3.86,3.99,3.87,3.67,3.67,3.89
浙江省,1.71,1.72,1.63,1.5,1.45,1.28,1.38,1.1,1.04,1.18,1.31,1.21,0.95,0.84,0.7,0.71,0.71,0.67,0.65,0.63,0.7,0.8,0.87,0.91,0.93,0.74,0.96,1.28,1.73,2.42,3.48,3.6,3.92,3.9,4.36,4.17,3.95,4.03,3.73,3.62,4.2,4.67,4.81,4.88,5.14,4.93,4.59,4.78,4.83
安徽省,1.63,1.54,1.65,1.67,1.6,1.49,1.53,1.45,1.35,1.72,2.14,1.97,1.97,1.76,1.62,1.8,1.68,1.64,1.44,1.48,1.59,1.61,1.71,1.58,1.71,1.19,1.39,1.32,1.51,1.62,1.82,1.74,1.88,1.97,1.88,1.75,1.69,1.58,1.58,1.36,1.61,1.81,1.81,1.94,1.92,1.96,1.68,1.79,1.76
