迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.47,0.46,0.48,0.53,0.47,0.39,0.39,0.38,0.29,0.4,0.53,0.48,0.66,0.48,0.47,0.47,0.47,0.48,0.6,0.54,0.47,0.47,0.44,0.48,0.33,0.21,0.14,0.16,0.19,0.2,0.24,0.19,0.2,0.22,0.23,0.28,0.32,0.37,0.5,0.46,0.31,0.37,0.4,0.42,0.47,0.57,0.59,0.61,0.54
天津市,0.31,0.21,0.25,0.18,0.16,0.14,0.19,0.16,0.17,0.21,0.25,0.2,0.15,0.2,0.23,0.16,0.2,0.25,0.16,0.19,0.15,0.2,0.22,0.14,0.13,0.03,0.02,0.05,0.05,0.04,0.06,0.04,0.04,0.05,0.06,0.08,0.08,0.08,0.11,0.09,0.06,0.07,0.14,0.14,0.16,0.16,0.31,0.28,0.25
河北省,0.87,0.87,0.85,0.79,0.75,0.9,0.69,0.79,0.67,0.85,1.05,1.31,1.09,1.29,1.23,1.28,1.29,1.37,1.2,1.38,1.25,1.18,1.03,0.86,0.66,0.2,0.11,0.11,0.13,0.11,0.1,0.11,0.1,0.13,0.15,0.22,0.29,0.36,0.5,0.31,0.21,0.25,0.31,0.34,0.41,0.39,0.39,0.51,0.5
山西省,0.56,0.42,0.48,0.39,0.43,0.46,0.35,0.36,0.32,0.43,0.47,0.47,0.43,0.52,0.43,0.49,0.39,0.56,0.52,0.54,0.38,0.45,0.44,0.44,0.25,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.08,0.12,0.08,0.15,0.11,0.11,0.1,0.13,0.17,0.18,0.21,0.22,0.3,0.27
内蒙古自治区,0.25,0.18,0.21,0.18,0.17,0.2,0.16,0.12,0.19,0.13,0.23,0.2,0.32,0.25,0.19,0.27,0.24,0.23,0.19,0.2,0.18,0.16,0.13,0.19,0.08,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.04,0.03,0.05,0.08,0.1,0.05,0.05,0.08,0.06,0.06,0.06,0.07,0.08,0.09
辽宁省,0.48,0.45,0.41,0.47,0.51,0.37,0.45,0.33,0.19,0.48,0.57,0.62,0.6,0.68,0.71,0.69,0.55,0.67,0.66,0.7,0.53,0.46,0.67,0.42,0.48,0.08,0.15,0.07,0.06,0.07,0.06,0.07,0.05,0.08,0.07,0.1,0.12,0.15,0.18,0.14,0.11,0.09,0.15,0.21,0.29,0.52,0.73,0.91,0.7
吉林省,0.31,0.3,0.23,0.33,0.21,0.17,0.23,0.2,0.13,0.14,0.21,0.16,0.21,0.2,0.2,0.17,0.19,0.19,0.15,0.23,0.22,0.15,0.15,0.16,0.09,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.03,0.03,0.04,0.08,0.09,0.06,0.04,0.09,0.11,0.11,0.16,0.21,0.26,0.37,0.28
黑龙江省,0.35,0.26,0.3,0.27,0.24,0.15,0.27,0.14,0.1,0.11,0.13,0.21,0.18,0.15,0.14,0.22,0.2,0.16,0.15,0.17,0.15,0.19,0.13,0.14,0.07,0.04,0.04,0.02,0.03,0.03,0.04,0.03,0.04,0.03,0.06,0.07,0.06,0.12,0.13,0.13,0.08,0.09,0.12,0.18,0.26,0.44,0.52,0.54,0.42
上海市,0.88,0.98,1,1.08,0.91,0.89,0.87,0.8,0.6,0.73,0.74,0.71,0.92,0.56,0.56,0.61,0.58,0.65,0.59,0.51,0.57,0.7,0.63,0.54,0.29,0.37,0.31,0.38,0.35,0.49,0.43,0.42,0.36,0.42,0.48,0.48,0.58,0.73,1.28,1.27,0.88,0.7,0.77,0.84,0.97,1.1,1.07,1.01,1.09
江苏省,1.69,1.51,1.53,1.55,1.48,1.52,1.64,1.51,1.82,1.93,1.65,1.53,1.6,1.68,1.34,1.68,1.74,1.74,1.96,1.68,1.58,1.61,1.63,1.4,0.79,0.35,0.39,0.34,0.36,0.37,0.45,0.5,0.46,0.52,0.54,0.62,0.77,1,1.57,1.64,1.35,1.34,1.16,1.11,1.21,1.3,1.44,1.51,1.48
浙江省,1.78,1.68,1.81,1.64,1.58,1.54,1.71,1.62,2.07,2.16,1.68,1.45,1.56,1.5,1.41,1.48,1.58,1.6,1.56,1.53,1.8,1.69,1.61,1.54,0.9,0.4,0.57,0.5,0.71,0.73,1,0.92,0.95,1.14,1.4,1.52,1.92,2.33,2.48,1.65,1.94,2,2.37,2.47,2.56,2.59,2.5,2.41,2.34
安徽省,1.39,1.2,1.41,1.29,1.44,1.19,1.39,1.39,1.62,1.51,1.72,1.57,1.76,1.83,1.82,1.84,2.19,1.77,1.62,1.56,1.69,1.61,1.37,1.45,0.65,0.32,0.29,0.3,0.23,0.2,0.21,0.17,0.17,0.18,0.19,0.24,0.24,0.29,0.41,0.25,0.21,0.23,0.34,0.42,0.46,0.6,0.62,0.7,0.61
福建省,1.87,1.72,1.88,1.84,1.95,2.35,1.98,2.52,3.33,3.26,2.1,1.96,2.28,2.48,2.97,2.87,3.35,3.33,3.38,3.7,3.39,3.3,2.83,2.46,1.28,0.53,0.6,0.59,0.54,0.53,0.56,0.48,0.56,0.58,0.73,0.7,0.96,1.06,1.12,0.84,1.03,0.86,1.1,1.07,1.23,1.33,1.32,1.18,1.4
江西省,2.38,2.59,2.29,2.54,2.32,2.71,2.45,3.01,3.84,3.4,2.68,2.65,2.91,3.19,3.09,3.52,3.55,3.68,3.51,3.89,3.85,3.85,3.96,3.92,2.17,1.39,1.34,0.96,0.88,0.88,0.8,0.54,0.52,0.59,0.67,0.78,0.94,1.05,1.14,1.02,1.09,0.99,1.05,1.18,1.21,1.49,1.34,1.46,1.34
山东省,1.82,1.81,1.69,1.51,1.77,1.39,1.37,1.35,1.39,1.3,1.71,1.69,1.7,1.84,1.6,1.73,1.82,1.52,1.56,1.57,1.58,1.45,1.32,1.01,0.64,0.28,0.25,0.17,0.15,0.15,0.21,0.16,0.18,0.19,0.26,0.32,0.43,0.5,0.69,0.75,0.61,0.63,0.61,0.66,0.7,0.76,0.85,0.95,0.97
河南省,3.12,2.72,2.94,2.87,2.98,2.7,2.97,3.06,2.98,2.79,3.14,3.31,3.18,3.45,3.18,3.29,3.46,2.99,3.12,3.1,3.03,2.99,2.71,2.67,1.59,0.63,0.51,0.49,0.42,0.36,0.36,0.27,0.28,0.3,0.38,0.45,0.55,0.7,0.9,0.74,0.6,0.55,0.64,0.72,0.88,0.94,1,1.17,1.08
