迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.57,0.61,0.57,0.61,0.61,0.51,0.54,0.45,0.38,0.46,0.67,0.66,0.62,0.54,0.49,0.57,0.53,0.55,0.54,0.43,0.5,0.52,0.48,0.34,0.27,0.25,0.41,0.57,0.74,1.19,1.78,1.4,1.43,1.61,1.84,1.69,1.82,1.77,1.61,1.42,2.28,1.94,2.21,2.02,1.97,1.72,1.51,1.47,1.47
天津市,0.37,0.39,0.42,0.39,0.41,0.39,0.3,0.24,0.27,0.3,0.34,0.38,0.32,0.28,0.28,0.29,0.31,0.3,0.34,0.29,0.32,0.27,0.24,0.19,0.13,0.13,0.2,0.23,0.34,0.45,0.6,0.53,0.66,0.74,0.66,0.7,0.76,0.7,0.61,0.64,1,0.77,0.92,0.86,0.86,0.81,0.72,0.71,0.67
河北省,0.71,0.88,0.83,0.9,0.85,0.97,0.73,0.84,0.82,1.05,1.59,1.35,1.29,1.13,1.23,1.24,1.19,1.33,1.24,1.27,1.24,1.2,1.13,1.02,0.79,0.43,0.52,0.57,0.63,0.86,1.04,1.01,1.33,1.39,1.36,1.57,1.85,1.67,1.62,1.37,2.16,1.6,2.04,2,2.01,1.75,1.57,1.76,1.49
山西省,1.07,1.01,1.08,1.08,0.97,1,0.78,0.84,0.92,0.93,1.1,1.04,1.16,1.15,1.34,1.33,1.19,1.12,1.3,1.44,1.32,1.22,1.08,1.1,0.75,0.4,0.43,0.45,0.51,0.58,0.88,0.75,0.87,0.9,0.86,0.93,1.07,0.79,0.89,0.72,1.16,0.9,1.18,1.26,1.11,0.98,0.98,1.04,0.85
内蒙古自治区,0.28,0.27,0.26,0.25,0.25,0.26,0.19,0.17,0.17,0.17,0.19,0.22,0.25,0.2,0.22,0.19,0.2,0.23,0.21,0.21,0.2,0.19,0.18,0.12,0.12,0.07,0.09,0.13,0.12,0.16,0.19,0.22,0.27,0.33,0.3,0.3,0.33,0.36,0.32,0.23,0.34,0.29,0.39,0.4,0.34,0.31,0.26,0.31,0.29
辽宁省,0.41,0.49,0.46,0.48,0.51,0.5,0.46,0.38,0.38,0.54,0.63,0.68,0.66,0.59,0.66,0.67,0.69,0.68,0.7,0.68,0.72,0.68,0.61,0.5,0.34,0.24,0.3,0.33,0.42,0.49,0.55,0.53,0.61,0.68,0.66,0.63,0.74,0.79,0.68,0.5,0.8,0.64,0.83,0.87,0.89,0.89,0.85,1.05,0.81
吉林省,0.31,0.29,0.28,0.28,0.26,0.25,0.18,0.16,0.15,0.16,0.23,0.27,0.23,0.21,0.19,0.21,0.22,0.21,0.2,0.2,0.21,0.19,0.19,0.12,0.11,0.07,0.13,0.14,0.15,0.16,0.14,0.14,0.18,0.17,0.2,0.19,0.22,0.27,0.26,0.21,0.25,0.31,0.36,0.37,0.41,0.4,0.42,0.53,0.39
黑龙江省,0.39,0.37,0.29,0.29,0.27,0.25,0.18,0.17,0.14,0.19,0.23,0.26,0.23,0.17,0.18,0.26,0.22,0.18,0.17,0.17,0.21,0.19,0.17,0.11,0.13,0.08,0.1,0.12,0.14,0.16,0.15,0.18,0.17,0.19,0.22,0.22,0.23,0.27,0.27,0.2,0.27,0.27,0.35,0.38,0.43,0.46,0.4,0.42,0.42
上海市,21.79,20.99,21.27,20.1,17.47,16.8,25.28,15.66,11.63,13.26,18.41,17.99,15.97,22.76,16.6,15.85,16.98,15.6,12.26,13.36,13.23,11.28,11.06,10.01,14.03,16.71,21.3,24.39,28.42,33.02,37.07,31.68,27.78,26.92,31.71,25.61,24.23,24.91,24.68,25.27,24.03,32.15,24.05,23.16,24.52,24.84,23.18,23.85,32.32
江苏省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江省,11.87,11.63,11.09,11.26,11.34,10.86,11.66,11.11,9.39,8.68,9.29,9.49,8.42,8.24,8.17,8.13,7.57,7.26,6.72,6.08,6.45,6.27,6.17,6.62,8.46,9.4,10.98,11.43,11.72,12.15,13.17,14.51,15.12,15.5,15.28,16.37,16.39,15.65,14.3,15.06,15.12,15.3,16.28,16.29,15.85,15.7,15.61,14.91,14.82
安徽省,21.9,23.03,22.98,24.06,27.13,26.95,24.31,28.79,33.32,31.66,28.21,30.4,30.62,27.5,29.11,29.79,29.35,31.48,33.72,33.03,34.94,38.68,42.37,44.87,43.21,44.26,37.98,33.7,29.69,23.97,18.46,20.74,20.35,20.36,17.33,18.96,18,19.24,21.63,22.3,16.92,16.27,17.31,18.14,18.29,19.82,22.95,20.74,17.84
福建省,1.29,1.37,1.31,1.26,1.38,1.46,1.33,1.47,2,1.73,1.29,1.06,1.21,1.07,1.13,1.3,1.32,1.42,1.44,1.4,1.36,1.34,1.42,1.42,0.96,0.71,0.82,0.8,0.75,0.83,0.89,1,1.08,1.19,1.11,1.19,1.25,1.24,1.17,0.88,1.18,1.1,1.19,1.22,1.23,1.19,1.02,1.1,1.1
