迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.56,0.75,0.67,0.72,0.7,0.63,0.55,0.5,0.41,0.58,0.7,0.7,0.76,0.87,0.67,0.74,0.71,0.76,0.77,0.77,0.67,0.76,0.71,0.71,0.41,0.28,0.31,0.41,0.6,0.77,0.72,0.68,0.63,0.71,0.8,0.81,0.93,1,1.1,0.67,1.04,0.91,0.98,1.2,1.04,1.08,1.11,1.14,1.19
天津市,0.26,0.31,0.29,0.31,0.26,0.26,0.22,0.19,0.23,0.25,0.26,0.22,0.3,0.23,0.32,0.25,0.21,0.28,0.27,0.29,0.31,0.27,0.24,0.12,0.13,0.06,0.07,0.12,0.16,0.19,0.21,0.16,0.19,0.23,0.24,0.17,0.28,0.27,0.33,0.14,0.25,0.22,0.27,0.35,0.28,0.39,0.36,0.45,0.45
河北省,0.91,0.93,0.85,0.82,0.73,0.76,0.67,0.79,0.71,0.83,0.93,1,1.01,1.28,1.3,1.19,1.38,1.32,1.44,1.41,1.14,1.08,0.94,0.74,0.64,0.21,0.2,0.16,0.21,0.22,0.26,0.21,0.26,0.29,0.37,0.42,0.6,0.59,0.7,0.39,0.6,0.5,0.59,0.64,0.71,0.75,0.7,0.71,0.7
山西省,0.59,0.5,0.53,0.52,0.41,0.41,0.31,0.46,0.39,0.47,0.47,0.42,0.58,0.51,0.53,0.64,0.55,0.53,0.56,0.58,0.51,0.49,0.47,0.49,0.38,0.11,0.13,0.11,0.09,0.1,0.13,0.08,0.12,0.12,0.15,0.15,0.23,0.2,0.25,0.16,0.24,0.21,0.27,0.29,0.33,0.34,0.51,0.62,0.44
内蒙古自治区,0.28,0.26,0.24,0.26,0.22,0.18,0.17,0.1,0.14,0.17,0.17,0.15,0.16,0.23,0.19,0.16,0.17,0.19,0.15,0.2,0.15,0.09,0.15,0.16,0.08,0.07,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.06,0.06,0.08,0.11,0.13,0.17,0.12,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.15,0.12
辽宁省,0.47,0.46,0.36,0.44,0.36,0.36,0.34,0.25,0.26,0.34,0.57,0.43,0.6,0.42,0.5,0.63,0.59,0.73,0.54,0.6,0.4,0.4,0.49,0.25,0.24,0.09,0.11,0.07,0.06,0.09,0.07,0.12,0.1,0.12,0.12,0.16,0.17,0.23,0.26,0.13,0.12,0.14,0.17,0.23,0.26,0.38,0.5,0.62,0.47
吉林省,0.38,0.29,0.24,0.25,0.17,0.15,0.18,0.11,0.11,0.15,0.15,0.15,0.16,0.14,0.16,0.18,0.1,0.13,0.16,0.17,0.16,0.15,0.15,0.16,0.12,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.06,0.08,0.1,0.07,0.06,0.09,0.12,0.12,0.18,0.26,0.29,0.33,0.3
黑龙江省,0.44,0.34,0.21,0.21,0.22,0.12,0.2,0.08,0.06,0.14,0.15,0.11,0.17,0.13,0.13,0.15,0.13,0.18,0.16,0.16,0.12,0.11,0.11,0.16,0.11,0.03,0.04,0.01,0.04,0.01,0.01,0.02,0.02,0.02,0.04,0.04,0.04,0.08,0.08,0.06,0.02,0.05,0.06,0.12,0.23,0.31,0.42,0.3,0.24
上海市,3.62,3.63,3.58,3.06,2.9,2.84,3.23,2.48,2.1,2.22,2.27,2.29,2.44,2.72,2.23,2.43,2.22,2.12,2.04,1.99,2.19,2.18,2.39,2.07,1.36,0.94,1.79,2.57,3.79,4.96,5.85,4.9,4.69,4.51,5.01,4.18,4.28,4.33,4.33,3.18,4.32,4.19,4.09,4.21,4.27,4.17,4.34,4.24,5.15
