迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,26.42,26.77,25.47,26.18,21.17,20.4,36.44,27.7,23.87,26.63,26.53,23.01,23.25,37.28,28.5,26.43,29.92,28.04,24.01,31.38,28.23,25.74,26.22,22.71,24.45,21.87,23.34,26.7,31.53,36.02,44.58,38.1,33.25,32.81,40.31,32.74,31.08,34.22,30.44,30.89,30.5,43.27,33.97,31.19,32.99,31.12,27.56,27.41,39.55
天津市,21.8,21.04,21,21.95,23.44,22.4,19.93,23.02,21.19,19.66,21.96,23.79,22.3,19.23,21.33,21.18,19.77,21.19,21.46,19.04,19.63,19.82,18.77,16.56,21.12,25.39,24.24,24.38,22.96,21.63,17.23,18.79,19.06,18.75,15.67,16.13,16.49,17.03,18.84,19.2,16.26,14.59,16.43,16.19,15.85,16.77,18.73,17.99,16.25
河北省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山西省,4.72,5.33,5.84,6.07,6.59,7.27,5.01,5.78,7.75,7.46,7.23,7.62,6.53,6.32,7.01,6.99,6.31,6.26,6.19,5.54,5.47,5.37,5.15,5.23,4.54,5.05,6.21,6.09,5.25,6.04,4.65,5.5,6.26,5.92,5.3,6.25,6.36,5.5,5.48,6.69,6.1,4.4,7.45,7.28,6.89,7.12,7.27,7.95,6.27
内蒙古自治区,4.84,4.34,4.25,4.29,4.26,4.41,3.41,3.72,3.62,3.45,4.08,4.15,4,3.26,3.57,3.67,3.51,3.6,3.8,3.37,3.54,3.9,3.68,4.05,4.04,5.47,5.36,4.47,3.22,3.79,3.11,3.46,3.75,3.47,3.18,3.65,3.69,3.8,3.5,4.06,3.7,2.51,3.07,3.74,3.59,3.47,3.41,3.43,2.87
辽宁省,3.93,3.8,3.59,3.43,3.56,3.58,3.03,3.51,2.85,3.73,3.48,3.47,3.67,3.09,3.51,4.2,4.03,4.05,4.58,4.29,4.69,5.41,5.93,5.98,4.67,5.14,3.43,3.29,2.98,2.64,2.39,2.5,2.56,2.81,2.6,2.98,3.27,3.52,3.47,2.83,2.78,2.12,2.82,3.03,3.14,3.45,3.86,4.15,3.1
吉林省,0.69,0.64,0.67,0.61,0.62,0.58,0.46,0.5,0.43,0.54,0.48,0.52,0.59,0.47,0.52,0.64,0.54,0.65,0.75,0.78,0.91,0.9,0.9,0.98,0.56,0.41,0.52,0.45,0.43,0.37,0.42,0.35,0.4,0.44,0.41,0.49,0.58,0.63,0.56,0.41,0.55,0.55,0.7,0.78,0.78,0.77,1.01,1.21,0.76
黑龙江省,0.68,0.84,0.73,0.72,0.73,0.7,0.5,0.49,0.45,0.51,0.54,0.55,0.66,0.43,0.53,0.63,0.67,0.78,0.82,0.79,0.81,0.89,0.88,1.05,0.65,0.4,0.44,0.44,0.42,0.4,0.34,0.36,0.39,0.45,0.43,0.5,0.64,0.64,0.6,0.39,0.55,0.45,0.48,0.69,0.83,0.89,1,0.95,0.72
上海市,0.4,0.39,0.42,0.34,0.42,0.46,0.31,0.3,0.27,0.33,0.37,0.31,0.5,0.27,0.29,0.3,0.29,0.3,0.34,0.33,0.3,0.34,0.29,0.36,0.27,0.25,0.34,0.38,0.52,0.65,0.7,0.69,0.74,0.86,0.77,0.82,0.77,0.79,0.83,0.71,0.98,0.87,0.79,0.76,0.76,0.7,0.75,0.68,0.63
