迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.97,1.79,1.86,1.8,1.91,1.82,2.18,1.59,1.72,1.77,1.8,1.84,1.91,1.95,1.77,1.95,2.09,1.93,2.08,1.94,2.06,2.07,2.01,1.68,1.07,0.77,1.4,1.96,2.95,3.97,5.89,4.75,4.54,4.83,5.35,4.55,4.45,3.95,3.85,3.82,5.72,5.62,5.82,6.2,5.6,5.6,5.51,5.18,5.62
天津市,1.1,0.96,1.04,0.97,1.06,1.04,1.07,0.82,0.98,1.04,0.98,0.98,0.93,0.98,0.89,0.88,0.9,0.9,0.83,0.9,0.88,0.88,0.8,0.81,0.49,0.39,0.61,0.87,1.07,1.22,1.94,1.48,1.57,1.7,1.61,1.42,1.46,1.25,1.2,1.31,1.8,1.85,1.97,2.23,1.98,2.16,2.19,2.14,2.13
河北省,3.68,3.85,3.84,3.99,4.14,4.4,4.32,4.65,4.42,4.43,5.15,5.57,5.78,5.5,5.87,5.9,6.07,6.22,6.48,6.52,6.83,6.89,6.9,6.98,5.63,7.6,4.84,4.78,3.66,3.77,3.78,3.65,3.85,3.86,3.93,4.66,4.81,4.62,5.23,5.6,4.86,4.98,5.41,5.42,5.68,5.84,5.63,5.97,6.41
山西省,7.62,7.78,7.95,7.88,7.88,7.9,7.14,8.26,7.68,7.59,8.04,8.19,7.43,7.45,7.94,8.01,7.61,7.56,7.2,6.85,6.48,6.51,6.09,6.2,6.68,5.23,5.66,5.78,4.85,3.71,3.21,3.6,3.46,3.41,3.41,3.97,4,2.81,4.04,5.28,3.46,3.81,4.31,4.4,4.66,5.12,5.51,5.9,6.1
内蒙古自治区,0.66,0.63,0.56,0.61,0.62,0.61,0.55,0.5,0.57,0.53,0.51,0.48,0.56,0.59,0.49,0.48,0.56,0.43,0.53,0.44,0.44,0.49,0.43,0.41,0.3,0.14,0.19,0.26,0.24,0.28,0.44,0.33,0.4,0.45,0.5,0.48,0.61,0.59,0.59,0.54,0.56,0.4,0.55,0.64,0.6,0.61,0.63,0.63,0.73
辽宁省,0.52,0.56,0.59,0.47,0.57,0.58,0.61,0.5,0.49,0.74,0.66,0.62,0.7,0.75,0.75,0.77,0.77,0.67,0.9,0.77,0.73,0.78,0.69,0.62,0.31,0.18,0.25,0.33,0.42,0.5,0.56,0.39,0.47,0.51,0.56,0.56,0.69,0.69,0.67,0.51,0.66,0.6,0.64,0.72,0.86,1.01,1.36,1.55,1.42
吉林省,0.2,0.22,0.2,0.17,0.2,0.15,0.18,0.16,0.15,0.16,0.2,0.14,0.22,0.22,0.14,0.19,0.23,0.21,0.25,0.2,0.2,0.23,0.22,0.21,0.11,0.05,0.07,0.08,0.08,0.09,0.08,0.1,0.09,0.11,0.12,0.14,0.17,0.2,0.19,0.15,0.14,0.21,0.25,0.25,0.31,0.41,0.53,0.65,0.51
黑龙江省,0.33,0.26,0.21,0.19,0.2,0.21,0.14,0.16,0.15,0.16,0.19,0.16,0.23,0.14,0.19,0.18,0.18,0.19,0.21,0.2,0.19,0.19,0.23,0.15,0.1,0.05,0.05,0.05,0.04,0.04,0.05,0.08,0.07,0.08,0.09,0.11,0.12,0.19,0.17,0.13,0.11,0.16,0.16,0.21,0.33,0.51,0.63,0.61,0.5
上海市,2.76,2.9,2.88,2.6,2.56,2.21,2.71,2.05,2.01,2.01,1.69,1.68,1.85,1.79,1.63,1.54,1.61,1.59,1.44,1.4,1.41,1.45,1.42,1.37,0.86,0.85,1.78,2.87,4.57,6.31,6.54,6.41,5.52,5.2,5.48,4.54,4.31,4.52,4.13,3.62,4.56,4.93,4.45,4.33,4.41,4.15,3.9,3.91,4
江苏省,8.61,8.59,8.33,8.66,8.23,8,8.81,8.6,8.47,8.6,6.84,6.65,6.6,6.89,6.55,6.05,6.49,6.16,6.11,6.19,6.26,6.4,6.1,6,4.42,4.3,6.55,9.37,10.81,12.12,14.34,14.23,14.29,13.85,14.67,13.09,13.17,13.31,11.32,9.34,13.57,12.73,12.75,13.17,12.72,12.02,11.28,10.87,10.87
浙江省,4.7,4.57,4.48,4.46,4.51,4.17,4.78,4.4,5.07,4.74,3.49,3.03,3.24,3.29,2.97,3.07,3.24,2.91,2.78,2.88,2.97,2.67,2.86,2.94,2.13,1.96,3.4,4.92,6.57,8.55,10.19,11.61,13.1,13.66,15.37,14.58,16.42,16.33,13.97,9.61,15.92,14.81,16.06,15.5,15.36,12.96,11.96,10.67,9.56
安徽省,15.99,15.86,16.2,16.82,17.13,17.65,16.53,17.34,17.65,18.9,20.85,22.26,22.51,21.07,22.62,22.36,21.67,22.96,23.22,23.66,23.49,24.55,24.42,22.74,27.02,29.72,28.14,21.88,18.69,17.27,11.84,12.11,11.66,11.14,9.1,9.76,8.18,7.84,7.96,14.99,7.67,8.5,7.76,6.85,6.42,7.33,7.52,7.65,8.29
福建省,1.5,1.41,1.45,1.28,1.44,1.4,1.52,1.57,2.1,1.82,1.48,1.03,1.32,1.17,1.04,1.33,1.29,1.44,1.32,1.35,1.25,1.23,1.19,1.22,0.59,0.4,0.62,0.8,1.04,1.22,1.64,1.25,1.6,1.83,1.86,1.81,2.04,2.09,2.02,1.1,1.77,1.64,1.92,1.96,2.06,1.87,1.75,1.75,1.69
江西省,1.55,1.59,1.59,1.52,1.48,1.41,1.57,1.57,1.92,1.7,1.29,1.13,1.11,1.24,1.07,1.25,1.46,1.42,1.25,1.48,1.47,1.59,1.43,1.46,0.81,0.82,1.13,1.32,1.6,2.22,2.61,1.4,2.1,1.94,1.79,1.74,1.81,1.75,1.72,1.54,2.26,1.8,1.88,1.76,1.71,1.53,1.51,1.73,1.43
山东省,16.83,16.54,16.55,16.79,16.5,16.44,16.33,16.05,14.77,15.65,17.41,17.48,16.97,17.23,17.01,17.09,16.98,16.99,16.16,16.82,16.6,16.27,16.31,16.81,19.65,19.85,15.65,12.95,10.12,7.35,7.05,7.56,7.45,7.01,7.02,8.27,8.03,7.66,9.2,10.58,7.83,8.38,8.49,8.82,9.4,10.24,10.54,11,11.22
河南省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北省,10.55,10.58,10.17,10.31,10.24,10.25,10.7,10.31,10.48,10.03,10.27,10.36,9.77,10.36,10.89,10.63,10.12,10.56,10.34,9.98,10.05,10.22,10.38,10.85,13.04,13.87,13.09,11.34,9.98,7.92,6.29,6.96,6.08,5.74,5.69,6.22,5.61,6.01,6.89,10.15,6.78,7.04,5.41,4.99,5.07,5.46,5.81,5.62,6.23
