迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.85,0.83,0.89,0.94,0.91,0.88,1.01,0.76,0.71,0.79,0.91,1.06,0.89,1.03,0.93,1,1.06,1.15,1.07,1.04,1.04,1.11,1.03,1.06,1.02,0.48,0.52,0.53,0.51,0.57,0.73,0.66,0.6,0.69,0.83,0.86,0.78,1.02,1.21,0.97,0.82,1.1,0.93,0.94,1,1.09,1.22,1.21,1.37
天津市,0.34,0.34,0.24,0.37,0.28,0.34,0.29,0.18,0.28,0.23,0.25,0.32,0.36,0.24,0.15,0.22,0.27,0.24,0.22,0.23,0.23,0.18,0.22,0.16,0.09,0.04,0.06,0.07,0.13,0.11,0.17,0.13,0.2,0.16,0.2,0.21,0.25,0.23,0.29,0.2,0.24,0.27,0.25,0.34,0.25,0.35,0.37,0.38,0.45
河北省,0.94,0.78,0.83,0.78,0.83,0.87,0.68,0.68,0.71,0.77,0.91,0.96,1.06,1.14,0.88,1,1.02,1.05,1.03,1.13,1.07,1,0.85,0.75,0.48,0.18,0.15,0.13,0.17,0.2,0.23,0.19,0.29,0.28,0.37,0.43,0.49,0.57,0.66,0.45,0.53,0.64,0.72,0.71,0.77,0.79,0.75,0.78,0.81
山西省,0.69,0.57,0.61,0.56,0.56,0.65,0.56,0.54,0.44,0.53,0.51,0.57,0.62,0.56,0.53,0.54,0.61,0.7,0.56,0.65,0.6,0.68,0.6,0.52,0.29,0.11,0.13,0.12,0.11,0.11,0.15,0.11,0.13,0.13,0.19,0.18,0.24,0.21,0.3,0.22,0.27,0.28,0.28,0.29,0.37,0.39,0.48,0.53,0.44
内蒙古自治区,0.46,0.29,0.35,0.29,0.29,0.28,0.32,0.18,0.2,0.15,0.16,0.16,0.21,0.23,0.19,0.15,0.19,0.17,0.23,0.18,0.19,0.15,0.18,0.13,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.03,0.05,0.04,0.09,0.08,0.07,0.11,0.13,0.11,0.09,0.14,0.09,0.11,0.14,0.11,0.14,0.12,0.19
辽宁省,0.48,0.46,0.46,0.48,0.4,0.5,0.39,0.31,0.18,0.39,0.46,0.42,0.42,0.47,0.48,0.44,0.51,0.55,0.5,0.47,0.45,0.42,0.42,0.26,0.15,0.06,0.05,0.07,0.08,0.07,0.08,0.07,0.07,0.09,0.1,0.14,0.13,0.17,0.22,0.16,0.13,0.18,0.2,0.22,0.28,0.33,0.48,0.63,0.46
吉林省,0.32,0.27,0.29,0.19,0.28,0.19,0.21,0.11,0.14,0.12,0.11,0.15,0.21,0.15,0.16,0.16,0.18,0.15,0.16,0.14,0.14,0.21,0.19,0.09,0.08,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.07,0.09,0.07,0.06,0.09,0.1,0.11,0.16,0.18,0.26,0.36,0.26
黑龙江省,0.39,0.39,0.24,0.23,0.2,0.22,0.15,0.12,0.1,0.09,0.2,0.15,0.26,0.11,0.12,0.21,0.1,0.18,0.13,0.17,0.15,0.14,0.11,0.09,0.07,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.06,0.05,0.04,0.09,0.08,0.05,0.07,0.07,0.11,0.18,0.28,0.34,0.34,0.25
上海市,1.47,1.44,1.62,1.43,1.42,1.13,1.29,1.02,0.89,0.94,1.03,1.04,1.06,1.04,0.93,0.84,0.86,0.83,0.98,0.79,0.89,0.82,0.82,0.75,0.37,0.27,0.46,0.68,1.06,1.37,1.59,1.44,1.32,1.35,1.41,1.3,1.29,1.54,1.8,1.57,1.28,1.45,1.26,1.51,1.57,1.75,1.68,1.97,2.1
江苏省,2.66,2.57,2.62,2.52,2.33,2.4,2.38,2.55,2.72,2.67,2.31,2.33,2.11,2.22,1.81,2.17,2.08,2.23,2.1,2.3,2.13,2.04,2,1.77,1.24,0.54,0.92,1.11,1.56,1.64,1.98,1.95,2.19,2.01,2.29,2.23,2.41,2.55,2.88,2.17,2.37,2.5,2.37,2.59,2.62,2.76,2.78,2.77,2.83
