迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.63,0.57,0.57,0.51,0.54,0.41,0.49,0.37,0.29,0.43,0.52,0.66,0.69,0.42,0.39,0.37,0.44,0.44,0.53,0.4,0.47,0.58,0.64,0.51,0.56,0.38,0.61,0.76,0.91,1.25,1.57,1.44,1.32,1.37,1.68,1.84,1.85,1.92,2.14,1.87,1.83,1.85,1.7,1.77,1.93,1.81,1.76,1.7,1.69
天津市,0.32,0.35,0.32,0.27,0.27,0.3,0.27,0.19,0.15,0.31,0.37,0.28,0.3,0.26,0.16,0.2,0.23,0.28,0.19,0.26,0.27,0.28,0.27,0.2,0.25,0.14,0.27,0.2,0.4,0.36,0.49,0.43,0.5,0.53,0.58,0.65,0.51,0.65,0.6,0.56,0.57,0.64,0.88,0.95,0.77,0.72,0.75,0.89,0.8
河北省,0.6,0.56,0.58,0.52,0.43,0.54,0.51,0.39,0.39,0.52,0.84,0.86,0.86,0.75,0.65,0.75,0.79,0.76,0.62,0.69,0.68,0.82,0.77,0.64,0.59,0.38,0.26,0.31,0.34,0.32,0.44,0.48,0.48,0.57,0.67,0.9,1.09,1.11,1.35,0.96,1,0.94,1.13,1.22,1.17,1.1,1.02,1.04,1.28
山西省,0.8,0.99,0.68,0.79,0.51,0.58,0.52,0.35,0.37,0.38,0.53,0.62,0.6,0.55,0.41,0.5,0.52,0.54,0.38,0.52,0.43,0.52,0.69,0.56,0.45,0.19,0.21,0.24,0.38,0.39,0.43,0.56,0.54,0.72,0.75,0.87,0.77,0.81,1.01,0.7,0.88,0.95,0.9,1.04,0.87,1.01,0.82,1.19,0.98
内蒙古自治区,0.18,0.23,0.2,0.19,0.14,0.16,0.15,0.11,0.11,0.13,0.21,0.18,0.15,0.14,0.14,0.12,0.12,0.14,0.13,0.13,0.17,0.13,0.2,0.15,0.15,0.15,0.14,0.09,0.12,0.15,0.15,0.17,0.28,0.19,0.28,0.36,0.37,0.43,0.42,0.35,0.3,0.34,0.48,0.39,0.44,0.37,0.29,0.35,0.38
辽宁省,0.31,0.3,0.35,0.31,0.36,0.41,0.48,0.23,0.15,0.42,0.58,0.55,0.71,0.52,0.5,0.48,0.51,0.5,0.47,0.58,0.49,0.68,0.61,0.53,0.54,0.25,0.38,0.37,0.45,0.4,0.43,0.51,0.43,0.55,0.57,0.78,0.8,0.84,0.94,0.72,0.62,0.59,0.86,0.91,0.99,1.14,1.04,1.34,1.2
吉林省,0.25,0.26,0.24,0.21,0.18,0.2,0.21,0.11,0.1,0.11,0.21,0.14,0.23,0.13,0.12,0.14,0.15,0.18,0.15,0.17,0.19,0.2,0.22,0.16,0.12,0.13,0.19,0.15,0.11,0.12,0.11,0.18,0.14,0.18,0.19,0.22,0.26,0.23,0.35,0.23,0.28,0.3,0.4,0.43,0.44,0.54,0.53,0.62,0.53
黑龙江省,0.31,0.27,0.26,0.16,0.18,0.16,0.17,0.09,0.06,0.16,0.12,0.19,0.13,0.13,0.13,0.1,0.15,0.13,0.13,0.11,0.15,0.15,0.2,0.12,0.2,0.14,0.09,0.07,0.14,0.13,0.15,0.18,0.11,0.17,0.2,0.28,0.31,0.29,0.37,0.23,0.22,0.3,0.43,0.43,0.5,0.56,0.57,0.57,0.54
上海市,2.67,2.79,2.65,2.37,2.28,1.91,2.25,1.47,1.02,1.33,1.74,1.95,1.6,1.49,1.16,1.15,1.15,1.23,1.18,1.09,1.31,1.44,1.56,1.64,1.39,1.26,1.83,2.9,4.31,5.91,7.87,7.31,7,6.85,7.03,5.67,5.66,5.22,5.11,4.95,6.23,6.39,5.55,5.75,5.43,5.14,4.77,4.62,5.36
江苏省,3.34,3.48,3.23,3.28,3.26,2.98,3.02,2.74,2.84,3.28,3.14,3.32,3.25,2.68,2.15,2.32,2.65,2.45,2.68,2.43,2.54,2.92,3.13,2.81,2.68,2.15,2.46,3.19,3.85,4.51,6.42,5.91,6.58,6.6,6.1,5.74,5.82,6.07,5.66,5.69,7.6,6.62,6.47,6.41,6.16,5.75,5.66,5.69,5.49
浙江省,9.21,9.57,9.01,9,9,8.52,8.4,7.1,6.04,7.33,8.39,8.38,6.91,6.22,5.61,5.54,5.45,5.61,5.41,5.44,6.59,7.03,7.42,8.24,10.61,15.32,17.19,17.67,16.16,14.73,13.87,13.72,13.23,13.33,13.93,14.91,15.54,14.8,15.06,17.62,15.19,15.49,15.8,15.64,15.63,16.39,16.44,16,16.3
安徽省,3.38,3.97,3.79,3.61,4,3.86,4.13,4.35,5.34,5.39,4.59,5.04,5.13,5.09,5.09,4.94,5.15,5.2,4.75,4.94,4.92,4.86,4.89,5.09,4.37,2.94,3.22,2.85,2.63,2.39,2.57,2.38,2.4,2.7,2.97,2.57,2.62,2.55,2.54,2.07,2.3,2.4,2.79,3.02,2.89,3.07,3.14,2.77,2.72
福建省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江西省,14.9,16.47,16.43,16.29,16.95,18.87,19.31,21.81,26.42,23.67,17.42,18.3,19.31,21.8,21.41,22.39,23.89,26.41,26.61,26.76,28.3,29.66,29.09,29.37,27.42,30.37,25.63,21.05,16.21,12.63,8.81,8.56,8.18,7.91,7.69,9.21,9.46,9.89,10.78,11.06,8.85,9.26,9.24,8.92,9.28,9.92,10.9,11.08,10.93
山东省,2,2.08,1.94,1.62,1.98,1.64,1.59,1.72,1.32,1.79,2.07,2.01,2.09,1.95,1.67,1.67,1.8,1.63,1.66,1.48,1.65,1.7,1.61,1.47,1.18,0.77,1.06,1.07,1.2,1.23,1.38,1.43,1.33,1.59,2.01,2.36,2.49,2.85,2.69,2.57,2.87,2.6,2.63,2.69,2.64,2.54,2.31,2.55,2.41
河南省,6.76,6.27,6.27,6.16,5.7,5.33,5.76,5.85,6.05,5.58,6.42,6.49,7.06,7.05,5.91,7.01,6.86,6.01,6.43,6.2,5.74,5.69,5.39,6.41,5.37,2.7,2.21,2.12,2.21,2.03,2.11,2.01,2.2,2.26,2.9,2.95,3.27,3.55,3.71,2.83,3.34,3.14,3.34,3.57,3.44,3.7,3.58,4.36,3.43
