迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.34,0.62,0.38,0.46,0.35,0.62,0.49,0.45,0.24,0.59,0.21,0.65,0.83,0.84,0.65,0.54,0.7,0.91,0.88,0.68,0.63,0.75,0.65,0.7,0.74,0.59,0.49,0.97,0.85,0.84,1.14,1.07,1.01,1.56,1.73,1.71,1.75,0.76,1.06,1.25,1.55,0.99,1.08,1.69,1.15,1.07,1.22,1.31,1.12
天津市,0.12,0.29,0.17,0.14,0.15,0.16,0.14,0.19,0.3,0.13,0.2,0.19,0.13,0.13,0.17,0.18,0.08,0.13,0.27,0.33,0.16,0.25,0.32,0.11,0,0.04,0.24,0.29,0.09,0.26,0.28,0.35,0.33,0.93,0.3,0.11,0.03,0.18,0.21,0.11,0.02,0.15,0.6,0.76,0.51,0.77,0.31,1.42,1.01
河北省,0.65,0.75,0.53,0.49,0.44,0.75,0.57,0.53,0.78,0.69,0.94,0.8,1.05,1.13,1.15,0.99,0.97,1.16,0.79,0.78,1.22,1.09,1.13,1.22,0.62,0.49,0.49,0.38,0.37,1.02,1.06,0.49,0.5,0.43,0.88,0.78,0.42,0.48,0.43,0.46,0.44,0.19,0.42,0.56,0.51,0.63,0.53,0.78,0.96
山西省,0.57,0.56,0.89,0.64,0.35,0.58,0.6,0.49,0.48,0.83,0.89,0.84,0.85,1.01,0.61,0.7,0.68,0.73,0.93,0.8,1.06,0.86,0.73,0.91,0.89,0.69,0.34,0.97,0.56,0.44,0.97,0.49,0.63,0.74,0.73,0.85,0.21,0.39,0.57,0.41,0.38,0.28,0.47,0.7,0.57,0.44,0.42,0.33,0.71
内蒙古自治区,0.15,0.32,0.31,0.3,0.23,0.39,0.19,0.14,0.26,0.3,0.25,0.43,0.41,0.41,0.21,0.12,0.41,0.29,0.25,0.26,0.11,0.28,0.26,0.21,0.31,0.04,0.09,0.14,0.04,0.08,0.12,0.08,0.16,0.23,0.03,0.19,0.14,0.15,0.14,0.16,0.27,0.24,0.28,0.31,0.21,0.22,0.07,0.02,0.38
辽宁省,0.31,0.15,0.22,0.3,0.2,0.16,0.19,0.14,0.14,0.32,0.43,0.37,0.39,0.45,0.5,0.33,0.45,0.23,0.38,0.54,0.37,0.42,0.4,0.44,0.54,0.19,0.24,0.24,0.23,0.31,0.28,0.31,0.38,0.35,0.65,0.58,0.39,0.27,0.09,0.16,0.19,0.33,0.23,0.5,1.06,1.48,2.76,2.25,1.73
吉林省,0.06,0.27,0.12,0.05,0.05,0.09,0.14,0.08,0.07,0.09,0.12,0.17,0.15,0.09,0.04,0.1,0.18,0.15,0.07,0.12,0.13,0.11,0.13,0.14,0.11,0.04,0.14,0.09,0,0.04,0.12,0.04,0.12,0.15,0.3,0.35,0.42,0.21,0.09,0.23,0.1,0.31,0.36,0.45,0.51,0.68,0.77,1.7,1.34
黑龙江省,0.26,0.12,0.15,0.33,0.17,0.06,0.14,0.05,0.07,0.06,0.03,0.1,0.17,0.07,0.17,0,0.08,0.09,0.29,0.1,0,0.13,0.13,0.21,0.07,0,0.04,0,0.18,0.22,0.08,0.26,0.21,0.03,0.23,0.27,0.25,0.09,0.31,0.11,0.12,0.15,0.36,0.33,0.73,0.41,0.93,0.89,0.96
上海市,0.36,0.27,0.48,0.26,0.3,0.32,0.6,0.18,0.1,0.12,0.25,0.32,0.26,0.15,0.28,0.33,0.22,0.03,0.18,0.31,0.2,0.34,0.15,0.37,0.39,0.39,0.14,0.38,0.85,0.58,1.02,0.57,0.76,1.09,1.04,0.78,0.6,0.51,1.69,1.27,1.68,1.55,1.15,0.9,0.66,1.54,0.98,1.33,0.88
江苏省,1.19,1.12,1.1,1.47,0.97,1.44,1.05,1,1.43,1.17,1.52,1.5,1.38,1.05,1,0.6,1.34,1.01,1.01,2.31,1.35,1.07,2.04,0.94,1.32,0.94,0.84,0.97,1.42,1.02,0.65,1.24,1.18,1.95,1.96,1.63,1.61,1.89,4.61,6.18,7.05,5.7,5.37,4.94,3.13,4.35,4.59,5.49,3.08
浙江省,0.78,0.96,0.76,0.9,0.7,0.68,0.68,0.66,0.92,1.38,1.1,0.91,0.99,0.58,0.63,0.37,0.45,0.73,0.73,0.63,0.65,1,0.96,1.48,0.39,0.84,0.74,0.92,0.85,0.53,0.73,1.15,1.01,1.01,0.5,0.31,0.89,0.67,0.89,1.55,1.38,1.59,2.31,1.58,1.7,1.04,1.11,1.11,1.12
安徽省,1.12,1.39,1.17,1.53,1.26,1.3,1.29,1.11,1.65,1.15,1.34,1.04,1.25,1.11,1.26,1.41,1.54,1.24,1.17,1.15,0.79,1.21,1.11,1.03,0.93,1.04,0.89,0.87,1.04,0.89,0.89,0.57,0.71,0.66,0.73,0.7,0.78,0.51,0.43,0.53,0.4,0.95,1.29,1.18,1.36,1.21,0.58,0.8,0.66
福建省,0.36,0.43,0.53,0.49,0.59,0.18,0.28,0.35,0.47,0.47,0.49,0.41,0.63,0.75,0.24,0.52,0.33,0.33,0.4,0.7,0.53,0.69,0.65,0.56,0.31,0.29,0.64,0.97,0.23,0.67,0.69,0.31,0.63,0.46,0.26,0.23,0.17,0.33,0.21,0.13,0.12,0.17,0.21,0.22,0.36,0.19,0.55,0.25,0.52
