迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.4,0.39,0.39,0.31,0.41,0.34,0.36,0.24,0.24,0.31,0.31,0.36,0.35,0.37,0.36,0.32,0.36,0.34,0.48,0.38,0.4,0.36,0.35,0.22,0.17,0.14,0.16,0.18,0.23,0.25,0.4,0.37,0.35,0.36,0.4,0.45,0.43,0.46,0.5,0.4,0.35,0.41,0.4,0.41,0.43,0.56,0.59,0.54,0.59
天津市,0.08,0.14,0.07,0.18,0.12,0.14,0.08,0.07,0.14,0.09,0.13,0.06,0.22,0.12,0.14,0.11,0.06,0.18,0.12,0.14,0.1,0.1,0.09,0.11,0.04,0.01,0.03,0.09,0.02,0.07,0.1,0.12,0.11,0.11,0.1,0.14,0.09,0.12,0.12,0.09,0.07,0.11,0.11,0.14,0.17,0.19,0.2,0.24,0.32
河北省,0.22,0.25,0.25,0.24,0.23,0.3,0.3,0.29,0.27,0.35,0.49,0.48,0.59,0.63,0.63,0.51,0.62,0.7,0.59,0.58,0.57,0.46,0.4,0.35,0.27,0.07,0.08,0.11,0.08,0.09,0.14,0.18,0.16,0.15,0.21,0.25,0.25,0.25,0.35,0.22,0.21,0.29,0.29,0.34,0.36,0.41,0.37,0.46,0.44
山西省,0.19,0.26,0.24,0.27,0.18,0.32,0.23,0.28,0.29,0.29,0.29,0.25,0.41,0.38,0.3,0.35,0.32,0.32,0.31,0.37,0.36,0.26,0.31,0.19,0.15,0.04,0.05,0.03,0.07,0.07,0.09,0.09,0.1,0.09,0.11,0.1,0.13,0.12,0.18,0.12,0.16,0.19,0.16,0.22,0.18,0.23,0.26,0.37,0.34
内蒙古自治区,0.1,0.07,0.11,0.1,0.11,0.06,0.13,0.14,0.06,0.14,0.09,0.18,0.14,0.2,0.2,0.13,0.13,0.09,0.18,0.09,0.13,0.1,0.05,0.09,0.06,0.05,0.02,0.02,0.02,0.02,0.04,0.03,0.04,0.04,0.05,0.06,0.05,0.07,0.09,0.08,0.09,0.1,0.08,0.06,0.09,0.07,0.09,0.08,0.1
辽宁省,0.12,0.11,0.1,0.1,0.12,0.11,0.12,0.1,0.08,0.21,0.16,0.17,0.21,0.27,0.2,0.18,0.23,0.21,0.24,0.26,0.2,0.21,0.21,0.13,0.09,0.03,0.03,0.03,0.04,0.02,0.05,0.06,0.05,0.07,0.06,0.07,0.09,0.09,0.13,0.09,0.07,0.08,0.11,0.17,0.28,0.45,0.6,0.86,0.79
吉林省,0.08,0.11,0.1,0.09,0.07,0.05,0.04,0.05,0.05,0.06,0.09,0.08,0.1,0.07,0.06,0.05,0.06,0.06,0.08,0.08,0.08,0.05,0.06,0.08,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.05,0.06,0.04,0.03,0.06,0.09,0.07,0.12,0.2,0.24,0.36,0.32
黑龙江省,0.1,0.11,0.08,0.08,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.11,0.08,0.04,0.03,0.06,0.06,0.07,0.06,0.09,0.06,0.06,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.03,0.03,0.01,0.02,0.03,0.07,0.13,0.26,0.41,0.44,0.35
上海市,0.77,0.76,0.8,0.63,0.57,0.55,0.54,0.43,0.35,0.45,0.43,0.44,0.39,0.49,0.36,0.32,0.39,0.35,0.3,0.33,0.39,0.28,0.34,0.34,0.17,0.15,0.44,0.43,0.8,0.82,1.3,1.5,1.1,1.2,1.2,1.16,1.19,1.32,1.63,1.64,1.42,1.61,1.24,1.21,1.45,1.41,1.51,1.61,1.61
