迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,0.67,0.73,0.64,0.63,0.62,0.48,0.6,0.44,0.43,0.55,0.63,0.59,0.66,0.55,0.43,0.5,0.49,0.51,0.55,0.44,0.42,0.36,0.35,0.2,0.17,0.09,0.17,0.33,0.43,0.55,0.95,0.81,0.9,1.01,1.06,0.89,0.9,0.95,0.95,0.82,0.96,1.13,1,1.03,1.08,1.03,1.05,0.98,1.17
天津市,0.22,0.27,0.28,0.27,0.25,0.18,0.23,0.21,0.22,0.21,0.22,0.26,0.27,0.17,0.19,0.17,0.25,0.17,0.26,0.19,0.14,0.17,0.15,0.07,0.04,0.03,0.05,0.05,0.09,0.16,0.24,0.2,0.26,0.2,0.24,0.23,0.27,0.22,0.29,0.2,0.23,0.3,0.37,0.34,0.38,0.39,0.4,0.41,0.42
河北省,0.47,0.46,0.5,0.51,0.43,0.5,0.36,0.44,0.5,0.53,0.52,0.49,0.66,0.72,0.7,0.7,0.73,0.72,0.69,0.68,0.58,0.49,0.41,0.31,0.2,0.09,0.11,0.18,0.29,0.29,0.47,0.4,0.53,0.49,0.63,0.64,0.78,0.62,0.85,0.48,0.83,0.84,0.98,1.03,1.17,1.29,1.07,1.08,0.94
山西省,0.65,0.59,0.67,0.7,0.46,0.56,0.51,0.63,0.51,0.55,0.43,0.48,0.52,0.58,0.44,0.56,0.55,0.6,0.62,0.56,0.54,0.43,0.4,0.31,0.2,0.13,0.13,0.14,0.19,0.23,0.44,0.35,0.45,0.39,0.53,0.44,0.6,0.48,0.57,0.38,0.92,0.59,0.76,0.85,1,0.98,1.01,1.2,0.86
内蒙古自治区,0.24,0.26,0.31,0.24,0.22,0.2,0.18,0.25,0.17,0.18,0.17,0.23,0.19,0.25,0.17,0.19,0.19,0.12,0.24,0.16,0.16,0.16,0.11,0.1,0.05,0.04,0.05,0.05,0.05,0.06,0.15,0.1,0.15,0.12,0.17,0.17,0.17,0.19,0.26,0.19,0.17,0.18,0.21,0.22,0.24,0.22,0.21,0.22,0.23
辽宁省,0.21,0.18,0.31,0.24,0.26,0.22,0.25,0.19,0.12,0.34,0.44,0.32,0.36,0.27,0.41,0.39,0.42,0.31,0.37,0.29,0.35,0.34,0.26,0.22,0.08,0.07,0.08,0.13,0.14,0.17,0.19,0.18,0.16,0.17,0.18,0.28,0.19,0.22,0.26,0.18,0.16,0.24,0.24,0.26,0.31,0.37,0.43,0.5,0.49
吉林省,0.14,0.17,0.22,0.12,0.09,0.06,0.1,0.11,0.06,0.09,0.07,0.08,0.11,0.09,0.07,0.07,0.1,0.07,0.11,0.05,0.09,0.12,0.03,0.05,0.01,0.01,0.01,0.03,0.03,0.03,0.04,0.03,0.04,0.05,0.06,0.07,0.04,0.07,0.09,0.09,0.08,0.11,0.18,0.12,0.16,0.18,0.22,0.26,0.23
黑龙江省,0.16,0.15,0.13,0.19,0.13,0.1,0.08,0.05,0.09,0.09,0.11,0.07,0.12,0.11,0.08,0.08,0.08,0.09,0.1,0.05,0.06,0.05,0.05,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.05,0.04,0.04,0.04,0.06,0.08,0.06,0.07,0.09,0.05,0.06,0.09,0.09,0.13,0.22,0.33,0.32,0.33,0.19
上海市,1.25,1.25,1.29,1.28,1.07,0.88,1.16,0.74,0.68,0.89,0.73,0.77,0.79,0.84,0.58,0.61,0.62,0.55,0.54,0.52,0.41,0.39,0.41,0.31,0.18,0.2,0.3,0.57,1.16,1.29,1.86,1.79,2.08,1.7,2.2,1.55,1.86,1.76,1.79,1.38,1.99,2.11,1.97,1.92,2.21,1.93,1.73,1.8,1.85
江苏省,1.78,1.82,1.95,1.76,1.63,1.66,1.6,1.76,1.81,1.93,1.54,1.35,1.35,1.53,1.37,1.41,1.43,1.42,1.29,1.29,1.08,0.9,0.86,0.63,0.4,0.31,0.56,0.8,1.46,1.35,2.24,2.12,2.74,2.14,2.94,2.38,2.78,2.73,2.66,1.91,3,3.02,3.05,2.67,2.93,2.76,2.51,2.42,2.31
