迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,1.48,1.51,1.66,1.5,1.63,1.54,1.83,1.4,1.3,1.44,1.79,1.96,1.29,1.69,1.77,1.93,1.92,1.93,1.73,1.74,1.76,1.79,1.56,1.57,2,1.76,1.56,1.68,2.05,2.6,3.7,3.33,3.15,3.2,3.61,3.18,3.11,3.11,3.2,3.15,3.36,3.79,3.19,3.36,3.39,3,3.02,2.89,3.28
天津市,0.44,0.47,0.45,0.43,0.47,0.48,0.49,0.31,0.46,0.51,0.37,0.53,0.49,0.44,0.41,0.42,0.37,0.37,0.37,0.38,0.43,0.33,0.29,0.26,0.1,0.13,0.19,0.31,0.39,0.6,0.77,0.68,0.81,0.85,0.76,0.75,0.72,0.7,0.74,0.67,0.81,0.86,0.9,1.05,1.02,0.83,0.82,1.04,0.96
河北省,1.52,1.4,1.55,1.55,1.67,1.63,1.62,1.91,1.88,1.82,1.88,2.94,2.72,2.35,2.48,2.42,2.35,2.47,2.45,2.49,2.37,2.32,2.14,2.05,1.62,0.76,0.8,0.88,1.09,1.5,1.78,1.6,1.88,1.94,2.13,2.35,2.57,2.34,2.91,2.41,2.69,2.38,2.91,3.04,3.19,3.24,2.75,2.94,2.89
山西省,14.53,13.58,13.23,14.15,14.47,14.08,13.92,14.27,11.74,13.02,15.44,15.87,15.28,15.11,16.43,16.42,16.15,16.1,16.04,15.71,15.43,15.75,15.05,15.13,15.53,15.9,15.19,13.73,12.7,11.47,9.87,11.06,11.14,11.02,11.51,12.53,12.69,12.94,13.86,12.24,12.44,11.79,12.16,12.31,13.08,13.2,13.89,14.37,14.14
内蒙古自治区,9.34,9.46,9.29,9.5,9.68,9.24,8.88,8.39,7.49,7.87,10.22,10.72,9.92,10.07,9.78,9.18,8.48,8.65,8.17,7.19,7.26,6.96,6.66,6.32,9.33,13.55,14.75,14.2,11.98,8.67,8.63,9.32,8.91,8.05,7.17,7.66,7.12,7.42,8.45,8.47,6.13,5.72,7.18,7.15,7.22,7.53,7.82,7.51,7.62
辽宁省,0.46,0.55,0.48,0.47,0.57,0.54,0.56,0.47,0.35,0.7,0.69,0.71,0.82,0.73,0.81,0.82,0.72,0.69,0.78,0.68,0.7,0.7,0.6,0.45,0.37,0.23,0.26,0.3,0.27,0.28,0.35,0.39,0.37,0.4,0.49,0.62,0.56,0.6,0.53,0.56,0.59,0.65,0.68,0.58,0.74,0.88,0.9,1.01,0.92
吉林省,0.28,0.23,0.24,0.22,0.26,0.22,0.19,0.21,0.17,0.15,0.19,0.18,0.31,0.19,0.12,0.19,0.24,0.2,0.2,0.19,0.15,0.17,0.16,0.11,0.1,0.05,0.1,0.06,0.07,0.08,0.06,0.12,0.09,0.11,0.13,0.13,0.14,0.16,0.27,0.15,0.24,0.33,0.41,0.42,0.41,0.48,0.38,0.48,0.38
黑龙江省,0.32,0.29,0.35,0.21,0.2,0.25,0.21,0.18,0.11,0.13,0.12,0.16,0.2,0.19,0.14,0.19,0.13,0.19,0.19,0.24,0.1,0.16,0.19,0.1,0.08,0.06,0.07,0.07,0.08,0.11,0.06,0.11,0.09,0.14,0.16,0.19,0.21,0.14,0.19,0.18,0.25,0.25,0.25,0.34,0.39,0.48,0.52,0.5,0.36
上海市,1.26,1.33,1.27,1.3,1.07,0.97,1.03,0.74,0.74,0.86,0.84,0.92,0.9,0.87,0.76,0.72,0.69,0.65,0.69,0.63,0.61,0.57,0.59,0.41,0.48,0.5,0.54,0.91,1.55,2.19,2.65,2.59,2.36,2.65,2.55,2.2,2.05,2.05,1.91,2.01,2.13,2.36,2.26,2.1,2.07,2.07,1.95,1.84,2.03
