迁入来源省份,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308
北京市,4.49,4.55,3.63,3.53,4.1,4.29,4.01,4.29,4.01,4.02,4.05,3.98,4.65,4.69,4.77,4.48,5.11,4.67,5.16,5.28,5.11,4.99,5.85,5.56,3.82,4.41,4.46,5.6,6.95,9.42,11.39,10.37,10.55,10.55,10.71,9.92,8.99,8.72,8.42,7.67,9.46,9.15,8.87,8.6,8.52,7.69,6.96,7.38,7.94
天津市,2.9,2.35,2.85,2.58,3.25,2.86,2.92,4.08,3.01,3.47,3.11,3.17,2.12,3.57,3.36,3.12,3.23,2.95,2.87,2.78,3.57,2.99,2.97,2.91,2.97,2.48,3.58,5.79,5.95,8.26,8.24,5.47,5.88,5.91,6.08,4.93,4.95,5.07,4.6,4.05,5.6,5.1,4.93,4.93,5.2,4.86,4.2,4.38,4.67
河北省,3.74,3.09,3.48,3.39,4.46,4.02,4.45,5.23,4.35,4.13,3.73,3.98,4.81,4.51,3.87,3.84,4.47,4.65,4.29,4.08,4.08,3.94,4.12,3.72,3.01,3.1,4.34,6.3,7.39,8.21,10,6.45,7.27,7.7,8.41,7.69,7.57,8.3,7.3,5.61,10.53,7.73,7.78,8.33,7.79,7.08,5.94,6.75,6.1
山西省,0.65,0.99,0.67,0.72,0.6,0.59,0.85,0.64,0.65,0.87,0.51,0.76,1.12,0.87,0.62,0.69,0.74,1.06,0.94,0.67,0.58,0.41,0.56,0.49,0.39,0.35,0.6,0.36,0.41,0.53,0.58,0.57,0.5,0.57,0.64,0.54,0.74,0.63,0.73,0.56,0.85,0.72,0.75,0.92,0.85,1.01,0.93,1.01,0.85
内蒙古自治区,11.47,10.44,11.31,11.53,12.24,12.13,13.16,14.33,13.66,12.54,15.39,14.77,13.47,15.02,15.77,15.96,17.88,18.28,17.31,17.59,18,18.47,17.15,19.03,26.09,30.44,25.2,18.77,15.74,12.17,10.3,10.99,11.06,9.78,9.06,10.22,10.59,10.58,10.78,11.78,8.95,9.69,9.62,9.94,9.53,10.31,10.81,9.89,10.95
辽宁省,12.42,14.61,12.94,15.55,13.61,12.69,12.31,14.83,14.14,12.51,12.31,13.89,10.69,12.66,11.35,13.03,12.48,12.73,12.06,11.67,11.8,12.54,11.39,12.31,9.31,10.67,13.84,17.11,17.38,17.66,17.9,16.91,16.43,16.67,15.76,15.78,15.97,13.98,13.38,15.86,17.65,16.2,16.24,15.91,16.12,15.28,16.74,16.6,16.62
吉林省,22.03,22.8,22.48,23.04,21.07,21.09,21.48,21.52,19.65,20.7,21.33,23.01,19.09,21.22,23.09,23.58,21.52,21.3,21.98,21.11,22.41,22.9,22.3,23.02,26.6,26.34,25.29,22.68,19.82,17.13,14.19,16.53,16.86,16.57,15.38,17.31,17.42,17.79,17.21,21.22,15.26,16.08,17.96,17.23,17.16,17.88,20.89,20.35,19.27
黑龙江省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海市,2.86,2.21,2.13,1.86,2.02,1.87,1.65,1.57,1.71,1.74,1.62,1.68,1.94,2.08,2.5,1.88,2.31,1.59,1.8,1.64,1.98,2.36,2.04,2.18,1.33,1.69,2.45,1.83,2.19,1.94,2.02,2.73,2.52,2.42,2.74,2.38,2.39,2.61,2.95,2.45,2.29,2.55,2.22,2.3,2.47,2.35,2.63,2.35,2.38
江苏省,3.52,3.84,3.69,2.92,4.19,3.26,3.01,2.92,3.64,3.96,3.16,3.35,3.18,3.23,2.69,2.74,2.44,2.77,2.68,2.71,2.78,2.58,2.84,2.84,2.47,1.76,1.92,2.42,2.73,2.6,3.25,3.69,3.48,3.85,3.78,3.97,4,3.86,4.63,4.31,3.5,4.47,4.02,4.18,4.03,4.09,3.75,3.73,3.84
